GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
40f908cf-30b2-4a88-896e-98ee65301fe0	1	62920	86341	11	0.8293
40f908cf-30b2-4a88-896e-98ee65301fe0	1	98588	2396376	439	0.0585
40f908cf-30b2-4a88-896e-98ee65301fe0	1	2398125	2398129	2	-1.518
40f908cf-30b2-4a88-896e-98ee65301fe0	1	2398222	12779433	6039	0.0111
40f908cf-30b2-4a88-896e-98ee65301fe0	1	12792599	13110913	35	0.5266
40f908cf-30b2-4a88-896e-98ee65301fe0	1	13114062	16643683	2144	0.0184
40f908cf-30b2-4a88-896e-98ee65301fe0	1	16643816	16935302	82	0.2918
40f908cf-30b2-4a88-896e-98ee65301fe0	1	16935393	72297687	34029	0.0061
40f908cf-30b2-4a88-896e-98ee65301fe0	1	72302735	72345465	48	-0.5687
40f908cf-30b2-4a88-896e-98ee65301fe0	1	72346221	103621165	20036	0.0076
40f908cf-30b2-4a88-896e-98ee65301fe0	1	103697067	103717410	3	1.9537
40f908cf-30b2-4a88-896e-98ee65301fe0	1	103717617	105476583	920	0.0003
40f908cf-30b2-4a88-896e-98ee65301fe0	1	105476614	105479753	16	-2.0681
40f908cf-30b2-4a88-896e-98ee65301fe0	1	105481433	152583291	12232	0.0114
40f908cf-30b2-4a88-896e-98ee65301fe0	1	152583319	152613762	29	-1.6123
40f908cf-30b2-4a88-896e-98ee65301fe0	1	152613802	152789447	172	0.0083
40f908cf-30b2-4a88-896e-98ee65301fe0	1	152789463	152795883	34	0.4368
40f908cf-30b2-4a88-896e-98ee65301fe0	1	152796094	169247699	11288	0.0105
40f908cf-30b2-4a88-896e-98ee65301fe0	1	169264736	169272528	7	0.8034
40f908cf-30b2-4a88-896e-98ee65301fe0	1	169273163	209897717	27025	0.0117
40f908cf-30b2-4a88-896e-98ee65301fe0	1	209908268	209910639	3	1.3934
40f908cf-30b2-4a88-896e-98ee65301fe0	1	209913207	248633912	26881	0.0101
40f908cf-30b2-4a88-896e-98ee65301fe0	1	248645563	248668953	8	-0.8516
40f908cf-30b2-4a88-896e-98ee65301fe0	1	248670664	248930189	133	0.029
40f908cf-30b2-4a88-896e-98ee65301fe0	2	12784	34295406	23990	0.0103
40f908cf-30b2-4a88-896e-98ee65301fe0	2	34298911	34300513	2	-2.1915
40f908cf-30b2-4a88-896e-98ee65301fe0	2	34300900	34434869	85	0.0472
40f908cf-30b2-4a88-896e-98ee65301fe0	2	34437911	34511990	56	0.3917
40f908cf-30b2-4a88-896e-98ee65301fe0	2	34512096	40561116	4444	0.0241
40f908cf-30b2-4a88-896e-98ee65301fe0	2	40562437	40564081	2	-1.5794
40f908cf-30b2-4a88-896e-98ee65301fe0	2	40564179	40699589	98	0.0148
40f908cf-30b2-4a88-896e-98ee65301fe0	2	40700235	40722466	34	-3.4631
40f908cf-30b2-4a88-896e-98ee65301fe0	2	40724376	86710564	30376	0.0133
40f908cf-30b2-4a88-896e-98ee65301fe0	2	86725947	86726731	2	-2.1582
40f908cf-30b2-4a88-896e-98ee65301fe0	2	86743283	97188422	1900	0.0155
40f908cf-30b2-4a88-896e-98ee65301fe0	2	97192190	97211436	15	-0.9148
40f908cf-30b2-4a88-896e-98ee65301fe0	2	97310327	97534580	16	0.0957
40f908cf-30b2-4a88-896e-98ee65301fe0	2	97535071	97545247	5	1.1409
40f908cf-30b2-4a88-896e-98ee65301fe0	2	97545726	106265177	5571	0.0087
40f908cf-30b2-4a88-896e-98ee65301fe0	2	106266773	106268557	7	0.8827
40f908cf-30b2-4a88-896e-98ee65301fe0	2	106268901	146106875	23824	0.0121
40f908cf-30b2-4a88-896e-98ee65301fe0	2	146106889	146107801	8	0.624
40f908cf-30b2-4a88-896e-98ee65301fe0	2	146108179	146109366	13	1.2736
40f908cf-30b2-4a88-896e-98ee65301fe0	2	146120238	242147305	59066	0.0113
40f908cf-30b2-4a88-896e-98ee65301fe0	3	20930	2156989	1896	0.0573
40f908cf-30b2-4a88-896e-98ee65301fe0	3	2157031	36242239	24608	0.0103
40f908cf-30b2-4a88-896e-98ee65301fe0	3	36242465	36243538	3	-1.7844
40f908cf-30b2-4a88-896e-98ee65301fe0	3	36243787	68697013	21279	0.0057
40f908cf-30b2-4a88-896e-98ee65301fe0	3	68697108	68698262	14	-0.9911
40f908cf-30b2-4a88-896e-98ee65301fe0	3	68699607	87409690	11509	0.0035
40f908cf-30b2-4a88-896e-98ee65301fe0	3	87409946	87410856	3	-1.1909
40f908cf-30b2-4a88-896e-98ee65301fe0	3	87417155	89017438	819	0.0176
40f908cf-30b2-4a88-896e-98ee65301fe0	3	89017994	89026675	4	-0.8999
40f908cf-30b2-4a88-896e-98ee65301fe0	3	89031782	94416446	1006	0.0042
40f908cf-30b2-4a88-896e-98ee65301fe0	3	94418630	94432427	10	-0.8677
40f908cf-30b2-4a88-896e-98ee65301fe0	3	94434299	130067896	21316	0.0057
40f908cf-30b2-4a88-896e-98ee65301fe0	3	130067910	130087393	28	0.7616
