GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-YL-A8SL-01B-21D-A719-36	chr1	17001	1693000	883	0.047954
TCGA-YL-A8SL-01B-21D-A719-36	chr1	1694001	1743000	27	-0.901384
TCGA-YL-A8SL-01B-21D-A719-36	chr1	1743001	16602000	14260	0.041324
TCGA-YL-A8SL-01B-21D-A719-36	chr1	16602001	16609000	6	-0.100901
TCGA-YL-A8SL-01B-21D-A719-36	chr1	16609001	16909000	161	-0.058204
TCGA-YL-A8SL-01B-21D-A719-36	chr1	16909001	19312000	2398	0.029371
TCGA-YL-A8SL-01B-21D-A719-36	chr1	19312001	19443000	131	0.312600
TCGA-YL-A8SL-01B-21D-A719-36	chr1	19443001	19695000	252	0.338981
TCGA-YL-A8SL-01B-21D-A719-36	chr1	19695001	34636000	14775	0.052742
TCGA-YL-A8SL-01B-21D-A719-36	chr1	34636001	34646000	10	-29.822512
TCGA-YL-A8SL-01B-21D-A719-36	chr1	34646001	62790000	27992	0.059012
TCGA-YL-A8SL-01B-21D-A719-36	chr1	62790001	63089000	299	-0.745215
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63089001	63150000	61	-0.749593
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63150001	63197000	47	-0.732851
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63197001	63258000	59	-0.760690
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63258001	63299000	41	-0.717763
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63299001	63807000	505	-0.751279
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63807001	63828000	21	-0.755433
TCGA-YL-A8SL-01B-21D-A719-36	chr1	63828001	64026000	197	-0.782786
TCGA-YL-A8SL-01B-21D-A719-36	chr1	64026001	64072000	46	-0.775599
TCGA-YL-A8SL-01B-21D-A719-36	chr1	64072001	64133000	61	-0.754987
TCGA-YL-A8SL-01B-21D-A719-36	chr1	64133001	64150000	17	-0.753248
