GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	62920	98588	12	-0.8669
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	98602	25256850	13990	0.0025
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	25266637	25320455	24	-2.0099
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	25336819	72303233	28712	0.005
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	72303253	72345465	45	-2.1134
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	72346221	73758061	843	0.0022
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	73758497	73759047	2	-1.4769
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	73759851	74305593	312	0.0233
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	74307424	74310405	2	1.2316
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	74313068	75585159	772	-0.0038
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	75589078	75589169	2	-2.7089
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	75593824	81422771	3839	-0.0115
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	81422917	81422920	2	-1.3622
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	81422982	87817868	4337	-0.0013
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	87826864	87839106	10	-1.0177
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	87840008	99516232	7352	0.0043
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	99516610	99518202	2	-1.3454
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	99519177	103614539	2535	-0.0036
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	103614695	103717617	11	0.5804
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	103760781	105476583	918	-0.0143
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	105476614	105479753	16	0.9057
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	105481433	109690352	2632	0.0051
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	109690431	109697556	11	1.7339
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	109702376	112147704	1950	0.0061
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	112153343	112154768	25	0.37
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	112163334	143494500	5160	0.0072
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	143541857	145846557	215	0.1272
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	145846884	152789447	2423	0.0022
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	152789463	152796224	36	0.4747
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	152801429	161539001	5257	-0.0008
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	161539085	161649268	12	-0.59
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	161678447	193186662	21777	0.0022
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	193187149	193187202	3	-1.4964
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	193187218	194479104	944	0.0033
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	194482281	194485888	2	-2.6551
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	194487886	196772237	1466	-0.0043
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	196775006	196830375	38	0.3049
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	196832298	209897717	8784	0.0006
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	209908268	209908720	2	-2.653
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	209910639	217815430	5521	0.0052
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	217815609	217815629	2	-1.2887
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	217815642	233823659	10741	0.0063
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	233827424	233828272	2	1.2273
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	233830577	246109239	9071	0.0003
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	246109339	246118284	10	-0.8357
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	246118392	248633912	1518	0.0096
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	248645563	248661962	5	-0.9035
15a67fe3-d732-469b-b3d5-2668ba4a6e2e	1	248662519	248930189	135	0.0035
