GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A0CX-01A-21D-A744-36	chr1	17001	1445000	654	-0.318079
TCGA-A2-A0CX-01A-21D-A744-36	chr1	1445001	1496000	49	-1.322629
TCGA-A2-A0CX-01A-21D-A744-36	chr1	1496001	16539000	14435	-0.324719
TCGA-A2-A0CX-01A-21D-A744-36	chr1	16540001	16949000	238	-0.093740
TCGA-A2-A0CX-01A-21D-A744-36	chr1	16949001	37697000	20575	-0.323508
TCGA-A2-A0CX-01A-21D-A744-36	chr1	37697001	40979000	3250	0.440096
TCGA-A2-A0CX-01A-21D-A744-36	chr1	40979001	41802000	822	0.454212
TCGA-A2-A0CX-01A-21D-A744-36	chr1	41802001	42144000	337	0.544015
TCGA-A2-A0CX-01A-21D-A744-36	chr1	42144001	43003000	855	0.790688
TCGA-A2-A0CX-01A-21D-A744-36	chr1	43003001	51714000	8652	-0.313751
TCGA-A2-A0CX-01A-21D-A744-36	chr1	51714001	54378000	2661	0.786180
TCGA-A2-A0CX-01A-21D-A744-36	chr1	54378001	54777000	394	0.906896
TCGA-A2-A0CX-01A-21D-A744-36	chr1	54777001	54977000	200	0.797921
TCGA-A2-A0CX-01A-21D-A744-36	chr1	54977001	55017000	40	0.818984
TCGA-A2-A0CX-01A-21D-A744-36	chr1	55017001	55373000	355	0.801574
TCGA-A2-A0CX-01A-21D-A744-36	chr1	55373001	55438000	65	0.799435
TCGA-A2-A0CX-01A-21D-A744-36	chr1	55438001	55476000	38	0.811036
TCGA-A2-A0CX-01A-21D-A744-36	chr1	55476001	55578000	102	0.798225
TCGA-A2-A0CX-01A-21D-A744-36	chr1	55578001	57326000	1739	0.790677
TCGA-A2-A0CX-01A-21D-A744-36	chr1	57326001	58951000	1606	0.789711
TCGA-A2-A0CX-01A-21D-A744-36	chr1	58951001	60660000	1699	0.796229
TCGA-A2-A0CX-01A-21D-A744-36	chr1	60660001	60720000	60	0.784571
TCGA-A2-A0CX-01A-21D-A744-36	chr1	60720001	61028000	308	0.793252
TCGA-A2-A0CX-01A-21D-A744-36	chr1	61028001	61192000	164	0.774184
TCGA-A2-A0CX-01A-21D-A744-36	chr1	61192001	61434000	242	0.782474
TCGA-A2-A0CX-01A-21D-A744-36	chr1	61434001	61592000	158	0.451402
TCGA-A2-A0CX-01A-21D-A744-36	chr1	61592001	72290000	10629	0.782666
