GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a2303f80-4e34-451c-9d10-374741188a59	1	62920	12779433	6466	-0.0091
a2303f80-4e34-451c-9d10-374741188a59	1	12792599	13114062	36	0.4445
a2303f80-4e34-451c-9d10-374741188a59	1	13118266	16863509	2171	0.0118
a2303f80-4e34-451c-9d10-374741188a59	1	16864367	16898730	13	0.4644
a2303f80-4e34-451c-9d10-374741188a59	1	16898872	16909357	6	-0.2088
a2303f80-4e34-451c-9d10-374741188a59	1	16909373	16935752	35	0.3024
a2303f80-4e34-451c-9d10-374741188a59	1	16949746	72302815	33876	0.0038
a2303f80-4e34-451c-9d10-374741188a59	1	72303233	72345465	46	1.4132
a2303f80-4e34-451c-9d10-374741188a59	1	72346221	72357136	11	-0.0141
a2303f80-4e34-451c-9d10-374741188a59	1	72357153	72374993	6	0.5536
a2303f80-4e34-451c-9d10-374741188a59	1	72374994	72498429	69	0.0412
a2303f80-4e34-451c-9d10-374741188a59	1	72499576	72526006	18	-0.936
a2303f80-4e34-451c-9d10-374741188a59	1	72531634	107395883	22052	0.0036
a2303f80-4e34-451c-9d10-374741188a59	1	107397774	107399086	3	-2.2891
a2303f80-4e34-451c-9d10-374741188a59	1	107399522	108055714	535	-0.0103
a2303f80-4e34-451c-9d10-374741188a59	1	108056719	108067214	9	-0.9973
a2303f80-4e34-451c-9d10-374741188a59	1	108067735	110834746	1629	0.011
a2303f80-4e34-451c-9d10-374741188a59	1	110834943	110845562	37	-0.4827
a2303f80-4e34-451c-9d10-374741188a59	1	110845604	143494500	6236	0.0008
a2303f80-4e34-451c-9d10-374741188a59	1	143541857	143748012	96	-0.6401
a2303f80-4e34-451c-9d10-374741188a59	1	143748074	143754798	18	-0.1311
a2303f80-4e34-451c-9d10-374741188a59	1	143759680	143927887	10	-0.6994
a2303f80-4e34-451c-9d10-374741188a59	1	143928045	152582700	2298	-0.0055
a2303f80-4e34-451c-9d10-374741188a59	1	152583051	152614118	36	0.6698
a2303f80-4e34-451c-9d10-374741188a59	1	152618018	152787202	165	0.0005
a2303f80-4e34-451c-9d10-374741188a59	1	152789447	152796094	36	-0.3933
a2303f80-4e34-451c-9d10-374741188a59	1	152796224	169246873	11210	0.0022
a2303f80-4e34-451c-9d10-374741188a59	1	169247699	169272528	8	0.8455
a2303f80-4e34-451c-9d10-374741188a59	1	169273163	193186662	15714	0.0058
a2303f80-4e34-451c-9d10-374741188a59	1	193187149	193187187	2	1.5079
a2303f80-4e34-451c-9d10-374741188a59	1	193187202	196772237	2404	0.0208
a2303f80-4e34-451c-9d10-374741188a59	1	196775006	196843377	43	0.309
a2303f80-4e34-451c-9d10-374741188a59	1	196843400	199142235	1371	0.022
a2303f80-4e34-451c-9d10-374741188a59	1	199142298	199142844	4	1.2274
a2303f80-4e34-451c-9d10-374741188a59	1	199143343	201364692	1571	0.0119
a2303f80-4e34-451c-9d10-374741188a59	1	201365667	201366771	2	-2.0233
a2303f80-4e34-451c-9d10-374741188a59	1	201370252	215318153	9511	-0.0005
a2303f80-4e34-451c-9d10-374741188a59	1	215320126	215325761	7	-0.9397
a2303f80-4e34-451c-9d10-374741188a59	1	215327688	240228440	17351	0.0004
a2303f80-4e34-451c-9d10-374741188a59	1	240230715	240230839	6	-2.1712
a2303f80-4e34-451c-9d10-374741188a59	1	240232805	248930189	5832	-0.0032
a2303f80-4e34-451c-9d10-374741188a59	2	12784	4169594	2989	-0.0098
a2303f80-4e34-451c-9d10-374741188a59	2	4169706	4174231	20	0.4348
a2303f80-4e34-451c-9d10-374741188a59	2	4174418	34295406	20902	0.0078
