GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3967-01A-01D-A91W-36	chr1	17001	5519000	4539	0.107507
TCGA-AA-3967-01A-01D-A91W-36	chr1	5519001	16602000	10631	0.167399
TCGA-AA-3967-01A-01D-A91W-36	chr1	16602001	16626000	23	0.402688
TCGA-AA-3967-01A-01D-A91W-36	chr1	16626001	16799000	95	-0.122457
TCGA-AA-3967-01A-01D-A91W-36	chr1	16850001	16949000	88	0.559748
TCGA-AA-3967-01A-01D-A91W-36	chr1	16949001	57807000	40565	0.194923
TCGA-AA-3967-01A-01D-A91W-36	chr1	57807001	68874000	10996	0.261799
TCGA-AA-3967-01A-01D-A91W-36	chr1	68874001	83374000	14329	0.194737
TCGA-AA-3967-01A-01D-A91W-36	chr1	83374001	95621000	12144	0.257305
TCGA-AA-3967-01A-01D-A91W-36	chr1	95621001	115685000	19574	0.213550
TCGA-AA-3967-01A-01D-A91W-36	chr1	115685001	115691000	6	-9.472713
TCGA-AA-3967-01A-01D-A91W-36	chr1	115691001	120672000	4379	0.248806
TCGA-AA-3967-01A-01D-A91W-36	chr1	120805001	120922000	26	-0.590072
TCGA-AA-3967-01A-01D-A91W-36	chr1	120935001	122700000	287	0.190860
TCGA-AA-3967-01A-01D-A91W-36	chr1	122703001	124781000	297	-0.646409
TCGA-AA-3967-01A-01D-A91W-36	chr1	124782001	248931000	100332	0.223090
TCGA-AA-3967-01A-01D-A91W-36	chr2	11001	7202000	7087	0.110922
TCGA-AA-3967-01A-01D-A91W-36	chr2	7202001	77108000	69481	0.193127
TCGA-AA-3967-01A-01D-A91W-36	chr2	77108001	77498000	389	0.017128
TCGA-AA-3967-01A-01D-A91W-36	chr2	77498001	77655000	155	-0.172836
TCGA-AA-3967-01A-01D-A91W-36	chr2	77655001	78009000	335	0.046310
TCGA-AA-3967-01A-01D-A91W-36	chr2	78009001	78043000	34	-0.118646
TCGA-AA-3967-01A-01D-A91W-36	chr2	78043001	90380000	10653	0.163968
TCGA-AA-3967-01A-01D-A91W-36	chr2	90380001	90403000	23	-0.874672
TCGA-AA-3967-01A-01D-A91W-36	chr2	91407001	115109000	19119	0.192237
TCGA-AA-3967-01A-01D-A91W-36	chr2	115109001	146673000	30895	0.156374
TCGA-AA-3967-01A-01D-A91W-36	chr2	146673001	203034000	55922	0.220344
TCGA-AA-3967-01A-01D-A91W-36	chr2	203034001	203041000	7	-9.491010
TCGA-AA-3967-01A-01D-A91W-36	chr2	203041001	209086000	6010	0.222181
TCGA-AA-3967-01A-01D-A91W-36	chr2	209086001	237631000	28367	0.179816
TCGA-AA-3967-01A-01D-A91W-36	chr2	237631001	241911000	4213	0.112640
TCGA-AA-3967-01A-01D-A91W-36	chr2	241911001	242093000	169	-0.906314
TCGA-AA-3967-01A-01D-A91W-36	chr2	242093001	242159000	37	0.269907
TCGA-AA-3967-01A-01D-A91W-36	chr3	12001	885000	861	-0.085019
TCGA-AA-3967-01A-01D-A91W-36	chr3	885001	3123000	2224	-0.138248
TCGA-AA-3967-01A-01D-A91W-36	chr3	3123001	3250000	125	-0.565563
TCGA-AA-3967-01A-01D-A91W-36	chr3	3250001	4129000	864	-0.088285
TCGA-AA-3967-01A-01D-A91W-36	chr3	4129001	4866000	732	-0.039838
TCGA-AA-3967-01A-01D-A91W-36	chr3	4866001	4987000	116	-0.007251
TCGA-AA-3967-01A-01D-A91W-36	chr3	4987001	5248000	261	-0.075861
TCGA-AA-3967-01A-01D-A91W-36	chr3	5248001	5784000	535	-0.050817
TCGA-AA-3967-01A-01D-A91W-36	chr3	5784001	6276000	491	-0.098214
TCGA-AA-3967-01A-01D-A91W-36	chr3	6276001	6292000	16	0.569848
TCGA-AA-3967-01A-01D-A91W-36	chr3	6292001	6443000	150	-0.115993
TCGA-AA-3967-01A-01D-A91W-36	chr3	6443001	7949000	1501	-0.106805
TCGA-AA-3967-01A-01D-A91W-36	chr3	7949001	9201000	1241	-0.078648
TCGA-AA-3967-01A-01D-A91W-36	chr3	9201001	11170000	1968	-0.130281
TCGA-AA-3967-01A-01D-A91W-36	chr3	11170001	11901000	729	-0.117260
TCGA-AA-3967-01A-01D-A91W-36	chr3	11901001	12445000	537	-0.060926
TCGA-AA-3967-01A-01D-A91W-36	chr3	12445001	12623000	177	-0.096727
TCGA-AA-3967-01A-01D-A91W-36	chr3	12623001	13118000	495	-0.174436
TCGA-AA-3967-01A-01D-A91W-36	chr3	13118001	13460000	342	-0.218749
TCGA-AA-3967-01A-01D-A91W-36	chr3	13460001	13929000	469	-0.165977
TCGA-AA-3967-01A-01D-A91W-36	chr3	13929001	14107000	177	-0.069540
TCGA-AA-3967-01A-01D-A91W-36	chr3	14107001	15528000	1418	-0.116532
TCGA-AA-3967-01A-01D-A91W-36	chr3	15528001	17432000	1897	-0.106062
TCGA-AA-3967-01A-01D-A91W-36	chr3	17432001	17961000	525	-0.071666
TCGA-AA-3967-01A-01D-A91W-36	chr3	17961001	18292000	331	-0.068433
TCGA-AA-3967-01A-01D-A91W-36	chr3	18292001	18811000	515	-0.063715
TCGA-AA-3967-01A-01D-A91W-36	chr3	18811001	19872000	1049	-0.054479
TCGA-AA-3967-01A-01D-A91W-36	chr3	19872001	20787000	913	-0.111924
TCGA-AA-3967-01A-01D-A91W-36	chr3	20787001	21803000	1012	-0.137133
TCGA-AA-3967-01A-01D-A91W-36	chr3	21803001	22542000	729	-0.113803
TCGA-AA-3967-01A-01D-A91W-36	chr3	22542001	22603000	61	-0.087314
TCGA-AA-3967-01A-01D-A91W-36	chr3	22603001	24229000	1617	-0.082369
TCGA-AA-3967-01A-01D-A91W-36	chr3	24229001	24601000	371	-0.040123
TCGA-AA-3967-01A-01D-A91W-36	chr3	24601001	24771000	170	-0.015198
TCGA-AA-3967-01A-01D-A91W-36	chr3	24771001	25483000	711	-0.096252
TCGA-AA-3967-01A-01D-A91W-36	chr3	25483001	26971000	1473	-0.118527
TCGA-AA-3967-01A-01D-A91W-36	chr3	26971001	29771000	2782	-0.099708
TCGA-AA-3967-01A-01D-A91W-36	chr3	29771001	32009000	2236	-0.035662
TCGA-AA-3967-01A-01D-A91W-36	chr3	32009001	32694000	679	-0.085385
TCGA-AA-3967-01A-01D-A91W-36	chr3	32694001	33228000	532	-0.123508
TCGA-AA-3967-01A-01D-A91W-36	chr3	33228001	35241000	1999	-0.063673
TCGA-AA-3967-01A-01D-A91W-36	chr3	35241001	36923000	1676	-0.097962
TCGA-AA-3967-01A-01D-A91W-36	chr3	36923001	39464000	2535	-0.087159
TCGA-AA-3967-01A-01D-A91W-36	chr3	39464001	42493000	3014	-0.071979
TCGA-AA-3967-01A-01D-A91W-36	chr3	42493001	45616000	3110	-0.113985
TCGA-AA-3967-01A-01D-A91W-36	chr3	45616001	46426000	809	-0.069614
TCGA-AA-3967-01A-01D-A91W-36	chr3	46426001	46866000	432	-0.119292
TCGA-AA-3967-01A-01D-A91W-36	chr3	46866001	47977000	1109	-0.139481
TCGA-AA-3967-01A-01D-A91W-36	chr3	47977001	48164000	185	-0.102052
TCGA-AA-3967-01A-01D-A91W-36	chr3	48164001	48278000	111	-0.174529
TCGA-AA-3967-01A-01D-A91W-36	chr3	48278001	48337000	59	-0.089507
TCGA-AA-3967-01A-01D-A91W-36	chr3	48337001	49350000	1010	-0.162443
TCGA-AA-3967-01A-01D-A91W-36	chr3	49350001	53107000	3745	-0.131383
TCGA-AA-3967-01A-01D-A91W-36	chr3	53107001	54606000	1483	-0.106919
TCGA-AA-3967-01A-01D-A91W-36	chr3	54606001	55758000	1145	-0.180021
TCGA-AA-3967-01A-01D-A91W-36	chr3	55758001	56122000	364	-0.130526
TCGA-AA-3967-01A-01D-A91W-36	chr3	56122001	57121000	995	-0.096576
TCGA-AA-3967-01A-01D-A91W-36	chr3	57121001	59910000	2779	-0.088333
TCGA-AA-3967-01A-01D-A91W-36	chr3	59910001	59935000	25	-0.547731
TCGA-AA-3967-01A-01D-A91W-36	chr3	59935001	59991000	55	-0.529579
TCGA-AA-3967-01A-01D-A91W-36	chr3	59991001	60015000	24	-0.564317
TCGA-AA-3967-01A-01D-A91W-36	chr3	60015001	60126000	111	-0.605032
TCGA-AA-3967-01A-01D-A91W-36	chr3	60126001	60134000	8	-0.529315
TCGA-AA-3967-01A-01D-A91W-36	chr3	60134001	60230000	96	-0.636073
TCGA-AA-3967-01A-01D-A91W-36	chr3	60230001	60261000	31	-0.730230
TCGA-AA-3967-01A-01D-A91W-36	chr3	60261001	60372000	111	-0.403145
TCGA-AA-3967-01A-01D-A91W-36	chr3	60372001	60384000	12	-1.066609
TCGA-AA-3967-01A-01D-A91W-36	chr3	60384001	60806000	422	-0.438563
TCGA-AA-3967-01A-01D-A91W-36	chr3	60806001	60957000	150	-0.171743
TCGA-AA-3967-01A-01D-A91W-36	chr3	60957001	61055000	98	0.067082
TCGA-AA-3967-01A-01D-A91W-36	chr3	61055001	61867000	811	-0.103564
TCGA-AA-3967-01A-01D-A91W-36	chr3	61867001	63137000	1264	-0.068282
TCGA-AA-3967-01A-01D-A91W-36	chr3	63142001	63602000	446	-0.027081
TCGA-AA-3967-01A-01D-A91W-36	chr3	63602001	66041000	2428	-0.078661
TCGA-AA-3967-01A-01D-A91W-36	chr3	66041001	67075000	1031	-0.090947
TCGA-AA-3967-01A-01D-A91W-36	chr3	67075001	67118000	43	-0.107517
TCGA-AA-3967-01A-01D-A91W-36	chr3	67118001	71970000	4831	-0.116925
TCGA-AA-3967-01A-01D-A91W-36	chr3	71970001	72269000	298	-0.143501
TCGA-AA-3967-01A-01D-A91W-36	chr3	72269001	72995000	725	-0.116688
TCGA-AA-3967-01A-01D-A91W-36	chr3	72995001	74328000	1333	-0.075391
TCGA-AA-3967-01A-01D-A91W-36	chr3	74328001	75413000	1077	-0.113858
TCGA-AA-3967-01A-01D-A91W-36	chr3	75413001	75564000	125	-0.190224
TCGA-AA-3967-01A-01D-A91W-36	chr3	75564001	80424000	4837	-0.139682
TCGA-AA-3967-01A-01D-A91W-36	chr3	80424001	81517000	1082	-0.095631
TCGA-AA-3967-01A-01D-A91W-36	chr3	81517001	82726000	1204	-0.139478
TCGA-AA-3967-01A-01D-A91W-36	chr3	82726001	85381000	2647	-0.157062
TCGA-AA-3967-01A-01D-A91W-36	chr3	85381001	87042000	1653	-0.132153
TCGA-AA-3967-01A-01D-A91W-36	chr3	87042001	87749000	705	-0.095829
TCGA-AA-3967-01A-01D-A91W-36	chr3	87749001	87970000	220	-0.116620
TCGA-AA-3967-01A-01D-A91W-36	chr3	87970001	88917000	946	-0.104129
TCGA-AA-3967-01A-01D-A91W-36	chr3	88917001	89084000	167	-0.162611
TCGA-AA-3967-01A-01D-A91W-36	chr3	89084001	90640000	1519	-0.149903
TCGA-AA-3967-01A-01D-A91W-36	chr3	90640001	90648000	8	-1.524669
TCGA-AA-3967-01A-01D-A91W-36	chr3	90648001	95554000	2146	-0.121283
TCGA-AA-3967-01A-01D-A91W-36	chr3	95554001	95640000	86	-0.157395
TCGA-AA-3967-01A-01D-A91W-36	chr3	95640001	96897000	1251	-0.138844
TCGA-AA-3967-01A-01D-A91W-36	chr3	96897001	97659000	761	-0.122216
TCGA-AA-3967-01A-01D-A91W-36	chr3	97659001	99313000	1629	-0.085574
TCGA-AA-3967-01A-01D-A91W-36	chr3	99313001	101564000	2246	-0.047662
TCGA-AA-3967-01A-01D-A91W-36	chr3	101564001	102889000	1321	-0.088975
TCGA-AA-3967-01A-01D-A91W-36	chr3	102889001	104329000	1421	-0.138982
TCGA-AA-3967-01A-01D-A91W-36	chr3	104329001	107167000	2815	-0.107370
TCGA-AA-3967-01A-01D-A91W-36	chr3	107167001	108232000	1059	-0.028348
TCGA-AA-3967-01A-01D-A91W-36	chr3	108232001	109062000	822	-0.018351
TCGA-AA-3967-01A-01D-A91W-36	chr3	109062001	109309000	240	-0.065494
TCGA-AA-3967-01A-01D-A91W-36	chr3	109309001	109594000	284	-0.113875
TCGA-AA-3967-01A-01D-A91W-36	chr3	109594001	110776000	1170	-0.090302
TCGA-AA-3967-01A-01D-A91W-36	chr3	110776001	111287000	506	-0.076259
TCGA-AA-3967-01A-01D-A91W-36	chr3	111287001	114109000	2793	-0.042775
TCGA-AA-3967-01A-01D-A91W-36	chr3	114109001	114229000	120	-0.097399
TCGA-AA-3967-01A-01D-A91W-36	chr3	114229001	114452000	220	-0.072552
TCGA-AA-3967-01A-01D-A91W-36	chr3	114452001	115381000	928	-0.062835
TCGA-AA-3967-01A-01D-A91W-36	chr3	115381001	118160000	2767	-0.119905
TCGA-AA-3967-01A-01D-A91W-36	chr3	118160001	118533000	373	-0.138540
TCGA-AA-3967-01A-01D-A91W-36	chr3	118533001	119641000	1097	-0.095839
TCGA-AA-3967-01A-01D-A91W-36	chr3	119641001	122193000	2526	-0.065327
TCGA-AA-3967-01A-01D-A91W-36	chr3	122193001	124410000	2210	-0.099023
TCGA-AA-3967-01A-01D-A91W-36	chr3	124410001	125839000	1423	-0.074311
TCGA-AA-3967-01A-01D-A91W-36	chr3	125839001	126915000	1055	-0.153493
TCGA-AA-3967-01A-01D-A91W-36	chr3	126915001	127223000	308	-0.212970
TCGA-AA-3967-01A-01D-A91W-36	chr3	127223001	127367000	144	-0.122915
TCGA-AA-3967-01A-01D-A91W-36	chr3	127367001	127713000	345	-0.172846
TCGA-AA-3967-01A-01D-A91W-36	chr3	127713001	128210000	496	-0.100669
TCGA-AA-3967-01A-01D-A91W-36	chr3	128210001	128648000	438	-0.174738
TCGA-AA-3967-01A-01D-A91W-36	chr3	128648001	130130000	1435	-0.127771
TCGA-AA-3967-01A-01D-A91W-36	chr3	130130001	133163000	2991	-0.086915
TCGA-AA-3967-01A-01D-A91W-36	chr3	133163001	133460000	297	-0.072176
TCGA-AA-3967-01A-01D-A91W-36	chr3	133460001	134872000	1410	-0.091011
TCGA-AA-3967-01A-01D-A91W-36	chr3	134872001	135236000	358	-0.157842
TCGA-AA-3967-01A-01D-A91W-36	chr3	135236001	135947000	700	-0.137133
TCGA-AA-3967-01A-01D-A91W-36	chr3	135947001	136992000	1028	-0.102077
TCGA-AA-3967-01A-01D-A91W-36	chr3	136992001	137047000	55	-0.120145
TCGA-AA-3967-01A-01D-A91W-36	chr3	137047001	137207000	158	-0.093246
TCGA-AA-3967-01A-01D-A91W-36	chr3	137207001	138554000	1333	-0.128055
TCGA-AA-3967-01A-01D-A91W-36	chr3	138554001	138796000	241	-0.093814
TCGA-AA-3967-01A-01D-A91W-36	chr3	138796001	138936000	140	-0.152449
TCGA-AA-3967-01A-01D-A91W-36	chr3	138936001	139188000	248	-0.092466
TCGA-AA-3967-01A-01D-A91W-36	chr3	139188001	139868000	679	-0.075249
TCGA-AA-3967-01A-01D-A91W-36	chr3	139868001	140746000	875	-0.105706
TCGA-AA-3967-01A-01D-A91W-36	chr3	140746001	140831000	83	-0.089390
TCGA-AA-3967-01A-01D-A91W-36	chr3	140831001	142201000	1362	-0.070152
TCGA-AA-3967-01A-01D-A91W-36	chr3	142201001	143145000	943	-0.051962
TCGA-AA-3967-01A-01D-A91W-36	chr3	143145001	143813000	667	-0.102930
TCGA-AA-3967-01A-01D-A91W-36	chr3	143813001	146042000	2218	-0.126859
TCGA-AA-3967-01A-01D-A91W-36	chr3	146042001	146798000	746	-0.073665
TCGA-AA-3967-01A-01D-A91W-36	chr3	146798001	148223000	1423	-0.122125
TCGA-AA-3967-01A-01D-A91W-36	chr3	148223001	149286000	1056	-0.042231
TCGA-AA-3967-01A-01D-A91W-36	chr3	149286001	149618000	331	-0.038155
TCGA-AA-3967-01A-01D-A91W-36	chr3	149618001	149778000	160	-0.080553
TCGA-AA-3967-01A-01D-A91W-36	chr3	149778001	150965000	1181	-0.039457
TCGA-AA-3967-01A-01D-A91W-36	chr3	150965001	151839000	872	-0.064518
TCGA-AA-3967-01A-01D-A91W-36	chr3	151839001	152888000	1046	-0.053498
TCGA-AA-3967-01A-01D-A91W-36	chr3	152888001	154427000	1533	-0.117323
TCGA-AA-3967-01A-01D-A91W-36	chr3	154427001	156644000	2196	-0.082981
TCGA-AA-3967-01A-01D-A91W-36	chr3	156644001	157072000	427	-0.036377
TCGA-AA-3967-01A-01D-A91W-36	chr3	157072001	158098000	1017	-0.076764
TCGA-AA-3967-01A-01D-A91W-36	chr3	158098001	158569000	469	-0.074182
TCGA-AA-3967-01A-01D-A91W-36	chr3	158569001	160217000	1632	-0.104375
TCGA-AA-3967-01A-01D-A91W-36	chr3	160217001	161993000	1770	-0.085657
TCGA-AA-3967-01A-01D-A91W-36	chr3	161993001	166226000	4080	-0.144038
TCGA-AA-3967-01A-01D-A91W-36	chr3	166226001	167079000	848	-0.120559
TCGA-AA-3967-01A-01D-A91W-36	chr3	167079001	167586000	506	-0.076181
TCGA-AA-3967-01A-01D-A91W-36	chr3	167586001	170204000	2602	-0.028034
TCGA-AA-3967-01A-01D-A91W-36	chr3	170204001	170945000	738	-0.060664
TCGA-AA-3967-01A-01D-A91W-36	chr3	170945001	172841000	1892	-0.028786
TCGA-AA-3967-01A-01D-A91W-36	chr3	172841001	173394000	553	-0.026023
TCGA-AA-3967-01A-01D-A91W-36	chr3	173394001	173748000	354	-0.063634
TCGA-AA-3967-01A-01D-A91W-36	chr3	173748001	174552000	801	-0.091680
TCGA-AA-3967-01A-01D-A91W-36	chr3	174552001	174632000	80	-0.079318
TCGA-AA-3967-01A-01D-A91W-36	chr3	174632001	174914000	281	-0.075425
TCGA-AA-3967-01A-01D-A91W-36	chr3	174914001	174929000	15	-0.509118
TCGA-AA-3967-01A-01D-A91W-36	chr3	174929001	175399000	467	-0.120390
TCGA-AA-3967-01A-01D-A91W-36	chr3	175399001	175953000	549	-0.097720
TCGA-AA-3967-01A-01D-A91W-36	chr3	175953001	179723000	3745	-0.075328
TCGA-AA-3967-01A-01D-A91W-36	chr3	179723001	181329000	1602	-0.118224
TCGA-AA-3967-01A-01D-A91W-36	chr3	181329001	181804000	475	-0.088873
TCGA-AA-3967-01A-01D-A91W-36	chr3	181804001	181962000	158	-0.131372
TCGA-AA-3967-01A-01D-A91W-36	chr3	181962001	183433000	1464	-0.049449
TCGA-AA-3967-01A-01D-A91W-36	chr3	183433001	184279000	840	-0.128281
TCGA-AA-3967-01A-01D-A91W-36	chr3	184279001	184745000	465	-0.154333
TCGA-AA-3967-01A-01D-A91W-36	chr3	184745001	186736000	1980	-0.077087
TCGA-AA-3967-01A-01D-A91W-36	chr3	186736001	187912000	1154	-0.111104
TCGA-AA-3967-01A-01D-A91W-36	chr3	187912001	188982000	1065	-0.087662
TCGA-AA-3967-01A-01D-A91W-36	chr3	188982001	191230000	2237	-0.047355
TCGA-AA-3967-01A-01D-A91W-36	chr3	191230001	192166000	923	-0.123109
TCGA-AA-3967-01A-01D-A91W-36	chr3	192166001	192439000	273	-0.089016
TCGA-AA-3967-01A-01D-A91W-36	chr3	192439001	193057000	610	-0.069554
TCGA-AA-3967-01A-01D-A91W-36	chr3	193057001	194024000	954	-0.032277
TCGA-AA-3967-01A-01D-A91W-36	chr3	194024001	194303000	279	-0.085867
TCGA-AA-3967-01A-01D-A91W-36	chr3	194303001	194330000	27	-0.117029
TCGA-AA-3967-01A-01D-A91W-36	chr3	194330001	195929000	1524	-0.095455
TCGA-AA-3967-01A-01D-A91W-36	chr3	195929001	196739000	797	-0.147010
TCGA-AA-3967-01A-01D-A91W-36	chr3	196739001	197107000	365	-0.114421
TCGA-AA-3967-01A-01D-A91W-36	chr3	197107001	197356000	244	-0.029800
TCGA-AA-3967-01A-01D-A91W-36	chr3	197356001	198175000	767	-0.100596
TCGA-AA-3967-01A-01D-A91W-36	chr4	15001	815000	758	-0.168003
TCGA-AA-3967-01A-01D-A91W-36	chr4	815001	2021000	1177	-0.211903
TCGA-AA-3967-01A-01D-A91W-36	chr4	2021001	2782000	760	-0.182552
TCGA-AA-3967-01A-01D-A91W-36	chr4	2782001	3468000	683	-0.184089
TCGA-AA-3967-01A-01D-A91W-36	chr4	3468001	3548000	75	-0.248488
TCGA-AA-3967-01A-01D-A91W-36	chr4	3548001	4085000	527	-0.189525
TCGA-AA-3967-01A-01D-A91W-36	chr4	4085001	5730000	1610	-0.187222
TCGA-AA-3967-01A-01D-A91W-36	chr4	5730001	6004000	269	-0.224299
TCGA-AA-3967-01A-01D-A91W-36	chr4	6004001	7201000	1190	-0.179788
TCGA-AA-3967-01A-01D-A91W-36	chr4	7201001	7536000	329	-0.240147
TCGA-AA-3967-01A-01D-A91W-36	chr4	7536001	7843000	305	-0.200585
TCGA-AA-3967-01A-01D-A91W-36	chr4	7843001	7986000	143	-0.153289
TCGA-AA-3967-01A-01D-A91W-36	chr4	7986001	8303000	315	-0.208039
TCGA-AA-3967-01A-01D-A91W-36	chr4	8303001	10643000	2029	-0.165675
TCGA-AA-3967-01A-01D-A91W-36	chr4	10643001	11573000	913	-0.087431
TCGA-AA-3967-01A-01D-A91W-36	chr4	11573001	11971000	397	-0.072072
TCGA-AA-3967-01A-01D-A91W-36	chr4	11971001	13073000	1087	-0.129443
TCGA-AA-3967-01A-01D-A91W-36	chr4	13073001	13737000	661	-0.157357
TCGA-AA-3967-01A-01D-A91W-36	chr4	13737001	14907000	1151	-0.143459
TCGA-AA-3967-01A-01D-A91W-36	chr4	14907001	17717000	2790	-0.123913
TCGA-AA-3967-01A-01D-A91W-36	chr4	17717001	18942000	1219	-0.095017
TCGA-AA-3967-01A-01D-A91W-36	chr4	18942001	20349000	1393	-0.169016
TCGA-AA-3967-01A-01D-A91W-36	chr4	20349001	20543000	192	-0.126589
TCGA-AA-3967-01A-01D-A91W-36	chr4	20543001	21596000	1047	-0.166324
TCGA-AA-3967-01A-01D-A91W-36	chr4	21596001	22176000	577	-0.121170
TCGA-AA-3967-01A-01D-A91W-36	chr4	22176001	23589000	1412	-0.115336
TCGA-AA-3967-01A-01D-A91W-36	chr4	23589001	25109000	1509	-0.147813
TCGA-AA-3967-01A-01D-A91W-36	chr4	25109001	27965000	2843	-0.117076
