GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	62920	86341	11	-0.8077
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	98588	3043940	624	0.1198
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	3050660	9247978	4008	0.0025
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	9255788	9344634	58	0.5396
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	9344921	15823420	3602	0.0006
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	15827002	15828471	9	-1.3174
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	15828515	16788139	353	-0.008
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	16855942	16935302	53	-0.3596
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	16935393	72305684	33824	0.0023
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	72305835	72332927	26	-0.8614
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	72336821	75585159	1934	-0.0101
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	75589078	75589169	2	-2.3832
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	75593824	143547055	28588	-0.0021
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	143547139	143942271	121	-0.6843
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	144432083	152583051	2296	0.0051
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	152583230	152613762	31	-1.7929
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	152613802	152785214	167	-0.0247
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	152787202	152796224	38	-0.4584
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	152801429	196843377	29303	0.0012
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	196843400	196846661	2	-2.8966
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	196847600	199142235	1361	-0.0094
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	199142298	199144712	8	-1.714
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	199145110	248574146	34004	0.0017
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	248585893	248646068	35	-0.733
48d0f966-6ff1-467b-b85d-f670ff0d3247	1	248661836	248930189	137	0.0691
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	12784	24376335	17815	0.0036
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	24376374	24388259	21	-0.4571
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	24388858	35168368	6568	0.0038
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	35170778	35779144	458	-0.1002
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	35784219	36108463	258	0.0114
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	36109476	36125971	16	-0.7907
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	36126722	51307168	10946	-0.0056
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	51307243	51313307	4	-1.3333
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	51319583	52516787	803	-0.0187
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	52527330	52554404	40	0.8714
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	52560811	76618047	15444	0.0019
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	76618155	76618300	4	-3.0555
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	76620460	130036283	28001	-0.0026
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	130036310	130116915	13	0.6091
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	130117303	146104517	9453	-0.0051
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	146106836	146120238	25	0.6889
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	146120827	193823021	28635	-0.0009
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	193825580	193829074	2	2.0127
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	193837590	194061868	99	0.0341
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	194061881	194063392	2	-2.0736
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	194063491	241841244	29758	-0.0003
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	241973315	242095518	105	-0.7657
48d0f966-6ff1-467b-b85d-f670ff0d3247	2	242101248	242147305	22	-0.0545
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	20930	47437019	33246	-0.0021
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	47450332	47451230	2	-1.8378
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	47455724	52988933	2216	0.0084
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	52989195	53007838	49	-0.3779
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	53007869	68697108	11955	-0.0112
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	68697133	68698262	13	1.2575
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	68699607	75366712	4835	-0.0025
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	75372019	75500795	57	-0.6136
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	75511375	99218940	10884	-0.0067
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	99225614	99230577	38	-0.5712
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	99232120	132270503	20032	0.0007
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	132273893	132276840	4	-1.7975
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	132281633	162405578	18429	-0.0022
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	162419812	162424917	14	-0.8534
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	162426460	162795304	256	0.0062
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	162795361	162908815	69	0.6929
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	162910826	189645889	16550	0.0022
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	189646041	189646849	10	-0.866
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	189653225	193160113	2469	-0.0092
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	193160173	193165114	19	1.4694
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	193168646	198111566	2660	0.0194
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	198118345	198122834	9	-1.5148
48d0f966-6ff1-467b-b85d-f670ff0d3247	3	198124354	198169247	8	-0.2633
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	68929	9450197	5133	0.0127
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	9455251	9477699	7	-1.3862
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	9484440	10221792	539	0.0065
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	10222004	10229874	27	-1.6709
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	10232590	43623654	22685	0.0004
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	43628254	43669824	24	-0.9806
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	43670363	63828222	10625	-0.0034
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	63831751	63842036	23	-1.0192
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	63842099	63842540	5	-2.8309
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	63850713	68418873	2829	-0.0094
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	68422420	68422424	3	1.1858
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	68429081	68506285	12	-0.0084
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	68509223	68620261	64	-1.2315
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	68623617	115244948	28105	-0.0018
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	115251455	115259026	23	-0.8277
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	115259080	121360818	3681	0.0056
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	121361313	121363400	25	-0.8199
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	121363434	171448195	30060	-0.0016
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	171453733	171456573	11	0.9922
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	171456625	172066777	391	0.004
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	172067997	172068382	12	-1.478
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	172074828	189267889	11611	0.0012
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	189273964	189278110	4	-2.1666
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	189278617	190036988	344	-0.0244
48d0f966-6ff1-467b-b85d-f670ff0d3247	4	190046094	190106768	5	0.935
48d0f966-6ff1-467b-b85d-f670ff0d3247	5	15532	53399527	32396	0.0057
48d0f966-6ff1-467b-b85d-f670ff0d3247	5	53400140	53401297	2	-2.3195
48d0f966-6ff1-467b-b85d-f670ff0d3247	5	53402557	58025819	3106	0.0008
48d0f966-6ff1-467b-b85d-f670ff0d3247	5	58030200	58037706	32	2.7151
48d0f966-6ff1-467b-b85d-f670ff0d3247	5	58042530	181363319	76506	0.0016
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	149661	8078545	6561	0.0094
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8083122	8083477	2	-1.5477
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8083666	8830134	525	-0.0074
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8832041	8832512	2	-1.9056
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8834718	8925113	72	-0.0724
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8927278	8932867	12	-0.8977
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	8934759	29868462	14310	0.0014
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	29868698	29933799	42	-0.3608
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	29940692	31313046	637	0.0161
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	31318499	31328674	11	-1.5276
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	31342147	32722250	603	0.0218
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	32723020	32723053	3	1.8899
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	32732907	66298369	18863	0.0042
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	66298393	66338736	56	-0.7219
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	66339513	73882142	4956	0.0034
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	73882509	73891694	10	0.9235
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	73893839	78252522	2738	0.0042
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	78252576	78316969	102	-0.4215
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	78316984	104014393	15864	0.0009
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	104019186	104094344	45	-0.8767
48d0f966-6ff1-467b-b85d-f670ff0d3247	6	104100591	170741917	43338	0.0069
