GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	17001	9787000	8798	0.034611
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	9787001	12797000	3008	-0.075033
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	12797001	16536000	3329	0.005228
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	16536001	16634000	66	-0.030442
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	16634001	16949000	175	-0.088698
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	16949001	26535000	9458	0.034810
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	26535001	32262000	5706	-0.051915
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	32262001	44452000	12119	0.043187
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	44452001	53713000	9204	-0.066134
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	53713001	62440000	8682	0.040220
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	62440001	72844000	10291	-0.040037
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	72844001	76159000	3294	0.053004
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	76159001	101549000	25188	-0.051319
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	101549001	110070000	8095	0.043182
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	110070001	120574000	9955	-0.063715
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	120671001	120942000	29	-0.797439
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	120942001	122807000	297	-0.046165
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	122818001	123715000	109	-0.163967
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	123720001	123743000	2	-1.694480
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	123743001	124069000	35	-0.504004
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	124069001	124099000	3	-1.303041
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	124102001	124284000	25	0.490182
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	124290001	124632000	71	-0.408895
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	124639001	124643000	2	-5.691021
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	124653001	158465000	11261	0.023944
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	158465001	158608000	143	-0.042939
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	158608001	161572000	2911	0.058800
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	161572001	161655000	48	-0.926879
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	161671001	199461000	37463	0.062039
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr1	199461001	248931000	48544	-0.058620
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	11001	3837000	3744	-0.034800
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	3837001	38444000	34380	-0.019492
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	38444001	89787000	49682	0.094637
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	89787001	89849000	61	0.038128
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	89849001	92354000	712	0.087596
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	92370001	94152000	25	-0.355395
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	94153001	113488000	17132	0.081060
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	113488001	113507000	9	-1.954882
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	113507001	114203000	628	-0.012592
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	114203001	122549000	8283	0.063428
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	122549001	127898000	5298	-0.009175
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	127898001	131225000	2942	0.091244
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	131225001	131418000	134	0.116559
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	131418001	131864000	425	-0.016702
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	131864001	140090000	8180	0.066533
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	140090001	239089000	98289	-0.006153
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr2	239089001	242159000	2972	-0.024156
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr3	12001	195615000	191480	-0.038275
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr3	195615001	195731000	89	0.383451
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr3	195731001	195737000	6	0.738086
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr3	195737001	198175000	2354	-0.046915
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	15001	8951000	8753	0.013013
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	8951001	9485000	297	0.587207
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	9485001	34778000	25083	0.030683
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	34778001	34827000	49	-0.883681
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	34827001	49092000	14206	0.029121
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	49092001	49643000	281	0.117191
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	49643001	69258000	17133	0.033990
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	69260001	69366000	103	-0.697197
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	69366001	149069000	79070	0.033299
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	149069001	149072000	3	-29.873205
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr4	149072001	190204000	40601	0.033637
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	13001	50938000	46726	0.001966
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	50938001	50944000	6	-0.851619
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	50944001	97808000	44781	0.006696
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	97808001	104173000	6211	0.069525
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	104173001	104199000	26	-1.039924
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	104199001	150824000	46364	0.064015
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	150824001	150843000	19	-0.960819
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	150843001	159707000	8794	0.061516
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr5	159707001	181474000	21015	0.000575
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	148001	260000	112	-0.085891
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	260001	372000	112	0.105429
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	372001	33058000	32220	-0.063200
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	33058001	33070000	8	-1.836475
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	33070001	58140000	24937	-0.059981
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr6	58140001	170612000	109660	-0.060105
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr7	35001	6744000	6544	0.035086
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr7	6745001	6798000	4	-2.672918
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr7	6810001	6861000	47	0.057667
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr7	6861001	6884000	23	-0.887010
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr7	6884001	159335000	144800	0.050938
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr8	205001	12124000	10504	-0.022038
TCGA-VQ-A8PQ-01A-11D-A89V-36	chr8	12126001	12176000	19	0.942701
