GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	17001	1658000	854	0.020811
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	1659001	1717000	36	0.691643
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	1717001	3194000	1341	-0.014568
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	3194001	3882000	682	-0.090346
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	3882001	7854000	3958	-0.084806
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	7854001	12719000	4858	-0.072643
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	12719001	12836000	114	0.058955
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	12836001	13059000	48	0.280002
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	13104001	15846000	2557	-0.077453
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	15846001	16646000	765	-0.073356
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	16646001	16799000	75	-0.767033
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	16850001	17090000	227	0.064508
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	17090001	21513000	4404	-0.077517
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	21513001	23880000	2361	-0.101529
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	23880001	26444000	2463	-0.071873
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	26444001	27211000	762	-0.050147
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	27211001	28100000	884	-0.037487
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	28100001	29305000	1205	-0.084778
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	29305001	30345000	1036	-0.120197
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	30345001	31214000	863	-0.082088
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	31214001	31456000	242	0.167990
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	31456001	37950000	6469	0.165449
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	37950001	40988000	3006	0.170817
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	40988001	48674000	7629	0.171167
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	48674001	50412000	1728	0.145125
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	50412001	56245000	5817	0.161449
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	56245001	58438000	2171	0.140900
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	58438001	58957000	518	0.194457
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	58957001	59279000	321	0.197068
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	59279001	60191000	907	0.128113
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	60191001	66520000	6298	0.048166
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	66520001	69931000	3387	0.057079
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	69931001	78258000	8228	0.038938
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	78258001	81376000	3093	0.042500
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	81376001	83062000	1675	0.029235
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	83062001	83164000	101	0.060611
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	83164001	83725000	525	0.062440
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	83725001	85476000	1741	0.061487
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	85476001	87132000	1618	0.056222
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	87132001	87313000	181	0.018739
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	87313001	88267000	953	0.061945
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	88267001	89092000	821	0.140930
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	89092001	90260000	1151	0.163650
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	90260001	92392000	2120	0.118136
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	92392001	97769000	5355	0.146637
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	97769001	99650000	1873	0.152119
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	99650001	103193000	3533	0.128756
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	103193001	107705000	4317	0.037774
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	107705001	114683000	6716	0.055520
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	114683001	115078000	395	0.067067
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	115078001	120180000	4949	0.058412
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	120180001	121743000	329	0.223969
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	121743001	143539000	652	-0.084939
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	143539001	143915000	234	0.071529
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	143935001	150528000	2822	-0.042306
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	150528001	154299000	3701	-0.034547
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	154299001	154423000	124	-0.054361
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	154423001	155317000	886	-0.045791
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	155317001	159932000	4573	-0.040445
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	159932001	160799000	867	-0.160018
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	160799001	161485000	657	-0.165495
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	161485001	172162000	10553	-0.171041
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	172162001	174853000	2656	-0.156946
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	174853001	180206000	5327	-0.175452
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	180206001	185261000	5027	-0.165321
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	185261001	187193000	1924	-0.151828
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	187193001	189579000	2360	-0.186160
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	189579001	189872000	293	-0.190572
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	189872001	191010000	1134	-0.186482
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	191010001	196737000	5693	-0.176221
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	196737001	198056000	1222	-0.163672
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	198056001	207851000	9496	-0.163991
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	207851001	208366000	515	-0.192007
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	208366001	209529000	1160	-0.169559
TCGA-CQ-A4C7-01A-11D-A855-36	chr1	209529001	210312000	770	-0.158023
