GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	62920	901705	57	0.0726
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	914637	1575421	153	0.3645
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	1696479	1737717	15	-1.0269
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	1741164	3301765	513	0.3163
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	3302046	5836947	1939	0.0206
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	5838263	5843898	12	0.383
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	5844509	5967673	104	0.0127
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	5969877	5984962	11	0.5008
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	5988377	6711463	320	0.0254
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	6711509	6711547	2	-1.3802
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	6713671	9255788	1534	0.0038
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	9266599	9346920	60	0.2116
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	9347116	12779433	1769	0.0136
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	12792599	12807830	20	-0.4089
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	12813243	15707706	1759	0.016
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	15719614	15753676	20	0.4177
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	15761329	16719082	395	0.0135
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	16719266	16788139	17	-0.7788
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	16855942	16935737	55	-0.1822
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	16935752	17003142	25	0.3724
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	17003654	21358952	2955	0.0105
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	21361264	21433632	44	0.2972
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	21443394	21820584	229	0.0173
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	21820786	21833764	5	0.6864
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	21837671	21970933	79	0.0034
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	21971792	22117517	80	0.1869
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	22117997	25090270	1726	0.0081
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	25092208	25097831	3	0.8006
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	25098398	25256800	116	0.0889
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	25256850	26486584	569	-0.0163
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	26487476	26546754	26	0.3097
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	26549798	27020298	151	-0.0226
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	27022452	27072223	22	0.3644
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	27072293	27480051	148	0.0157
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	27481107	27522789	16	0.3131
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	27523699	30666733	1823	0.0084
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	30667100	30789158	85	0.3121
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	30789990	34626073	2135	0.0005
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	34637053	34638890	20	-0.5375
9e120ba3-2374-4e42-8c53-8da2081ebe32	1	34648667	37379639	1460	0.0078
