GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CG-4460-01A-01D-A77X-36	chr1	17001	2288000	1445	-0.093664
TCGA-CG-4460-01A-01D-A77X-36	chr1	2288001	4992000	2569	-0.122016
TCGA-CG-4460-01A-01D-A77X-36	chr1	4992001	12780000	7776	-0.103704
TCGA-CG-4460-01A-01D-A77X-36	chr1	12780001	13007000	98	-0.809945
TCGA-CG-4460-01A-01D-A77X-36	chr1	13056001	15724000	2441	-0.110976
TCGA-CG-4460-01A-01D-A77X-36	chr1	15724001	16606000	844	-0.084760
TCGA-CG-4460-01A-01D-A77X-36	chr1	16606001	16647000	41	0.002729
TCGA-CG-4460-01A-01D-A77X-36	chr1	16647001	17069000	280	0.111882
TCGA-CG-4460-01A-01D-A77X-36	chr1	17069001	19320000	2249	-0.124221
TCGA-CG-4460-01A-01D-A77X-36	chr1	19320001	27914000	8461	-0.102362
TCGA-CG-4460-01A-01D-A77X-36	chr1	27914001	29690000	1773	-0.088191
TCGA-CG-4460-01A-01D-A77X-36	chr1	29690001	30208000	516	-0.132674
TCGA-CG-4460-01A-01D-A77X-36	chr1	30208001	38365000	8126	-0.103313
TCGA-CG-4460-01A-01D-A77X-36	chr1	38365001	38444000	79	-0.069017
TCGA-CG-4460-01A-01D-A77X-36	chr1	38444001	40344000	1873	-0.102254
TCGA-CG-4460-01A-01D-A77X-36	chr1	40344001	44680000	4316	-0.093977
TCGA-CG-4460-01A-01D-A77X-36	chr1	44680001	48164000	3445	-0.086653
TCGA-CG-4460-01A-01D-A77X-36	chr1	48164001	53073000	4893	-0.078648
TCGA-CG-4460-01A-01D-A77X-36	chr1	53073001	55002000	1922	-0.106183
TCGA-CG-4460-01A-01D-A77X-36	chr1	55002001	63614000	8567	-0.088044
TCGA-CG-4460-01A-01D-A77X-36	chr1	63614001	124783000	56266	-0.083334
TCGA-CG-4460-01A-01D-A77X-36	chr1	124802001	125171000	234	0.984708
TCGA-CG-4460-01A-01D-A77X-36	chr1	125174001	145697000	608	0.522641
TCGA-CG-4460-01A-01D-A77X-36	chr1	145697001	146549000	399	0.668180
TCGA-CG-4460-01A-01D-A77X-36	chr1	146551001	146951000	100	0.642982
TCGA-CG-4460-01A-01D-A77X-36	chr1	146960001	147807000	814	0.661689
TCGA-CG-4460-01A-01D-A77X-36	chr1	147807001	149651000	518	0.676317
TCGA-CG-4460-01A-01D-A77X-36	chr1	149656001	149670000	8	-4.974715
TCGA-CG-4460-01A-01D-A77X-36	chr1	149670001	150278000	457	0.661402
TCGA-CG-4460-01A-01D-A77X-36	chr1	150278001	153112000	2767	0.673283
TCGA-CG-4460-01A-01D-A77X-36	chr1	153112001	153207000	95	0.684082
TCGA-CG-4460-01A-01D-A77X-36	chr1	153207001	155317000	2099	0.665202
TCGA-CG-4460-01A-01D-A77X-36	chr1	155317001	156648000	1307	0.676903
TCGA-CG-4460-01A-01D-A77X-36	chr1	156648001	159473000	2810	0.844449
TCGA-CG-4460-01A-01D-A77X-36	chr1	159473001	162072000	2507	0.848398
TCGA-CG-4460-01A-01D-A77X-36	chr1	162072001	162162000	90	0.727785
TCGA-CG-4460-01A-01D-A77X-36	chr1	162162001	163001000	835	0.680760
TCGA-CG-4460-01A-01D-A77X-36	chr1	163001001	163956000	947	0.683643
TCGA-CG-4460-01A-01D-A77X-36	chr1	163956001	164635000	677	0.704664
TCGA-CG-4460-01A-01D-A77X-36	chr1	164635001	167570000	2925	0.843020
TCGA-CG-4460-01A-01D-A77X-36	chr1	167570001	167638000	68	0.840981
TCGA-CG-4460-01A-01D-A77X-36	chr1	167638001	167844000	206	0.853310
TCGA-CG-4460-01A-01D-A77X-36	chr1	167844001	168727000	877	0.874186
TCGA-CG-4460-01A-01D-A77X-36	chr1	168727001	168771000	44	0.863296
TCGA-CG-4460-01A-01D-A77X-36	chr1	168771001	168933000	162	0.883979
TCGA-CG-4460-01A-01D-A77X-36	chr1	168933001	168969000	36	0.877638
TCGA-CG-4460-01A-01D-A77X-36	chr1	168969001	169893000	899	0.880999
TCGA-CG-4460-01A-01D-A77X-36	chr1	169893001	171255000	1358	0.860388
TCGA-CG-4460-01A-01D-A77X-36	chr1	171255001	172219000	959	0.852067
TCGA-CG-4460-01A-01D-A77X-36	chr1	172219001	172333000	114	0.855683
TCGA-CG-4460-01A-01D-A77X-36	chr1	172333001	172400000	67	0.877975
TCGA-CG-4460-01A-01D-A77X-36	chr1	172400001	173205000	798	0.861200
TCGA-CG-4460-01A-01D-A77X-36	chr1	173205001	173333000	128	0.870225
TCGA-CG-4460-01A-01D-A77X-36	chr1	173333001	175101000	1740	0.852126
TCGA-CG-4460-01A-01D-A77X-36	chr1	175101001	175108000	7	-1.384254
TCGA-CG-4460-01A-01D-A77X-36	chr1	175108001	175858000	749	0.833058
TCGA-CG-4460-01A-01D-A77X-36	chr1	175858001	180261000	4378	0.856239
TCGA-CG-4460-01A-01D-A77X-36	chr1	180261001	180563000	301	0.880200
TCGA-CG-4460-01A-01D-A77X-36	chr1	180563001	181049000	476	0.863394
TCGA-CG-4460-01A-01D-A77X-36	chr1	181049001	181159000	110	0.836025
TCGA-CG-4460-01A-01D-A77X-36	chr1	181159001	182765000	1601	0.846919
TCGA-CG-4460-01A-01D-A77X-36	chr1	182765001	186283000	3502	0.860012
TCGA-CG-4460-01A-01D-A77X-36	chr1	186283001	186415000	131	0.885737
TCGA-CG-4460-01A-01D-A77X-36	chr1	186415001	186890000	472	0.867785
TCGA-CG-4460-01A-01D-A77X-36	chr1	186890001	187004000	114	0.866306
TCGA-CG-4460-01A-01D-A77X-36	chr1	187004001	189704000	2674	0.851639
TCGA-CG-4460-01A-01D-A77X-36	chr1	189704001	190196000	492	0.900360
TCGA-CG-4460-01A-01D-A77X-36	chr1	190196001	190416000	220	0.910366
TCGA-CG-4460-01A-01D-A77X-36	chr1	190416001	193952000	3515	0.862373
TCGA-CG-4460-01A-01D-A77X-36	chr1	193952001	194048000	95	0.863412
TCGA-CG-4460-01A-01D-A77X-36	chr1	194048001	199610000	5440	0.846248
TCGA-CG-4460-01A-01D-A77X-36	chr1	199610001	200057000	447	0.835577
TCGA-CG-4460-01A-01D-A77X-36	chr1	200057001	201972000	1909	0.842420
TCGA-CG-4460-01A-01D-A77X-36	chr1	201972001	202058000	86	0.847123
TCGA-CG-4460-01A-01D-A77X-36	chr1	202058001	202570000	510	0.854177
TCGA-CG-4460-01A-01D-A77X-36	chr1	202570001	202626000	56	0.833843
TCGA-CG-4460-01A-01D-A77X-36	chr1	202626001	204103000	1477	0.834417
TCGA-CG-4460-01A-01D-A77X-36	chr1	204103001	204128000	25	0.846875
TCGA-CG-4460-01A-01D-A77X-36	chr1	204128001	205490000	1361	0.839943
TCGA-CG-4460-01A-01D-A77X-36	chr1	205490001	205518000	28	0.786929
TCGA-CG-4460-01A-01D-A77X-36	chr1	205518001	206022000	502	0.841830
TCGA-CG-4460-01A-01D-A77X-36	chr1	206022001	206441000	191	0.831004
TCGA-CG-4460-01A-01D-A77X-36	chr1	206441001	206620000	177	0.844674
TCGA-CG-4460-01A-01D-A77X-36	chr1	206620001	206766000	146	0.850498
TCGA-CG-4460-01A-01D-A77X-36	chr1	206766001	207068000	302	0.852575
TCGA-CG-4460-01A-01D-A77X-36	chr1	207068001	210089000	2956	0.851111
TCGA-CG-4460-01A-01D-A77X-36	chr1	210089001	211924000	1833	0.842120
TCGA-CG-4460-01A-01D-A77X-36	chr1	211924001	214404000	2471	0.849936
TCGA-CG-4460-01A-01D-A77X-36	chr1	214404001	214497000	93	0.845306
TCGA-CG-4460-01A-01D-A77X-36	chr1	214497001	214744000	247	0.861095
TCGA-CG-4460-01A-01D-A77X-36	chr1	214744001	215678000	930	0.873263
TCGA-CG-4460-01A-01D-A77X-36	chr1	215678001	217937000	2248	0.869048
TCGA-CG-4460-01A-01D-A77X-36	chr1	217937001	218026000	83	0.842784
TCGA-CG-4460-01A-01D-A77X-36	chr1	218026001	219954000	1911	0.851249
TCGA-CG-4460-01A-01D-A77X-36	chr1	219954001	220282000	326	0.853323
TCGA-CG-4460-01A-01D-A77X-36	chr1	220282001	223417000	3101	0.847782
TCGA-CG-4460-01A-01D-A77X-36	chr1	223417001	223459000	41	0.856603
TCGA-CG-4460-01A-01D-A77X-36	chr1	223459001	223912000	398	0.835288
TCGA-CG-4460-01A-01D-A77X-36	chr1	223913001	224038000	73	0.875899
TCGA-CG-4460-01A-01D-A77X-36	chr1	224038001	224863000	822	0.847047
TCGA-CG-4460-01A-01D-A77X-36	chr1	224863001	226314000	1447	0.856428
TCGA-CG-4460-01A-01D-A77X-36	chr1	226314001	226345000	31	0.833314
TCGA-CG-4460-01A-01D-A77X-36	chr1	226345001	227028000	682	0.834222
TCGA-CG-4460-01A-01D-A77X-36	chr1	227028001	227362000	331	0.870146
TCGA-CG-4460-01A-01D-A77X-36	chr1	227362001	227397000	35	0.830883
TCGA-CG-4460-01A-01D-A77X-36	chr1	227397001	231409000	3891	0.839493
