GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EJ-5516-01A-01D-A753-36	chr1	17001	13122000	11909	-0.006616
TCGA-EJ-5516-01A-01D-A753-36	chr1	13170001	13173000	3	-29.875634
TCGA-EJ-5516-01A-01D-A753-36	chr1	13224001	16605000	3260	0.011280
TCGA-EJ-5516-01A-01D-A753-36	chr1	16605001	16636000	31	-0.081667
TCGA-EJ-5516-01A-01D-A753-36	chr1	16636001	16949000	173	-0.167323
TCGA-EJ-5516-01A-01D-A753-36	chr1	16949001	34636000	17517	0.010540
TCGA-EJ-5516-01A-01D-A753-36	chr1	34636001	34646000	10	-29.891676
TCGA-EJ-5516-01A-01D-A753-36	chr1	34646001	60162000	25369	0.009174
TCGA-EJ-5516-01A-01D-A753-36	chr1	60162001	64320000	4146	-0.061234
TCGA-EJ-5516-01A-01D-A753-36	chr1	64320001	122866000	55283	0.005295
TCGA-EJ-5516-01A-01D-A753-36	chr1	122877001	122895000	5	-2.977297
TCGA-EJ-5516-01A-01D-A753-36	chr1	122897001	225035000	77126	0.010480
TCGA-EJ-5516-01A-01D-A753-36	chr1	225035001	225447000	410	-0.276099
TCGA-EJ-5516-01A-01D-A753-36	chr1	225447001	248931000	23069	0.004449
TCGA-EJ-5516-01A-01D-A753-36	chr2	11001	30216000	29998	0.006280
TCGA-EJ-5516-01A-01D-A753-36	chr2	30216001	33480000	3246	-0.276176
TCGA-EJ-5516-01A-01D-A753-36	chr2	33480001	240674000	198251	0.004648
TCGA-EJ-5516-01A-01D-A753-36	chr2	240674001	240770000	78	0.559704
TCGA-EJ-5516-01A-01D-A753-36	chr2	240770001	242159000	1323	0.009227
TCGA-EJ-5516-01A-01D-A753-36	chr3	12001	5048000	4983	0.003647
TCGA-EJ-5516-01A-01D-A753-36	chr3	5048001	11978000	6906	-0.081119
TCGA-EJ-5516-01A-01D-A753-36	chr3	11978001	165323000	149509	0.006429
