GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fed7301c-339c-484f-945a-abe21e892dd6	1	62920	2950583	585	0.1206
fed7301c-339c-484f-945a-abe21e892dd6	1	2951396	14997156	7202	-0.0027
fed7301c-339c-484f-945a-abe21e892dd6	1	15003491	15822848	548	-0.4431
fed7301c-339c-484f-945a-abe21e892dd6	1	15823420	15828515	11	0.6397
fed7301c-339c-484f-945a-abe21e892dd6	1	15839166	16891412	364	-0.4287
fed7301c-339c-484f-945a-abe21e892dd6	1	16898475	16909203	7	0.6897
fed7301c-339c-484f-945a-abe21e892dd6	1	16909357	21409834	3044	-0.4473
fed7301c-339c-484f-945a-abe21e892dd6	1	21410973	21411250	4	-1.8481
fed7301c-339c-484f-945a-abe21e892dd6	1	21416244	25003287	2056	-0.451
fed7301c-339c-484f-945a-abe21e892dd6	1	25003500	25005094	2	-2.3156
fed7301c-339c-484f-945a-abe21e892dd6	1	25006773	25132941	113	-0.4532
fed7301c-339c-484f-945a-abe21e892dd6	1	25132989	25133608	12	0.3285
fed7301c-339c-484f-945a-abe21e892dd6	1	25133624	25244339	57	-0.4821
fed7301c-339c-484f-945a-abe21e892dd6	1	25244778	25320455	32	0.1291
fed7301c-339c-484f-945a-abe21e892dd6	1	25336819	28984562	1511	-0.4518
fed7301c-339c-484f-945a-abe21e892dd6	1	28992968	61648334	19925	0.005
fed7301c-339c-484f-945a-abe21e892dd6	1	61648509	61652515	3	-1.3563
fed7301c-339c-484f-945a-abe21e892dd6	1	61654137	72275051	7277	-0.0018
fed7301c-339c-484f-945a-abe21e892dd6	1	72280850	72345465	63	0.3696
fed7301c-339c-484f-945a-abe21e892dd6	1	72346221	75585159	1932	0.0029
fed7301c-339c-484f-945a-abe21e892dd6	1	75589078	75589169	2	-2.1541
fed7301c-339c-484f-945a-abe21e892dd6	1	75593824	90086866	9651	-0.0028
fed7301c-339c-484f-945a-abe21e892dd6	1	90090349	90091422	3	-1.4908
fed7301c-339c-484f-945a-abe21e892dd6	1	90093659	90632828	373	-0.0177
fed7301c-339c-484f-945a-abe21e892dd6	1	90633656	90637137	6	0.7874
fed7301c-339c-484f-945a-abe21e892dd6	1	90637347	91727707	739	-0.0299
fed7301c-339c-484f-945a-abe21e892dd6	1	91728105	91730095	2	-1.7143
fed7301c-339c-484f-945a-abe21e892dd6	1	91730496	94359901	1450	0.0149
fed7301c-339c-484f-945a-abe21e892dd6	1	94362214	94364728	3	-1.4594
fed7301c-339c-484f-945a-abe21e892dd6	1	94371441	102363913	5230	-0.0093
fed7301c-339c-484f-945a-abe21e892dd6	1	102364168	102364435	5	-1.1043
fed7301c-339c-484f-945a-abe21e892dd6	1	102364451	103580811	615	0.0137
fed7301c-339c-484f-945a-abe21e892dd6	1	103581040	103697364	20	-0.5224
fed7301c-339c-484f-945a-abe21e892dd6	1	103717410	105478597	927	0.013
fed7301c-339c-484f-945a-abe21e892dd6	1	105478759	105482176	15	-0.6145
fed7301c-339c-484f-945a-abe21e892dd6	1	105486052	112147704	4592	-0.0028
fed7301c-339c-484f-945a-abe21e892dd6	1	112153343	112154390	18	1.0385
fed7301c-339c-484f-945a-abe21e892dd6	1	112154552	112163591	19	0.5207
fed7301c-339c-484f-945a-abe21e892dd6	1	112163596	120064540	5036	-0.0021
fed7301c-339c-484f-945a-abe21e892dd6	1	120089042	143748012	212	0.1897
fed7301c-339c-484f-945a-abe21e892dd6	1	143748074	146039391	201	0.0592
fed7301c-339c-484f-945a-abe21e892dd6	1	146039555	146040040	2	-1.9123
fed7301c-339c-484f-945a-abe21e892dd6	1	146042474	152598693	2152	0.0242
fed7301c-339c-484f-945a-abe21e892dd6	1	152598884	152613802	20	0.673
fed7301c-339c-484f-945a-abe21e892dd6	1	152614064	152787202	170	-0.0352
fed7301c-339c-484f-945a-abe21e892dd6	1	152789447	152795805	33	0.9703
fed7301c-339c-484f-945a-abe21e892dd6	1	152795862	158896783	3616	0.0003
fed7301c-339c-484f-945a-abe21e892dd6	1	158898711	158899969	2	1.7555
fed7301c-339c-484f-945a-abe21e892dd6	1	158905028	196729112	25834	-0.0031
fed7301c-339c-484f-945a-abe21e892dd6	1	196729142	196843400	79	0.391
fed7301c-339c-484f-945a-abe21e892dd6	1	196846661	223456125	18097	-0.0031
fed7301c-339c-484f-945a-abe21e892dd6	1	223456930	223460203	12	0.566
fed7301c-339c-484f-945a-abe21e892dd6	1	223461088	231645163	5138	-0.0025
fed7301c-339c-484f-945a-abe21e892dd6	1	231646457	231646460	2	2.1034
fed7301c-339c-484f-945a-abe21e892dd6	1	231646463	240227371	6695	-0.0108
fed7301c-339c-484f-945a-abe21e892dd6	1	240227385	240227947	5	0.1011
fed7301c-339c-484f-945a-abe21e892dd6	1	240228440	240230839	7	0.774
fed7301c-339c-484f-945a-abe21e892dd6	1	240232805	240337552	110	0.1484
fed7301c-339c-484f-945a-abe21e892dd6	1	240337911	240546781	171	-0.0179
fed7301c-339c-484f-945a-abe21e892dd6	1	240548395	240714901	99	0.5445
fed7301c-339c-484f-945a-abe21e892dd6	1	240720064	242109094	1056	-0.0137
fed7301c-339c-484f-945a-abe21e892dd6	1	242109627	242464797	283	0.521
fed7301c-339c-484f-945a-abe21e892dd6	1	242466156	248930189	4140	0.0113
fed7301c-339c-484f-945a-abe21e892dd6	2	12784	35750907	24995	-0.0099
fed7301c-339c-484f-945a-abe21e892dd6	2	35752724	35762850	6	-1.9669
fed7301c-339c-484f-945a-abe21e892dd6	2	35762881	97359885	36008	-0.005
fed7301c-339c-484f-945a-abe21e892dd6	2	97524284	97545726	9	-1.0005
fed7301c-339c-484f-945a-abe21e892dd6	2	97550415	106258266	5567	-0.0111
fed7301c-339c-484f-945a-abe21e892dd6	2	106263639	106268901	12	0.9448
fed7301c-339c-484f-945a-abe21e892dd6	2	106270799	122724152	9497	-0.0142
fed7301c-339c-484f-945a-abe21e892dd6	2	122724331	122724665	5	-1.1216
fed7301c-339c-484f-945a-abe21e892dd6	2	122726077	127099470	2859	-0.0206
fed7301c-339c-484f-945a-abe21e892dd6	2	127100187	127100370	2	2.0777
fed7301c-339c-484f-945a-abe21e892dd6	2	127101070	129438526	1506	-0.0253
fed7301c-339c-484f-945a-abe21e892dd6	2	129438904	129457708	17	0.4282
fed7301c-339c-484f-945a-abe21e892dd6	2	129458470	130036283	396	-0.0071
fed7301c-339c-484f-945a-abe21e892dd6	2	130036310	130116915	13	-0.6328
fed7301c-339c-484f-945a-abe21e892dd6	2	130117303	159102108	17336	-0.0259
fed7301c-339c-484f-945a-abe21e892dd6	2	159103831	159104461	2	1.8476
fed7301c-339c-484f-945a-abe21e892dd6	2	159106775	185444152	16440	-0.0151
fed7301c-339c-484f-945a-abe21e892dd6	2	185447629	185477693	16	0.5092
fed7301c-339c-484f-945a-abe21e892dd6	2	185480421	194190752	4813	-0.0126
fed7301c-339c-484f-945a-abe21e892dd6	2	194202242	194204144	2	-1.984
fed7301c-339c-484f-945a-abe21e892dd6	2	194204314	204479729	5851	-0.0154
fed7301c-339c-484f-945a-abe21e892dd6	2	204479949	204479964	3	-1.4233
fed7301c-339c-484f-945a-abe21e892dd6	2	204479970	242147305	24136	-0.0198
fed7301c-339c-484f-945a-abe21e892dd6	3	20930	2660770	2285	-0.0936
fed7301c-339c-484f-945a-abe21e892dd6	3	2666454	59737454	38017	-0.0104
fed7301c-339c-484f-945a-abe21e892dd6	3	59740125	59756136	23	-0.1807
fed7301c-339c-484f-945a-abe21e892dd6	3	59758937	59759975	2	-2.5477
fed7301c-339c-484f-945a-abe21e892dd6	3	59760347	60919700	1327	-0.1084
fed7301c-339c-484f-945a-abe21e892dd6	3	60920062	68697108	6131	-0.0055
fed7301c-339c-484f-945a-abe21e892dd6	3	68697133	68698262	13	-1.3941
fed7301c-339c-484f-945a-abe21e892dd6	3	68699607	75519398	4928	-0.0062
fed7301c-339c-484f-945a-abe21e892dd6	3	75523398	75537654	5	1.311
fed7301c-339c-484f-945a-abe21e892dd6	3	75546030	84525959	4905	-0.0148
fed7301c-339c-484f-945a-abe21e892dd6	3	84526015	84532704	3	-1.312
fed7301c-339c-484f-945a-abe21e892dd6	3	84536908	87783201	1843	-0.0058
fed7301c-339c-484f-945a-abe21e892dd6	3	87784025	87801359	9	-0.8418
fed7301c-339c-484f-945a-abe21e892dd6	3	87805127	95737262	2364	-0.0125
fed7301c-339c-484f-945a-abe21e892dd6	3	95748036	95749266	2	-2.9933
fed7301c-339c-484f-945a-abe21e892dd6	3	95749836	99218119	1848	-0.019
fed7301c-339c-484f-945a-abe21e892dd6	3	99218940	99230577	39	0.4757
fed7301c-339c-484f-945a-abe21e892dd6	3	99232120	116450736	10448	-0.0169
fed7301c-339c-484f-945a-abe21e892dd6	3	116462178	117332592	702	-0.2788
