GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8d910890-daaf-48b6-b833-31794e2fd39f	1	62920	25256850	13993	0.0003
8d910890-daaf-48b6-b833-31794e2fd39f	1	25266637	25320455	24	-1.4744
8d910890-daaf-48b6-b833-31794e2fd39f	1	25336819	109684893	52312	0.0083
8d910890-daaf-48b6-b833-31794e2fd39f	1	109690352	109697556	13	-1.2557
8d910890-daaf-48b6-b833-31794e2fd39f	1	109702376	180524314	28380	0.0088
8d910890-daaf-48b6-b833-31794e2fd39f	1	180524492	180524705	2	-2.5227
8d910890-daaf-48b6-b833-31794e2fd39f	1	180524808	223490059	29030	0.0045
8d910890-daaf-48b6-b833-31794e2fd39f	1	223490163	223490486	3	-1.8057
8d910890-daaf-48b6-b833-31794e2fd39f	1	223490593	243143622	13893	0.0069
8d910890-daaf-48b6-b833-31794e2fd39f	1	243144364	243189078	15	0.6184
8d910890-daaf-48b6-b833-31794e2fd39f	1	243190549	248930189	3693	0.0186
8d910890-daaf-48b6-b833-31794e2fd39f	2	12784	105772455	66064	0.0081
8d910890-daaf-48b6-b833-31794e2fd39f	2	105772504	105774715	4	-1.8458
8d910890-daaf-48b6-b833-31794e2fd39f	2	105774881	242147305	83194	0.0085
8d910890-daaf-48b6-b833-31794e2fd39f	3	20930	130041779	82322	0.0066
8d910890-daaf-48b6-b833-31794e2fd39f	3	130044016	130087393	39	-1.1685
8d910890-daaf-48b6-b833-31794e2fd39f	3	130088081	132270503	1436	-0.0193
8d910890-daaf-48b6-b833-31794e2fd39f	3	132273893	132276840	4	-2.1457
8d910890-daaf-48b6-b833-31794e2fd39f	3	132281633	193160256	38008	0.0046
8d910890-daaf-48b6-b833-31794e2fd39f	3	193160406	193165114	17	-1.0309
8d910890-daaf-48b6-b833-31794e2fd39f	3	193168646	195656271	1484	0.0057
8d910890-daaf-48b6-b833-31794e2fd39f	3	195663809	195720051	24	-1.0621
8d910890-daaf-48b6-b833-31794e2fd39f	3	195728637	198169247	1184	0.005
8d910890-daaf-48b6-b833-31794e2fd39f	4	68929	10208766	5694	0.0085
8d910890-daaf-48b6-b833-31794e2fd39f	4	10221792	10229874	28	-1.7729
8d910890-daaf-48b6-b833-31794e2fd39f	4	10232590	34771893	16955	0.007
8d910890-daaf-48b6-b833-31794e2fd39f	4	34777238	34823103	45	-0.4829
8d910890-daaf-48b6-b833-31794e2fd39f	4	34828250	172066567	82174	0.0068
8d910890-daaf-48b6-b833-31794e2fd39f	4	172066585	172068382	16	-0.8434
8d910890-daaf-48b6-b833-31794e2fd39f	4	172074828	179272277	4444	0.0122
8d910890-daaf-48b6-b833-31794e2fd39f	4	179275408	179277506	3	-2.178
8d910890-daaf-48b6-b833-31794e2fd39f	4	179281228	188736209	6844	0.0007
8d910890-daaf-48b6-b833-31794e2fd39f	4	188737446	188738871	3	-1.9698
8d910890-daaf-48b6-b833-31794e2fd39f	4	188739039	190106768	761	0.0126
8d910890-daaf-48b6-b833-31794e2fd39f	5	15532	12819201	10173	0.0087
8d910890-daaf-48b6-b833-31794e2fd39f	5	12819263	12819964	6	-1.6902
8d910890-daaf-48b6-b833-31794e2fd39f	5	12824299	21376735	5463	0.0008
8d910890-daaf-48b6-b833-31794e2fd39f	5	21377730	21385957	3	-1.4734
8d910890-daaf-48b6-b833-31794e2fd39f	5	21391431	21449167	43	-0.0862
8d910890-daaf-48b6-b833-31794e2fd39f	5	21451091	21452329	5	-1.2369
8d910890-daaf-48b6-b833-31794e2fd39f	5	21452387	40333830	12017	0.0008
8d910890-daaf-48b6-b833-31794e2fd39f	5	40335373	40351444	8	-1.0399
8d910890-daaf-48b6-b833-31794e2fd39f	5	40357561	58025819	7982	0.0094
8d910890-daaf-48b6-b833-31794e2fd39f	5	58030200	58037706	32	0.9596
8d910890-daaf-48b6-b833-31794e2fd39f	5	58042530	181363319	76981	0.0045
8d910890-daaf-48b6-b833-31794e2fd39f	6	149661	29869295	21621	0.009
8d910890-daaf-48b6-b833-31794e2fd39f	6	29869410	29882419	17	-1.0019
8d910890-daaf-48b6-b833-31794e2fd39f	6	29882497	80575307	29612	0.0025
8d910890-daaf-48b6-b833-31794e2fd39f	6	80575322	80579817	24	-0.8197
8d910890-daaf-48b6-b833-31794e2fd39f	6	80584624	148389923	42423	0.0061
8d910890-daaf-48b6-b833-31794e2fd39f	6	148392567	148401973	3	1.6242
8d910890-daaf-48b6-b833-31794e2fd39f	6	148402609	170741917	15713	0.0073
8d910890-daaf-48b6-b833-31794e2fd39f	7	43355	38271122	27311	0.0072
8d910890-daaf-48b6-b833-31794e2fd39f	7	38271497	38326911	101	-0.4921
8d910890-daaf-48b6-b833-31794e2fd39f	7	38331191	54305455	10980	0.0046
8d910890-daaf-48b6-b833-31794e2fd39f	7	54318812	54325795	7	-1.3287
8d910890-daaf-48b6-b833-31794e2fd39f	7	54326708	142070260	48372	0.0046
8d910890-daaf-48b6-b833-31794e2fd39f	7	142070569	142128814	48	-0.4303
8d910890-daaf-48b6-b833-31794e2fd39f	7	142130487	159334314	10825	0.0018
8d910890-daaf-48b6-b833-31794e2fd39f	8	81254	2846011	2036	-0.0116
