GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	62920	34625857	18997	-0.0103
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	34625993	34650960	26	-0.5364
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	34652324	72297687	23765	-0.0016
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	72302735	72345465	48	0.9918
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	72346221	103613180	20026	-0.0027
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	103614539	103621165	8	-0.6945
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	103697067	109690352	3577	-0.008
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	109690415	109697556	12	-1.2935
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	109702376	112153343	1948	-0.0022
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	112153465	112154591	21	-1.5988
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	112154619	152583230	7605	-0.0026
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	152583291	152614064	32	-1.5491
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	152614100	152787202	169	-0.0605
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	152789447	152796094	36	-1.5933
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	152796224	167795598	10169	-0.0053
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	167796946	167797682	4	-0.9987
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	167799276	174828195	4645	-0.0076
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	174828247	174832716	10	0.4905
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	174832734	195378610	13741	-0.0049
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	195378851	195406100	19	0.3402
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	195407267	196745692	883	-0.0027
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	196745743	196802150	44	0.3106
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	196820098	199142235	1393	-0.0061
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	199142298	199143343	5	-0.9185
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	199143396	209897717	7407	-0.0024
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	209908268	209910639	3	-2.2266
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	209913207	243143622	23315	-0.0015
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	243144364	243187175	14	0.5664
17f8d985-dd70-4454-b541-3fb99a4ec7c0	1	243189078	248930189	3701	0.0186
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	12784	7499242	5925	-0.004
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	7502934	7506841	2	1.4447
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	7506876	13060284	4077	0.0041
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	13062181	13140124	42	0.7016
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	13142715	146104517	80410	0.0019
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	146106836	146109366	24	-1.7552
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	146120238	163780342	10592	0.0019
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	163786978	163788616	5	-0.9329
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	163790132	168973752	3204	0.0029
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	168974005	168976800	2	1.1812
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	168977266	184451949	9895	-0.0029
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	184452153	184455332	4	1.3705
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	184460792	194084959	5304	0.005
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	194085242	194088933	3	1.2901
17f8d985-dd70-4454-b541-3fb99a4ec7c0	2	194089351	242147305	30059	0.0003
17f8d985-dd70-4454-b541-3fb99a4ec7c0	3	20930	52994359	35725	0.0048
17f8d985-dd70-4454-b541-3fb99a4ec7c0	3	52997720	53005473	41	-0.5436
17f8d985-dd70-4454-b541-3fb99a4ec7c0	3	53005661	68697013	12029	0.0034
