GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-A00L-01A-01D-A744-36	chr1	17001	6506000	5524	-0.026081
TCGA-AA-A00L-01A-01D-A744-36	chr1	6506001	6661000	155	0.469201
TCGA-AA-A00L-01A-01D-A744-36	chr1	6661001	13122000	6230	0.001801
TCGA-AA-A00L-01A-01D-A744-36	chr1	13170001	13173000	3	-29.942152
TCGA-AA-A00L-01A-01D-A744-36	chr1	13224001	16507000	3195	-0.008018
TCGA-AA-A00L-01A-01D-A744-36	chr1	16507001	16602000	63	0.087077
TCGA-AA-A00L-01A-01D-A744-36	chr1	16602001	16636000	33	0.206730
TCGA-AA-A00L-01A-01D-A744-36	chr1	16636001	16949000	173	0.075363
TCGA-AA-A00L-01A-01D-A744-36	chr1	16949001	101201000	83595	-0.003649
TCGA-AA-A00L-01A-01D-A744-36	chr1	101201001	101230000	29	0.432600
TCGA-AA-A00L-01A-01D-A744-36	chr1	101230001	123561000	18789	-0.005738
TCGA-AA-A00L-01A-01D-A744-36	chr1	123616001	124632000	150	-0.420379
TCGA-AA-A00L-01A-01D-A744-36	chr1	124639001	156642000	9441	0.009848
TCGA-AA-A00L-01A-01D-A744-36	chr1	156642001	156805000	163	0.405644
TCGA-AA-A00L-01A-01D-A744-36	chr1	156805001	174157000	17174	0.000091
TCGA-AA-A00L-01A-01D-A744-36	chr1	174157001	174189000	32	0.443396
TCGA-AA-A00L-01A-01D-A744-36	chr1	174189001	229994000	54915	-0.010180
TCGA-AA-A00L-01A-01D-A744-36	chr1	229994001	229998000	4	-0.123783
TCGA-AA-A00L-01A-01D-A744-36	chr1	229998001	243297000	13193	-0.027405
TCGA-AA-A00L-01A-01D-A744-36	chr1	243297001	243364000	67	0.468122
TCGA-AA-A00L-01A-01D-A744-36	chr1	243364001	248931000	5383	-0.003991
TCGA-AA-A00L-01A-01D-A744-36	chr2	11001	77323000	76782	0.084891
TCGA-AA-A00L-01A-01D-A744-36	chr2	77323001	77526000	203	-0.637263
TCGA-AA-A00L-01A-01D-A744-36	chr2	77526001	77551000	25	-0.707290
TCGA-AA-A00L-01A-01D-A744-36	chr2	77551001	77734000	164	-0.502072
TCGA-AA-A00L-01A-01D-A744-36	chr2	77734001	77830000	94	-0.543026
TCGA-AA-A00L-01A-01D-A744-36	chr2	77830001	78849000	1019	0.016260
TCGA-AA-A00L-01A-01D-A744-36	chr2	78849001	78854000	5	-29.897789
TCGA-AA-A00L-01A-01D-A744-36	chr2	78854001	89814000	9541	0.037433
TCGA-AA-A00L-01A-01D-A744-36	chr2	89814001	89840000	25	0.051479
TCGA-AA-A00L-01A-01D-A744-36	chr2	89840001	186418000	89717	-0.005373
TCGA-AA-A00L-01A-01D-A744-36	chr2	186418001	186637000	219	-0.699324
TCGA-AA-A00L-01A-01D-A744-36	chr2	186637001	205134000	18388	0.008056
TCGA-AA-A00L-01A-01D-A744-36	chr2	205134001	205280000	144	-0.730560
TCGA-AA-A00L-01A-01D-A744-36	chr2	205280001	205632000	351	-0.696107
TCGA-AA-A00L-01A-01D-A744-36	chr2	205632001	234330000	28518	-0.005602
TCGA-AA-A00L-01A-01D-A744-36	chr2	234330001	234393000	63	0.396782
TCGA-AA-A00L-01A-01D-A744-36	chr2	234393001	242159000	7638	-0.018097
TCGA-AA-A00L-01A-01D-A744-36	chr3	12001	6277000	6210	-0.025462
TCGA-AA-A00L-01A-01D-A744-36	chr3	6277001	6292000	15	0.549004
TCGA-AA-A00L-01A-01D-A744-36	chr3	6292001	60181000	53637	-0.007144
TCGA-AA-A00L-01A-01D-A744-36	chr3	60181001	60227000	46	-0.728431
TCGA-AA-A00L-01A-01D-A744-36	chr3	60227001	60424000	197	-0.029495
TCGA-AA-A00L-01A-01D-A744-36	chr3	60424001	60473000	49	-0.738164
TCGA-AA-A00L-01A-01D-A744-36	chr3	60473001	60673000	200	-0.026635
TCGA-AA-A00L-01A-01D-A744-36	chr3	60673001	60829000	156	-0.735783
TCGA-AA-A00L-01A-01D-A744-36	chr3	60829001	60973000	143	-0.721078
TCGA-AA-A00L-01A-01D-A744-36	chr3	60973001	61216000	243	-0.735735
TCGA-AA-A00L-01A-01D-A744-36	chr3	61216001	90882000	29281	-0.018476
TCGA-AA-A00L-01A-01D-A744-36	chr3	90882001	90942000	8	-1.480509
TCGA-AA-A00L-01A-01D-A744-36	chr3	91152001	195616000	101296	-0.006502
TCGA-AA-A00L-01A-01D-A744-36	chr3	195616001	195746000	103	0.617848
TCGA-AA-A00L-01A-01D-A744-36	chr3	195746001	198175000	2345	0.014485
TCGA-AA-A00L-01A-01D-A744-36	chr4	15001	4108000	4003	-0.014187
TCGA-AA-A00L-01A-01D-A744-36	chr4	4108001	4157000	19	-0.924112
TCGA-AA-A00L-01A-01D-A744-36	chr4	4157001	34778000	30111	-0.024418
TCGA-AA-A00L-01A-01D-A744-36	chr4	34778001	34827000	49	-0.918001
TCGA-AA-A00L-01A-01D-A744-36	chr4	34827001	49091000	14205	-0.009054
TCGA-AA-A00L-01A-01D-A744-36	chr4	49091001	49151000	52	-0.321412
TCGA-AA-A00L-01A-01D-A744-36	chr4	49151001	49633000	220	-0.006912
TCGA-AA-A00L-01A-01D-A744-36	chr4	49633001	49658000	25	0.170129
TCGA-AA-A00L-01A-01D-A744-36	chr4	49709001	69258000	17118	-0.026248
TCGA-AA-A00L-01A-01D-A744-36	chr4	69260001	69366000	103	-0.773640
TCGA-AA-A00L-01A-01D-A744-36	chr4	69366001	90386000	20879	-0.000798
TCGA-AA-A00L-01A-01D-A744-36	chr4	90386001	90619000	233	-0.726890
TCGA-AA-A00L-01A-01D-A744-36	chr4	90619001	90921000	295	-0.025970
TCGA-AA-A00L-01A-01D-A744-36	chr4	90921001	91065000	141	-0.488696
TCGA-AA-A00L-01A-01D-A744-36	chr4	91065001	92190000	1112	-0.096585
TCGA-AA-A00L-01A-01D-A744-36	chr4	92190001	92242000	52	0.576010
TCGA-AA-A00L-01A-01D-A744-36	chr4	92242001	96015000	3748	-0.021904
TCGA-AA-A00L-01A-01D-A744-36	chr4	96015001	96080000	65	-0.749601
TCGA-AA-A00L-01A-01D-A744-36	chr4	96080001	108814000	12632	-0.011745
TCGA-AA-A00L-01A-01D-A744-36	chr4	108814001	108881000	67	0.426129
TCGA-AA-A00L-01A-01D-A744-36	chr4	108881001	118209000	9270	-0.008500
TCGA-AA-A00L-01A-01D-A744-36	chr4	118209001	119406000	1162	-0.001429
TCGA-AA-A00L-01A-01D-A744-36	chr4	119406001	119435000	10	-0.944155
TCGA-AA-A00L-01A-01D-A744-36	chr4	119438001	129144000	9655	-0.012851
TCGA-AA-A00L-01A-01D-A744-36	chr4	129144001	129148000	4	-0.240466
TCGA-AA-A00L-01A-01D-A744-36	chr4	129148001	131723000	2561	-0.027159
TCGA-AA-A00L-01A-01D-A744-36	chr4	131727001	131765000	9	-0.124111
TCGA-AA-A00L-01A-01D-A744-36	chr4	131765001	133020000	1244	-0.036796
TCGA-AA-A00L-01A-01D-A744-36	chr4	133020001	133067000	47	0.405518
TCGA-AA-A00L-01A-01D-A744-36	chr4	133067001	133441000	373	-0.044539
TCGA-AA-A00L-01A-01D-A744-36	chr4	133441001	133680000	238	0.448418
TCGA-AA-A00L-01A-01D-A744-36	chr4	133680001	137259000	3552	-0.031849
TCGA-AA-A00L-01A-01D-A744-36	chr4	137259001	137270000	11	-1.059573
TCGA-AA-A00L-01A-01D-A744-36	chr4	137270001	161027000	23600	-0.006497
TCGA-AA-A00L-01A-01D-A744-36	chr4	161030001	161085000	55	0.526340
TCGA-AA-A00L-01A-01D-A744-36	chr4	161085001	177588000	16378	-0.019821
TCGA-AA-A00L-01A-01D-A744-36	chr4	177588001	177697000	109	-0.718987
TCGA-AA-A00L-01A-01D-A744-36	chr4	177697001	177742000	45	-0.726174
TCGA-AA-A00L-01A-01D-A744-36	chr4	177742001	178593000	848	-0.744583
TCGA-AA-A00L-01A-01D-A744-36	chr4	178593001	181078000	2475	-0.033737
TCGA-AA-A00L-01A-01D-A744-36	chr4	181078001	181541000	454	-0.755643
TCGA-AA-A00L-01A-01D-A744-36	chr4	181541001	181561000	20	-0.738871
TCGA-AA-A00L-01A-01D-A744-36	chr4	181561001	182055000	492	-0.745137
