GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-2682-01A-01D-A91U-36	chr1	17001	1661000	856	-0.018942
TCGA-A6-2682-01A-01D-A91U-36	chr1	1662001	1667000	5	-0.073962
TCGA-A6-2682-01A-01D-A91U-36	chr1	1667001	15003000	12748	-0.022397
TCGA-A6-2682-01A-01D-A91U-36	chr1	15003001	15431000	427	-0.480963
TCGA-A6-2682-01A-01D-A91U-36	chr1	15431001	15590000	159	-0.468091
TCGA-A6-2682-01A-01D-A91U-36	chr1	15590001	15786000	196	-0.453982
TCGA-A6-2682-01A-01D-A91U-36	chr1	15786001	16898000	935	-0.479704
TCGA-A6-2682-01A-01D-A91U-36	chr1	16898001	16906000	8	-0.257404
TCGA-A6-2682-01A-01D-A91U-36	chr1	16906001	16968000	60	-0.371305
TCGA-A6-2682-01A-01D-A91U-36	chr1	16968001	17696000	726	-0.489718
TCGA-A6-2682-01A-01D-A91U-36	chr1	17696001	17806000	110	-0.514640
TCGA-A6-2682-01A-01D-A91U-36	chr1	17806001	18163000	357	-0.516972
TCGA-A6-2682-01A-01D-A91U-36	chr1	18163001	18667000	504	-0.506423
TCGA-A6-2682-01A-01D-A91U-36	chr1	18667001	20898000	2226	-0.481745
TCGA-A6-2682-01A-01D-A91U-36	chr1	20898001	21268000	369	-0.464683
TCGA-A6-2682-01A-01D-A91U-36	chr1	21268001	21333000	65	-0.487393
TCGA-A6-2682-01A-01D-A91U-36	chr1	21333001	21678000	333	-0.493445
TCGA-A6-2682-01A-01D-A91U-36	chr1	21678001	21809000	131	-0.456052
TCGA-A6-2682-01A-01D-A91U-36	chr1	21809001	22035000	221	-0.483030
TCGA-A6-2682-01A-01D-A91U-36	chr1	22035001	22189000	154	-0.461004
TCGA-A6-2682-01A-01D-A91U-36	chr1	22189001	22205000	16	-0.512746
TCGA-A6-2682-01A-01D-A91U-36	chr1	22205001	23108000	903	-0.495961
TCGA-A6-2682-01A-01D-A91U-36	chr1	23108001	24478000	1367	-0.471390
TCGA-A6-2682-01A-01D-A91U-36	chr1	24478001	24481000	3	-2.136122
TCGA-A6-2682-01A-01D-A91U-36	chr1	24481001	25075000	588	-0.476992
TCGA-A6-2682-01A-01D-A91U-36	chr1	25075001	28986000	3808	-0.473866
TCGA-A6-2682-01A-01D-A91U-36	chr1	28986001	103594000	74078	-0.003091
TCGA-A6-2682-01A-01D-A91U-36	chr1	103611001	103619000	8	-1.090264
TCGA-A6-2682-01A-01D-A91U-36	chr1	103717001	123020000	16359	-0.000352
TCGA-A6-2682-01A-01D-A91U-36	chr1	123027001	124371000	163	-0.168599
TCGA-A6-2682-01A-01D-A91U-36	chr1	124376001	143242000	386	-0.013551
TCGA-A6-2682-01A-01D-A91U-36	chr1	143245001	240241000	91578	-0.002956
TCGA-A6-2682-01A-01D-A91U-36	chr1	240241001	240274000	33	0.212602
TCGA-A6-2682-01A-01D-A91U-36	chr1	240274001	240547000	273	0.031346
TCGA-A6-2682-01A-01D-A91U-36	chr1	240547001	240720000	173	0.550844
TCGA-A6-2682-01A-01D-A91U-36	chr1	240720001	241569000	849	-0.005162
TCGA-A6-2682-01A-01D-A91U-36	chr1	241569001	241581000	12	-1.011102
TCGA-A6-2682-01A-01D-A91U-36	chr1	241581001	242109000	521	-0.021227
TCGA-A6-2682-01A-01D-A91U-36	chr1	242109001	242247000	138	0.557185
TCGA-A6-2682-01A-01D-A91U-36	chr1	242247001	242467000	217	0.560618
TCGA-A6-2682-01A-01D-A91U-36	chr1	242467001	248931000	6248	-0.007552
TCGA-A6-2682-01A-01D-A91U-36	chr2	11001	44240000	43894	-0.013435
TCGA-A6-2682-01A-01D-A91U-36	chr2	44240001	44246000	6	-29.818967
TCGA-A6-2682-01A-01D-A91U-36	chr2	44246001	48621000	4353	-0.005205
TCGA-A6-2682-01A-01D-A91U-36	chr2	48621001	48632000	9	-0.024892
TCGA-A6-2682-01A-01D-A91U-36	chr2	48632001	90380000	39872	-0.006464
TCGA-A6-2682-01A-01D-A91U-36	chr2	90380001	90403000	23	-0.982660
TCGA-A6-2682-01A-01D-A91U-36	chr2	91407001	242159000	144739	-0.022025
TCGA-A6-2682-01A-01D-A91U-36	chr3	12001	60322000	60003	-0.018677
TCGA-A6-2682-01A-01D-A91U-36	chr3	60322001	60377000	55	-0.313536
TCGA-A6-2682-01A-01D-A91U-36	chr3	60377001	90669000	30098	-0.020468
TCGA-A6-2682-01A-01D-A91U-36	chr3	90673001	90718000	7	-5.253972
TCGA-A6-2682-01A-01D-A91U-36	chr3	90777001	90799000	3	-2.385398
TCGA-A6-2682-01A-01D-A91U-36	chr3	90811001	93722000	287	-0.039277
TCGA-A6-2682-01A-01D-A91U-36	chr3	93722001	116456000	22567	-0.011452
TCGA-A6-2682-01A-01D-A91U-36	chr3	116456001	117343000	885	-0.284050
TCGA-A6-2682-01A-01D-A91U-36	chr3	117343001	194642000	76636	-0.011945
TCGA-A6-2682-01A-01D-A91U-36	chr3	194642001	194726000	81	-0.294811
TCGA-A6-2682-01A-01D-A91U-36	chr3	194726001	198175000	3307	-0.009875
TCGA-A6-2682-01A-01D-A91U-36	chr4	15001	9613000	9177	-0.158540
TCGA-A6-2682-01A-01D-A91U-36	chr4	9618001	9632000	14	-1.193292
TCGA-A6-2682-01A-01D-A91U-36	chr4	9632001	34778000	24942	-0.143160
TCGA-A6-2682-01A-01D-A91U-36	chr4	34778001	34827000	49	-1.116955
TCGA-A6-2682-01A-01D-A91U-36	chr4	34827001	49095000	14209	-0.130909
TCGA-A6-2682-01A-01D-A91U-36	chr4	49096001	49159000	56	-0.053581
TCGA-A6-2682-01A-01D-A91U-36	chr4	49160001	49657000	236	-0.189356
TCGA-A6-2682-01A-01D-A91U-36	chr4	49657001	58301000	6449	-0.139387
