GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A0TR-01A-11D-A893-36	chr1	17001	2648000	1804	-0.018432
TCGA-AR-A0TR-01A-11D-A893-36	chr1	2648001	2757000	15	-0.393921
TCGA-AR-A0TR-01A-11D-A893-36	chr1	2775001	12831000	10020	-0.011647
TCGA-AR-A0TR-01A-11D-A893-36	chr1	12831001	13007000	49	-0.026238
TCGA-AR-A0TR-01A-11D-A893-36	chr1	13056001	16507000	3219	-0.005745
TCGA-AR-A0TR-01A-11D-A893-36	chr1	16507001	16603000	64	-0.147747
TCGA-AR-A0TR-01A-11D-A893-36	chr1	16604001	16646000	42	-0.422965
TCGA-AR-A0TR-01A-11D-A893-36	chr1	16646001	16949000	163	-0.003598
TCGA-AR-A0TR-01A-11D-A893-36	chr1	16949001	143268000	102912	0.010072
TCGA-AR-A0TR-01A-11D-A893-36	chr1	143270001	145875000	703	0.581528
TCGA-AR-A0TR-01A-11D-A893-36	chr1	145875001	148355000	1467	0.525346
TCGA-AR-A0TR-01A-11D-A893-36	chr1	148355001	154948000	5260	0.525705
TCGA-AR-A0TR-01A-11D-A893-36	chr1	154948001	155245000	289	0.491702
TCGA-AR-A0TR-01A-11D-A893-36	chr1	155245001	157571000	2302	0.513578
TCGA-AR-A0TR-01A-11D-A893-36	chr1	157571001	158199000	628	0.526007
TCGA-AR-A0TR-01A-11D-A893-36	chr1	158199001	158249000	49	0.532595
TCGA-AR-A0TR-01A-11D-A893-36	chr1	158249001	158412000	163	0.525073
TCGA-AR-A0TR-01A-11D-A893-36	chr1	158412001	158473000	61	0.550555
TCGA-AR-A0TR-01A-11D-A893-36	chr1	158473001	158758000	285	0.565066
TCGA-AR-A0TR-01A-11D-A893-36	chr1	158758001	163319000	4450	0.529959
TCGA-AR-A0TR-01A-11D-A893-36	chr1	163319001	164506000	1178	0.550086
TCGA-AR-A0TR-01A-11D-A893-36	chr1	164506001	167165000	2649	0.522994
TCGA-AR-A0TR-01A-11D-A893-36	chr1	167165001	175471000	8230	0.538979
TCGA-AR-A0TR-01A-11D-A893-36	chr1	175471001	181420000	5911	0.527903
TCGA-AR-A0TR-01A-11D-A893-36	chr1	181420001	183436000	2012	0.523927
TCGA-AR-A0TR-01A-11D-A893-36	chr1	183436001	186394000	2942	0.544950
TCGA-AR-A0TR-01A-11D-A893-36	chr1	186394001	190342000	3919	0.565753
TCGA-AR-A0TR-01A-11D-A893-36	chr1	190342001	191173000	826	0.573633
TCGA-AR-A0TR-01A-11D-A893-36	chr1	191173001	191470000	296	0.563630
TCGA-AR-A0TR-01A-11D-A893-36	chr1	191470001	191925000	455	0.569029
TCGA-AR-A0TR-01A-11D-A893-36	chr1	191925001	192823000	892	0.561587
TCGA-AR-A0TR-01A-11D-A893-36	chr1	192823001	192911000	87	0.546215
TCGA-AR-A0TR-01A-11D-A893-36	chr1	192911001	194660000	1734	0.558717
TCGA-AR-A0TR-01A-11D-A893-36	chr1	194660001	196737000	2067	0.568038
TCGA-AR-A0TR-01A-11D-A893-36	chr1	196737001	196910000	90	0.509952
TCGA-AR-A0TR-01A-11D-A893-36	chr1	196910001	198799000	1875	0.559564
TCGA-AR-A0TR-01A-11D-A893-36	chr1	198799001	198808000	9	0.485337
TCGA-AR-A0TR-01A-11D-A893-36	chr1	198808001	199728000	911	0.562087
TCGA-AR-A0TR-01A-11D-A893-36	chr1	199728001	200961000	1228	0.536802
TCGA-AR-A0TR-01A-11D-A893-36	chr1	200961001	201753000	791	0.495801
TCGA-AR-A0TR-01A-11D-A893-36	chr1	201753001	202610000	855	0.513865
TCGA-AR-A0TR-01A-11D-A893-36	chr1	202610001	203731000	1121	0.509969
TCGA-AR-A0TR-01A-11D-A893-36	chr1	203731001	204942000	1210	0.508465
TCGA-AR-A0TR-01A-11D-A893-36	chr1	204942001	205655000	713	0.507486
TCGA-AR-A0TR-01A-11D-A893-36	chr1	205655001	206815000	928	0.511619
TCGA-AR-A0TR-01A-11D-A893-36	chr1	206815001	206869000	54	0.498742
TCGA-AR-A0TR-01A-11D-A893-36	chr1	206869001	207184000	315	0.516311
TCGA-AR-A0TR-01A-11D-A893-36	chr1	207184001	216018000	8753	0.529872
TCGA-AR-A0TR-01A-11D-A893-36	chr1	216018001	217050000	1028	0.555366
TCGA-AR-A0TR-01A-11D-A893-36	chr1	217050001	222613000	5506	0.539081
TCGA-AR-A0TR-01A-11D-A893-36	chr1	222613001	223674000	1000	0.524151
TCGA-AR-A0TR-01A-11D-A893-36	chr1	223674001	224099000	368	0.522983
TCGA-AR-A0TR-01A-11D-A893-36	chr1	224099001	225478000	1375	0.529965
TCGA-AR-A0TR-01A-11D-A893-36	chr1	225478001	226547000	1067	0.517414
TCGA-AR-A0TR-01A-11D-A893-36	chr1	226547001	227034000	486	0.512395
TCGA-AR-A0TR-01A-11D-A893-36	chr1	227034001	227292000	255	0.566551
TCGA-AR-A0TR-01A-11D-A893-36	chr1	227292001	233393000	5975	0.518665
TCGA-AR-A0TR-01A-11D-A893-36	chr1	233393001	237371000	3932	0.527647
TCGA-AR-A0TR-01A-11D-A893-36	chr1	237371001	241545000	4163	0.542549
TCGA-AR-A0TR-01A-11D-A893-36	chr1	241545001	241606000	61	0.532041
TCGA-AR-A0TR-01A-11D-A893-36	chr1	241606001	246104000	4439	0.532721
TCGA-AR-A0TR-01A-11D-A893-36	chr1	246104001	247913000	1768	0.530491
TCGA-AR-A0TR-01A-11D-A893-36	chr1	247913001	248931000	892	0.538017
TCGA-AR-A0TR-01A-11D-A893-36	chr2	11001	241911000	232690	-0.030710
TCGA-AR-A0TR-01A-11D-A893-36	chr2	241911001	242093000	169	-1.047209
TCGA-AR-A0TR-01A-11D-A893-36	chr2	242093001	242159000	37	0.004266
TCGA-AR-A0TR-01A-11D-A893-36	chr3	12001	4136000	4081	0.023111
TCGA-AR-A0TR-01A-11D-A893-36	chr3	4136001	4250000	114	-0.986319
TCGA-AR-A0TR-01A-11D-A893-36	chr3	4250001	195617000	187287	0.019403
TCGA-AR-A0TR-01A-11D-A893-36	chr3	195617001	195738000	94	0.199741
TCGA-AR-A0TR-01A-11D-A893-36	chr3	195738001	198175000	2353	0.008711
TCGA-AR-A0TR-01A-11D-A893-36	chr4	15001	325000	275	-0.764012
