GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	62920	25256850	14009	0.0084
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	25266637	25320253	23	-1.5883
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	25320455	72303233	28717	0.0084
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	72303253	72345465	45	-1.1241
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	72346221	152787202	33342	0.0097
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	152789447	152795783	32	0.5714
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	152795805	222193326	46863	0.009
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	222201492	222203662	2	-3.408
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	1	222208792	248930189	18406	0.0105
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	12784	34466002	24067	0.0082
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	34474248	34511990	46	0.6705
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	34512096	41011095	4803	0.0118
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	41011303	41018747	22	-0.4786
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	41024093	52514599	8174	0.0078
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	52516787	52554157	33	0.4682
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	52554188	76617340	15532	0.0117
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	76618047	76618300	5	-2.5415
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	2	76620460	242147305	96678	0.006
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	20930	43317300	31100	0.0126
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	43318185	43319387	3	-1.7325
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	43319595	45128142	913	0.0064
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	45131902	45201891	61	0.5453
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	45202438	68697013	15666	0.0122
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	68697108	68698262	14	1.0438
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	68699607	84053071	9593	0.001
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	84056282	84057015	2	-3.2457
5478dc6b-d464-4a9c-a465-2ec1b8aba17d	3	84061816	193156958	64513	0.0066
