GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
67966819-2f15-43f9-bd57-3da6fba07454	1	62920	988299	71	-0.0152
67966819-2f15-43f9-bd57-3da6fba07454	1	991051	3221349	633	0.0927
67966819-2f15-43f9-bd57-3da6fba07454	1	3221392	12779433	5788	0.0221
67966819-2f15-43f9-bd57-3da6fba07454	1	12792599	12799264	6	-0.8044
67966819-2f15-43f9-bd57-3da6fba07454	1	12802105	12806954	6	0.1906
67966819-2f15-43f9-bd57-3da6fba07454	1	12807204	13012913	22	-0.673
67966819-2f15-43f9-bd57-3da6fba07454	1	13110913	16679483	2156	0.0278
67966819-2f15-43f9-bd57-3da6fba07454	1	16685961	16976074	94	0.374
67966819-2f15-43f9-bd57-3da6fba07454	1	16977349	25256850	5246	0.0168
67966819-2f15-43f9-bd57-3da6fba07454	1	25266637	25319693	21	-2.0954
67966819-2f15-43f9-bd57-3da6fba07454	1	25320198	30264526	2388	0.0215
67966819-2f15-43f9-bd57-3da6fba07454	1	30265508	30266949	7	-0.8612
67966819-2f15-43f9-bd57-3da6fba07454	1	30268649	109678117	50005	0.0159
67966819-2f15-43f9-bd57-3da6fba07454	1	109679105	109691933	12	0.7139
67966819-2f15-43f9-bd57-3da6fba07454	1	109692006	121347642	7063	0.0182
67966819-2f15-43f9-bd57-3da6fba07454	1	121386039	121389102	2	-1.1562
67966819-2f15-43f9-bd57-3da6fba07454	1	121413668	121705338	77	-0.0181
67966819-2f15-43f9-bd57-3da6fba07454	1	143459641	143734438	97	-0.6932
67966819-2f15-43f9-bd57-3da6fba07454	1	143748012	143751380	9	0.5924
67966819-2f15-43f9-bd57-3da6fba07454	1	143751625	143760271	12	0.296
67966819-2f15-43f9-bd57-3da6fba07454	1	143762042	143927887	8	-0.5818
67966819-2f15-43f9-bd57-3da6fba07454	1	143928045	152583051	2318	0.0289
67966819-2f15-43f9-bd57-3da6fba07454	1	152583230	152613762	31	-2.1598
67966819-2f15-43f9-bd57-3da6fba07454	1	152613802	152614118	4	-1.0002
67966819-2f15-43f9-bd57-3da6fba07454	1	152618018	152784330	165	0.0398
67966819-2f15-43f9-bd57-3da6fba07454	1	152785214	152795198	27	-0.3766
67966819-2f15-43f9-bd57-3da6fba07454	1	152795277	169234328	11292	0.014
67966819-2f15-43f9-bd57-3da6fba07454	1	169236425	169272528	14	0.4149
67966819-2f15-43f9-bd57-3da6fba07454	1	169273163	174827267	3521	0.0161
67966819-2f15-43f9-bd57-3da6fba07454	1	174827418	174828549	14	-0.5733
67966819-2f15-43f9-bd57-3da6fba07454	1	174832599	248930189	50534	0.0192
67966819-2f15-43f9-bd57-3da6fba07454	2	12784	7499242	5924	0.0135
67966819-2f15-43f9-bd57-3da6fba07454	2	7502934	7506841	2	1.2357
67966819-2f15-43f9-bd57-3da6fba07454	2	7506876	34466002	18171	0.0147
67966819-2f15-43f9-bd57-3da6fba07454	2	34474248	34512096	47	0.5312
67966819-2f15-43f9-bd57-3da6fba07454	2	34512489	146103878	66310	0.0125
67966819-2f15-43f9-bd57-3da6fba07454	2	146104517	146109366	25	0.6017
67966819-2f15-43f9-bd57-3da6fba07454	2	146120238	207490614	36982	0.0126
67966819-2f15-43f9-bd57-3da6fba07454	2	207490972	207494612	14	-0.5806
67966819-2f15-43f9-bd57-3da6fba07454	2	207494752	212504894	3193	0.0225
67966819-2f15-43f9-bd57-3da6fba07454	2	212505638	212505978	2	-3.0331
67966819-2f15-43f9-bd57-3da6fba07454	2	212508264	212521351	9	-0.432
67966819-2f15-43f9-bd57-3da6fba07454	2	212522839	223997186	7489	0.0132
67966819-2f15-43f9-bd57-3da6fba07454	2	223997240	223999723	5	-0.8027
67966819-2f15-43f9-bd57-3da6fba07454	2	223999835	230393900	4174	0.0201
67966819-2f15-43f9-bd57-3da6fba07454	2	230400636	230401563	2	1.3327
