GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	62920	822543	34	0.0162
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	825988	3302046	704	-0.2598
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	3302359	4732594	1019	-0.0364
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	4733520	4736498	3	-1.5914
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	4737438	8230532	2342	-0.0169
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	8235070	8235228	2	-1.6255
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	8235934	9266599	548	-0.0027
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	9267354	9344634	57	-0.3229
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	9344921	15822042	3613	-0.0027
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	15822508	15828515	15	-0.5709
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	15839166	16489035	288	-0.0271
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	16489595	16679239	40	0.2813
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	16679281	16863509	26	-0.1839
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	16864367	16958425	59	-0.6252
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	16959715	30656261	7997	-0.0102
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	30656396	30789158	92	-0.2469
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	30789990	54624527	13188	0.0046
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	54627618	54628716	2	1.6213
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	54630777	72284670	12711	0.0042
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	72290430	72345450	56	0.3228
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	72345465	105476583	20948	0.0056
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	105476614	105479753	16	-2.2472
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	105481433	107111598	1078	0.0017
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	107112980	107120873	11	-1.2775
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	107122811	109690352	1541	0.003
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	109690415	109697556	12	-0.9223
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	109702376	121598439	7132	0.0077
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	121601998	143748421	102	0.163
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	143748590	143754077	14	0.648
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	143754192	145690729	40	0.1786
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	145691969	152789447	2488	-0.0062
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	152789463	152796224	36	-0.587
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	152801429	174827267	14805	0.0062
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	174827418	174832702	16	0.4665
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	174832716	179354603	3068	0.0071
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	179361393	179370071	5	-0.9855
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	179370127	190017263	7126	0.0107
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	190017280	190021937	3	-1.0679
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	190021970	196745743	4436	0.0053
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	196758720	196830375	54	0.4059
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	196832298	248546369	35626	0.0013
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	248550567	248646068	38	-0.8272
644d73a4-3e81-4733-bf8d-95befb54e4e6	1	248661836	248930189	137	-0.0812
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	12784	700580	494	-0.0473
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	701122	1913944	745	-0.169
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	1913957	4158097	1747	-0.0223
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	4166274	4176429	42	-0.6218
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	4182472	34474248	21054	0.0027
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	34476327	34512489	47	0.3258
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	34512965	35742970	869	-0.0056
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	35750907	35762881	8	0.8309
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	35772407	52527330	12121	0.0019
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	52527342	52527743	6	-1.484
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	52531615	52554366	31	-0.6366
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	52554384	58348897	4095	-0.0047
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	58353647	58354076	4	-1.0247
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	58355724	89174348	18634	0.0084
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	89177897	89305244	30	-0.5482
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	89896149	90004094	26	0.0323
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	90006053	90235899	103	-0.8717
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	90262403	97181113	912	-0.0009
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	97181150	97359885	31	0.308
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	97524284	97545726	9	-1.1024
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	97550415	106263639	5564	0.0046
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	106264257	106268901	11	0.8759
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	106270799	128880504	13371	0.0056
644d73a4-3e81-4733-bf8d-95befb54e4e6	2	128880904	128882741	15	-0.8551
