GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
38301939-8c94-45f7-a7ee-103d78b9e629	1	62920	259926	16	0.5642
38301939-8c94-45f7-a7ee-103d78b9e629	1	266187	2962978	575	0.0847
38301939-8c94-45f7-a7ee-103d78b9e629	1	2985564	8116566	3440	0.0046
38301939-8c94-45f7-a7ee-103d78b9e629	1	8122528	8127240	8	-1.4588
38301939-8c94-45f7-a7ee-103d78b9e629	1	8129225	16721984	4647	0.0116
38301939-8c94-45f7-a7ee-103d78b9e629	1	16766762	16788139	13	-1.0719
38301939-8c94-45f7-a7ee-103d78b9e629	1	16855942	25256850	5318	0.0011
38301939-8c94-45f7-a7ee-103d78b9e629	1	25266637	25269914	4	-1.3167
38301939-8c94-45f7-a7ee-103d78b9e629	1	25273814	72302815	28746	0.0075
38301939-8c94-45f7-a7ee-103d78b9e629	1	72303233	72345465	46	-1.6891
38301939-8c94-45f7-a7ee-103d78b9e629	1	72346221	109640399	23583	-0.0007
38301939-8c94-45f7-a7ee-103d78b9e629	1	109642611	109696900	26	0.3539
38301939-8c94-45f7-a7ee-103d78b9e629	1	109697533	110837198	857	0.0194
38301939-8c94-45f7-a7ee-103d78b9e629	1	110837398	110841350	17	-0.8817
38301939-8c94-45f7-a7ee-103d78b9e629	1	110845562	119596871	5856	0.0002
38301939-8c94-45f7-a7ee-103d78b9e629	1	119596999	119597400	3	-1.1709
38301939-8c94-45f7-a7ee-103d78b9e629	1	119602851	121601998	398	0.0023
38301939-8c94-45f7-a7ee-103d78b9e629	1	121705338	143734438	98	0.2775
38301939-8c94-45f7-a7ee-103d78b9e629	1	143748012	152582700	2343	0.0152
38301939-8c94-45f7-a7ee-103d78b9e629	1	152583051	152614118	36	0.956
38301939-8c94-45f7-a7ee-103d78b9e629	1	152618018	152789918	175	0.0238
38301939-8c94-45f7-a7ee-103d78b9e629	1	152789962	152795487	23	-0.7085
38301939-8c94-45f7-a7ee-103d78b9e629	1	152795783	153699771	630	-0.0259
38301939-8c94-45f7-a7ee-103d78b9e629	1	153701198	153715580	6	1.0429
38301939-8c94-45f7-a7ee-103d78b9e629	1	153719014	248930189	64669	0.0034
38301939-8c94-45f7-a7ee-103d78b9e629	2	12784	52527330	37118	0.0019
38301939-8c94-45f7-a7ee-103d78b9e629	2	52527342	52554404	39	0.5805
38301939-8c94-45f7-a7ee-103d78b9e629	2	52560811	57544672	3607	-0.0069
38301939-8c94-45f7-a7ee-103d78b9e629	2	57546774	57547315	2	-1.8298
38301939-8c94-45f7-a7ee-103d78b9e629	2	57549112	85981973	17866	0.0033
38301939-8c94-45f7-a7ee-103d78b9e629	2	85983048	85987936	5	-1.1313
38301939-8c94-45f7-a7ee-103d78b9e629	2	85987977	117905265	14385	0.0074
38301939-8c94-45f7-a7ee-103d78b9e629	2	117908833	117910053	4	-1.4064
38301939-8c94-45f7-a7ee-103d78b9e629	2	117914471	128880504	6938	0.0064
38301939-8c94-45f7-a7ee-103d78b9e629	2	128880904	128882741	15	-1.1501
38301939-8c94-45f7-a7ee-103d78b9e629	2	128882755	146106836	10408	0.0062
38301939-8c94-45f7-a7ee-103d78b9e629	2	146106861	146120890	28	0.4047
38301939-8c94-45f7-a7ee-103d78b9e629	2	146120907	194449546	29168	0.0057
38301939-8c94-45f7-a7ee-103d78b9e629	2	194449998	194461120	7	-1.1729
38301939-8c94-45f7-a7ee-103d78b9e629	2	194465528	199311915	2844	0.012
38301939-8c94-45f7-a7ee-103d78b9e629	2	199314247	199317834	5	-1.0454
38301939-8c94-45f7-a7ee-103d78b9e629	2	199321192	202431184	1750	0.0005
38301939-8c94-45f7-a7ee-103d78b9e629	2	202431270	202447478	37	-0.6941
38301939-8c94-45f7-a7ee-103d78b9e629	2	202448759	234032646	20087	0.0076
38301939-8c94-45f7-a7ee-103d78b9e629	2	234034641	234047246	41	-0.8593
38301939-8c94-45f7-a7ee-103d78b9e629	2	234054439	242147305	5081	0.0063
38301939-8c94-45f7-a7ee-103d78b9e629	3	20930	948533	747	0.0049
38301939-8c94-45f7-a7ee-103d78b9e629	3	949070	955034	8	-0.953
