GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9196cff8-7253-4520-a33f-776c42310398	1	62920	965731	65	-0.0321
9196cff8-7253-4520-a33f-776c42310398	1	968658	3210573	631	0.1058
9196cff8-7253-4520-a33f-776c42310398	1	3210974	16689764	7979	0.0045
9196cff8-7253-4520-a33f-776c42310398	1	16718963	16721984	6	-1.2156
9196cff8-7253-4520-a33f-776c42310398	1	16766762	25256850	5325	0.0002
9196cff8-7253-4520-a33f-776c42310398	1	25266637	25320253	23	0.7469
9196cff8-7253-4520-a33f-776c42310398	1	25320455	30666733	2726	-0.003
9196cff8-7253-4520-a33f-776c42310398	1	30667100	30789158	85	0.2043
9196cff8-7253-4520-a33f-776c42310398	1	30789990	34626037	2133	-0.0054
9196cff8-7253-4520-a33f-776c42310398	1	34626073	34648667	22	-0.6062
9196cff8-7253-4520-a33f-776c42310398	1	34649941	42891734	4598	-0.0015
9196cff8-7253-4520-a33f-776c42310398	1	42891929	42892307	2	-1.4834
9196cff8-7253-4520-a33f-776c42310398	1	42893480	48055105	2935	0.0018
9196cff8-7253-4520-a33f-776c42310398	1	48055139	48055479	2	-1.9561
9196cff8-7253-4520-a33f-776c42310398	1	48056525	72302815	16209	-0.0022
9196cff8-7253-4520-a33f-776c42310398	1	72303233	72345450	45	-1.1141
9196cff8-7253-4520-a33f-776c42310398	1	72345465	102396958	19410	-0.0046
9196cff8-7253-4520-a33f-776c42310398	1	102397230	102397235	2	-2.3719
9196cff8-7253-4520-a33f-776c42310398	1	102397291	105476688	1520	0.0062
9196cff8-7253-4520-a33f-776c42310398	1	105476748	105479753	14	0.5836
9196cff8-7253-4520-a33f-776c42310398	1	105481433	114289343	5944	-0.0029
9196cff8-7253-4520-a33f-776c42310398	1	114291004	114291088	2	-2.027
9196cff8-7253-4520-a33f-776c42310398	1	114291180	120954128	3736	-0.0171
9196cff8-7253-4520-a33f-776c42310398	1	120954165	143554590	113	0.082
9196cff8-7253-4520-a33f-776c42310398	1	143557234	143710767	69	0.3674
9196cff8-7253-4520-a33f-776c42310398	1	143710781	150828526	1388	0.0708
9196cff8-7253-4520-a33f-776c42310398	1	150828683	152583230	968	0.0018
9196cff8-7253-4520-a33f-776c42310398	1	152583291	152614118	34	-1.6515
