GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	62920	98602	13	-1.1178
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	259407	16863509	8690	0.0144
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	16864367	16935752	54	-0.4907
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	16949746	25256850	5262	0.018
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	25266637	25320455	24	0.4339
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	25336819	72284670	28732	0.015
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	72290430	72297687	9	-0.5604
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	72302735	75585159	1978	0.0271
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	75589078	75589169	2	-1.9816
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	75593824	103560608	18072	0.0157
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	103566616	103616725	26	0.4334
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	103616762	105476688	928	0.0213
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	105476748	105479753	14	0.5641
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	105481433	109679105	2635	0.0236
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	109684695	109697556	15	-0.6811
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	109702376	110833598	836	0.0136
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	110834746	110834953	5	-1.7405
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	110836273	110836709	8	-3.5982
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	110836717	110845604	26	-2.0181
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	110849445	152787202	8904	0.0117
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	152789447	152796224	37	0.3872
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	152801429	169247699	11285	0.0199
661503f2-716b-4921-a5b8-3e5ce2cddce7	1	169264736	169269320	4	-3.5354
