GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	62920	599171	20	0.1559
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	668210	1715891	193	0.0322
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	1716055	1741164	12	-1.4415
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	1756148	9529354	4586	0.0329
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	9536422	9536806	2	-1.5942
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	9542315	9784716	96	0.0143
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	9789250	9795530	2	-1.231
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	9797820	16471261	3704	0.042
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	16477281	16935752	129	0.2521
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	16949746	62831090	27497	0.0253
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	62831399	72305835	6498	-0.0229
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	72305851	72318265	8	-0.7559
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	72318471	72328779	9	0.2564
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	72329532	72343748	17	-0.4464
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	72345255	75492789	1862	-0.0386
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75493291	75525514	25	-0.3741
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75526334	75585159	45	-0.0102
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75589078	75589169	2	-1.1916
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75593824	75704090	82	0.0132
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75708464	75709067	5	0.6534
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	75712309	76433779	570	-0.0008
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	76434290	76435507	4	-1.2176
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	76439667	103614695	17416	-0.0224
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	103614714	103717410	9	0.7914
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	103717617	109684695	3565	-0.0355
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	109684893	109702376	14	-0.5033
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	109703504	112147704	1945	-0.0261
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	112153343	112154619	23	-0.5034
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	112154754	118323364	3928	-0.0123
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	118325782	143541857	1233	0.0209
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	143545399	143762042	116	-0.8992
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	143796140	144442342	14	-0.2295
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	144445555	146150530	175	0.3076
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	146161924	146250588	3	-0.9183
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	146716041	152583051	2131	0.2633
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	152583230	152614118	35	1.3516
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	152618018	158090783	3147	0.2625
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	158091253	158974031	715	0.195
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	158974295	168307419	6802	0.2498
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	168310094	173510971	3694	0.2183
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	173512423	174827267	647	0.2431
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	174827418	174832702	16	0.8715
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	174832716	174835884	17	-0.0518
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	174835901	175051406	97	0.1717
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	175052667	182695675	5271	0.2436
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	182695755	186271730	2338	0.2059
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	186272573	186273026	3	-0.9922
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	186274450	189354974	1962	0.2026
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	189357207	189568201	125	-0.6367
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	189577840	192662028	2041	0.1872
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	192662107	192919215	170	-0.0484
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	192920036	193186662	214	0.1921
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	193187149	193187202	3	-2.048
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	193187218	194479104	942	0.1879
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	194482281	194485888	2	-2.6595
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	194487886	196745692	1450	0.1951
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196745743	196802150	44	-0.5868
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196820098	196847600	19	0.4366
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196854187	196876538	32	0.8416
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196878281	196917640	24	0.5904
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196923704	196926717	4	1.0018
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	196932623	200316830	2163	0.1896
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	200316925	247560435	32821	0.236
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	247562652	247999886	307	0.1782
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	248002400	248008274	2	-3.0613
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	1	248010151	248930189	454	0.2446
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	2	12784	47119429	33495	-0.1897
d27e7cd1-b7bb-4f77-8619-ca1f6f9618aa	2	47123589	47123723	3	-2.021
