GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-UB-AA0V-01A-11D-A919-36	chr1	17001	1025000	248	-0.018204
TCGA-UB-AA0V-01A-11D-A919-36	chr1	1025001	16602000	14922	-0.004002
TCGA-UB-AA0V-01A-11D-A919-36	chr1	16602001	16946000	203	0.349603
TCGA-UB-AA0V-01A-11D-A919-36	chr1	16946001	26133000	9060	0.000265
TCGA-UB-AA0V-01A-11D-A919-36	chr1	26133001	26140000	7	-29.852253
TCGA-UB-AA0V-01A-11D-A919-36	chr1	26140001	248553000	193536	0.001718
TCGA-UB-AA0V-01A-11D-A919-36	chr1	248562001	248635000	65	-0.845771
TCGA-UB-AA0V-01A-11D-A919-36	chr1	248645001	248931000	270	-0.008124
TCGA-UB-AA0V-01A-11D-A919-36	chr2	11001	242159000	232896	0.001366
TCGA-UB-AA0V-01A-11D-A919-36	chr3	12001	46754000	46503	-0.000724
TCGA-UB-AA0V-01A-11D-A919-36	chr3	46754001	46809000	47	-0.827112
TCGA-UB-AA0V-01A-11D-A919-36	chr3	46809001	65203000	18304	-0.002616
TCGA-UB-AA0V-01A-11D-A919-36	chr3	65203001	65229000	26	-0.967762
TCGA-UB-AA0V-01A-11D-A919-36	chr3	65229001	84051000	18708	0.002218
TCGA-UB-AA0V-01A-11D-A919-36	chr3	84051001	84059000	8	-0.082348
TCGA-UB-AA0V-01A-11D-A919-36	chr3	84059001	89345000	5273	0.004524
TCGA-UB-AA0V-01A-11D-A919-36	chr3	89345001	89370000	21	-0.960233
TCGA-UB-AA0V-01A-11D-A919-36	chr3	89370001	90669000	1266	-0.003248
TCGA-UB-AA0V-01A-11D-A919-36	chr3	90673001	90718000	7	-8.156100
TCGA-UB-AA0V-01A-11D-A919-36	chr3	90777001	149550000	55681	0.001717
TCGA-UB-AA0V-01A-11D-A919-36	chr3	149550001	149554000	4	-0.474023
TCGA-UB-AA0V-01A-11D-A919-36	chr3	149554001	177663000	27832	0.003273
TCGA-UB-AA0V-01A-11D-A919-36	chr3	177663001	177668000	5	-29.849111
TCGA-UB-AA0V-01A-11D-A919-36	chr3	177668001	195615000	17795	0.002854
TCGA-UB-AA0V-01A-11D-A919-36	chr3	195615001	195716000	77	-0.383580
TCGA-UB-AA0V-01A-11D-A919-36	chr3	195716001	198175000	2372	-0.000379
TCGA-UB-AA0V-01A-11D-A919-36	chr4	15001	9103000	8905	-0.008699
TCGA-UB-AA0V-01A-11D-A919-36	chr4	9103001	9125000	22	-0.927682
TCGA-UB-AA0V-01A-11D-A919-36	chr4	9125001	49095000	39464	0.002437
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49096001	49111000	15	-0.362686
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49111001	49272000	128	-0.009445
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49272001	49307000	7	-4.691860
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49307001	49640000	125	0.139460
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49640001	49650000	10	-0.726185
TCGA-UB-AA0V-01A-11D-A919-36	chr4	49650001	190204000	136903	0.003064
TCGA-UB-AA0V-01A-11D-A919-36	chr5	13001	121600000	115054	0.002767
TCGA-UB-AA0V-01A-11D-A919-36	chr5	121600001	121697000	97	0.581392
TCGA-UB-AA0V-01A-11D-A919-36	chr5	121697001	181474000	58791	0.001010
TCGA-UB-AA0V-01A-11D-A919-36	chr6	148001	32479000	31942	0.003470
TCGA-UB-AA0V-01A-11D-A919-36	chr6	32479001	32644000	101	0.041874
TCGA-UB-AA0V-01A-11D-A919-36	chr6	32644001	78258000	43411	0.005135
TCGA-UB-AA0V-01A-11D-A919-36	chr6	78258001	78326000	68	-0.859671
TCGA-UB-AA0V-01A-11D-A919-36	chr6	78326001	170612000	91527	0.001903
TCGA-UB-AA0V-01A-11D-A919-36	chr7	35001	156594000	148739	0.001890
TCGA-UB-AA0V-01A-11D-A919-36	chr7	156594001	156602000	8	-29.811766
TCGA-UB-AA0V-01A-11D-A919-36	chr7	156602001	159335000	2671	-0.008589
TCGA-UB-AA0V-01A-11D-A919-36	chr8	205001	2383000	1989	-0.018097
TCGA-UB-AA0V-01A-11D-A919-36	chr8	2476001	2486000	8	-3.308819
TCGA-UB-AA0V-01A-11D-A919-36	chr8	2486001	6873000	4372	-0.011055
TCGA-UB-AA0V-01A-11D-A919-36	chr8	6873001	6974000	101	0.548202
TCGA-UB-AA0V-01A-11D-A919-36	chr8	6975001	7397000	185	-0.006157
TCGA-UB-AA0V-01A-11D-A919-36	chr8	7398001	7475000	17	-1.551556
TCGA-UB-AA0V-01A-11D-A919-36	chr8	7478001	7915000	18	-1.011372
TCGA-UB-AA0V-01A-11D-A919-36	chr8	7915001	8061000	8	-2.028985
TCGA-UB-AA0V-01A-11D-A919-36	chr8	8136001	12038000	3805	-0.010607
TCGA-UB-AA0V-01A-11D-A919-36	chr8	12123001	12148000	16	-29.873266
TCGA-UB-AA0V-01A-11D-A919-36	chr8	12148001	12227000	11	-1.623079
TCGA-UB-AA0V-01A-11D-A919-36	chr8	12323001	12394000	20	-0.040735
TCGA-UB-AA0V-01A-11D-A919-36	chr8	12415001	12612000	75	-0.691418
TCGA-UB-AA0V-01A-11D-A919-36	chr8	12612001	145076000	129355	-0.001304
TCGA-UB-AA0V-01A-11D-A919-36	chr9	10001	91000	25	0.028858
TCGA-UB-AA0V-01A-11D-A919-36	chr9	91001	41797000	39087	0.001880
TCGA-UB-AA0V-01A-11D-A919-36	chr9	41797001	42268000	106	0.381507
TCGA-UB-AA0V-01A-11D-A919-36	chr9	42268001	42294000	26	0.671443
TCGA-UB-AA0V-01A-11D-A919-36	chr9	42295001	42346000	39	0.547297
TCGA-UB-AA0V-01A-11D-A919-36	chr9	42346001	60550000	577	0.034807
TCGA-UB-AA0V-01A-11D-A919-36	chr9	60673001	61217000	4	-1.595185
TCGA-UB-AA0V-01A-11D-A919-36	chr9	61369001	63884000	452	0.009618
TCGA-UB-AA0V-01A-11D-A919-36	chr9	63884001	129425000	61139	0.000253
TCGA-UB-AA0V-01A-11D-A919-36	chr9	129425001	129435000	10	0.076529
TCGA-UB-AA0V-01A-11D-A919-36	chr9	129435001	138125000	8603	-0.008501
TCGA-UB-AA0V-01A-11D-A919-36	chr9	138125001	138139000	12	-0.995669
TCGA-UB-AA0V-01A-11D-A919-36	chr9	138139001	138219000	61	0.152234
TCGA-UB-AA0V-01A-11D-A919-36	chr10	47001	38815000	38446	0.001371
TCGA-UB-AA0V-01A-11D-A919-36	chr10	38815001	38835000	20	0.500834
TCGA-UB-AA0V-01A-11D-A919-36	chr10	38835001	41846000	802	-0.006722
TCGA-UB-AA0V-01A-11D-A919-36	chr10	41846001	41886000	40	-0.161123
TCGA-UB-AA0V-01A-11D-A919-36	chr10	41886001	47600000	4727	-0.004634
TCGA-UB-AA0V-01A-11D-A919-36	chr10	47626001	47695000	41	0.735255
TCGA-UB-AA0V-01A-11D-A919-36	chr10	47695001	54687000	6376	0.002703
TCGA-UB-AA0V-01A-11D-A919-36	chr10	54687001	54710000	23	0.970624
TCGA-UB-AA0V-01A-11D-A919-36	chr10	54710001	87230000	32247	0.001159
TCGA-UB-AA0V-01A-11D-A919-36	chr10	87237001	87359000	49	0.599726
TCGA-UB-AA0V-01A-11D-A919-36	chr10	87370001	133787000	45857	-0.001839
TCGA-UB-AA0V-01A-11D-A919-36	chr11	179001	135076000	129435	-0.000793
TCGA-UB-AA0V-01A-11D-A919-36	chr12	12001	23000	8	-1.036769
TCGA-UB-AA0V-01A-11D-A919-36	chr12	39001	8209000	8095	-0.000234
TCGA-UB-AA0V-01A-11D-A919-36	chr12	8209001	8241000	32	0.565215
TCGA-UB-AA0V-01A-11D-A919-36	chr12	8241001	11352000	2869	0.007965
TCGA-UB-AA0V-01A-11D-A919-36	chr12	11354001	11392000	38	0.575592
TCGA-UB-AA0V-01A-11D-A919-36	chr12	11394001	31849000	20337	0.001761
TCGA-UB-AA0V-01A-11D-A919-36	chr12	31849001	31911000	62	0.573951
TCGA-UB-AA0V-01A-11D-A919-36	chr12	31911001	34834000	2792	0.002824
TCGA-UB-AA0V-01A-11D-A919-36	chr12	34970001	36319000	4	-0.373405
TCGA-UB-AA0V-01A-11D-A919-36	chr12	37252001	133264000	95329	0.000936
TCGA-UB-AA0V-01A-11D-A919-36	chr13	16000001	16049000	20	0.423447
TCGA-UB-AA0V-01A-11D-A919-36	chr13	16111001	16164000	47	-0.672317
TCGA-UB-AA0V-01A-11D-A919-36	chr13	16164001	18446000	260	0.015613
TCGA-UB-AA0V-01A-11D-A919-36	chr13	18446001	18548000	50	0.554572
TCGA-UB-AA0V-01A-11D-A919-36	chr13	18564001	57178000	38184	-0.002288
TCGA-UB-AA0V-01A-11D-A919-36	chr13	57178001	57213000	35	-0.937449
TCGA-UB-AA0V-01A-11D-A919-36	chr13	57214001	114354000	56473	0.001674
TCGA-UB-AA0V-01A-11D-A919-36	chr14	16092001	19161000	160	-0.043019
TCGA-UB-AA0V-01A-11D-A919-36	chr14	19161001	19688000	87	-0.833947
TCGA-UB-AA0V-01A-11D-A919-36	chr14	19688001	19957000	236	-0.392473
TCGA-UB-AA0V-01A-11D-A919-36	chr14	19957001	105593000	85039	0.000713
TCGA-UB-AA0V-01A-11D-A919-36	chr14	105596001	105714000	83	0.568713
TCGA-UB-AA0V-01A-11D-A919-36	chr14	105721001	106328000	546	0.016005
TCGA-UB-AA0V-01A-11D-A919-36	chr14	106328001	106358000	29	0.727821
TCGA-UB-AA0V-01A-11D-A919-36	chr14	106358001	106883000	453	0.007115
TCGA-UB-AA0V-01A-11D-A919-36	chr15	17000001	20202000	326	-0.026395
TCGA-UB-AA0V-01A-11D-A919-36	chr15	20202001	20674000	260	0.244053
TCGA-UB-AA0V-01A-11D-A919-36	chr15	20679001	21260000	33	-0.367090
TCGA-UB-AA0V-01A-11D-A919-36	chr15	21260001	21286000	16	0.134950
TCGA-UB-AA0V-01A-11D-A919-36	chr15	21317001	22302000	92	0.640706
TCGA-UB-AA0V-01A-11D-A919-36	chr15	22559001	23124000	494	0.008371
TCGA-UB-AA0V-01A-11D-A919-36	chr15	23174001	23312000	30	-0.846058
TCGA-UB-AA0V-01A-11D-A919-36	chr15	23365001	101981000	75881	0.000300
TCGA-UB-AA0V-01A-11D-A919-36	chr16	10001	32288000	29202	-0.001058
TCGA-UB-AA0V-01A-11D-A919-36	chr16	32382001	32646000	64	-0.862415
TCGA-UB-AA0V-01A-11D-A919-36	chr16	32806001	38280000	1950	-0.018209
TCGA-UB-AA0V-01A-11D-A919-36	chr16	46380001	46402000	22	-0.588129
TCGA-UB-AA0V-01A-11D-A919-36	chr16	46402001	74352000	27491	-0.000327
TCGA-UB-AA0V-01A-11D-A919-36	chr16	74352001	74411000	46	0.565879
TCGA-UB-AA0V-01A-11D-A919-36	chr16	74411001	90225000	15567	-0.005169
TCGA-UB-AA0V-01A-11D-A919-36	chr17	139001	45573000	39594	0.000116
TCGA-UB-AA0V-01A-11D-A919-36	chr17	45573001	45585000	12	-0.199487
TCGA-UB-AA0V-01A-11D-A919-36	chr17	45585001	46135000	539	-0.013972
TCGA-UB-AA0V-01A-11D-A919-36	chr17	46135001	46292000	148	-0.436580
TCGA-UB-AA0V-01A-11D-A919-36	chr17	46490001	83235000	36169	0.000029
TCGA-UB-AA0V-01A-11D-A919-36	chr18	46001	14280000	14092	0.000236
TCGA-UB-AA0V-01A-11D-A919-36	chr18	14280001	14283000	2	-4.383832
TCGA-UB-AA0V-01A-11D-A919-36	chr18	14284001	14298000	14	-29.811279
TCGA-UB-AA0V-01A-11D-A919-36	chr18	14298001	14299000	1	-18.590344
TCGA-UB-AA0V-01A-11D-A919-36	chr18	14299001	66057000	45878	0.000061
TCGA-UB-AA0V-01A-11D-A919-36	chr18	66057001	66065000	8	-29.883115
TCGA-UB-AA0V-01A-11D-A919-36	chr18	66065001	80263000	14065	-0.001891
TCGA-UB-AA0V-01A-11D-A919-36	chr19	89001	27338000	24042	0.001307
TCGA-UB-AA0V-01A-11D-A919-36	chr19	27338001	27400000	62	-0.005704
TCGA-UB-AA0V-01A-11D-A919-36	chr19	27400001	58591000	30740	0.003609
TCGA-UB-AA0V-01A-11D-A919-36	chr20	60001	15320000	15140	0.000135
