GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	62920	16883108	8702	0.16
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	16884157	16921232	28	0.6708
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	16921350	53080398	20314	0.1654
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	53082086	61648334	6392	-0.5039
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	61648509	61652515	3	-2.7822
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	61654137	72284670	7255	-0.483
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	72290430	72297687	8	-2.4071
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	72302735	72345465	48	0.6716
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	72346221	114137918	26666	-0.4695
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	114138151	152583291	6421	0.1873
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	152583319	152614118	33	-0.9937
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	152618018	152789447	166	0.1467
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	152789463	152796224	36	-1.0143
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	152801429	165865907	8692	0.1703
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	165865957	165866127	2	1.9709
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	165866311	196761905	20768	0.1821
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	196762480	196762956	2	-1.7716
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	196769493	196832525	53	0.7704
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	196832720	211659623	10006	0.179
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	211660686	216388881	3171	-0.4857
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	216391169	241042133	17368	0.1798
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	241042311	241042374	2	1.9014
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	241045696	241673783	516	0.1545
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	241676590	241677296	2	1.7378
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	241678431	243163650	1010	0.1774
5631bc38-4ea7-48ef-9703-9beb54b39fa9	1	243164636	243173458	2	2.4685
