GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	62920	34626073	18985	0.0045
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	34637053	34638890	20	-0.55
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	34648667	72284165	23754	0.0058
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	72284670	72297687	10	0.8195
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	72302735	72303233	3	-0.8632
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	72303253	72345465	45	-1.8138
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	72346221	99358069	17384	0.003
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	99358177	99359630	2	-2.0046
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	99361917	105478759	3574	0.0112
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	105479005	105479753	9	1.1712
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	105481433	112147704	4597	0.011
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	112153343	112154390	18	-0.6026
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	112154552	112546239	323	-0.0473
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	112546384	112557392	6	-1.1973
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	112558546	145716786	5002	0.0047
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	145716953	150590838	1157	0.0792
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	150593647	152582700	1120	0.0003
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	152583051	152614064	33	-0.6968
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	152614100	152787202	169	0.0273
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	152789447	152796224	37	-1.8236
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	152801429	169247699	11272	0.0076
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	169264736	169272528	7	0.9579
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	169273163	189679027	13442	0.0103
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	189679353	189679397	2	1.8301
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	189682917	193186325	2334	0.0073
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	193186382	193187218	7	-0.6451
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	193190593	193244080	101	0.0058
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	193244261	193244344	4	1.2688
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	193252785	196758720	2292	0.0034
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	196761905	196843377	58	0.7418
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	196843400	196846661	2	5.9129
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	196847600	209897717	8782	0.0044
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	209908268	209910639	3	-1.9098
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	209913207	225486571	10592	0.0066
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	225486599	225496309	16	-0.4985
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	225496430	246101396	14735	0.0089
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	1	246102300	248930189	1682	0.0585
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	12784	6289559	4856	-0.0291
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	6293041	6295056	5	-1.6087
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	6301099	14563570	6172	-0.0324
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	14564825	14569968	12	-1.4375
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	14570240	34295406	12934	-0.0107
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	34298911	34300513	2	-3.1777
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	34300900	89305244	35938	-0.0157
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	89896149	90235899	130	-1.2681
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	90262403	115082753	11218	-0.0174
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	115083818	115084301	2	-2.0806
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	115085849	121817275	4181	-0.0213
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	121819002	121819211	2	-1.7823
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	121820716	146104517	14936	-0.0202
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	146106836	146109366	24	1.0703
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	146120238	207490231	36963	-0.0177
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	207490454	207494612	16	0.9346
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	207494752	212316597	3038	-0.0133
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	212321824	212327101	25	-1.0386
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	212327402	236894941	15949	-0.0192
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	236895235	236895291	2	-3.225
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	236895339	241841244	2935	-0.0186
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	241973315	241976006	6	-1.3547
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	241976372	242011715	27	-4.6437
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	242015916	242030085	20	-0.5176
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	242030144	242095460	52	-1.3391
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	2	242095518	242147305	23	-0.0718
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	20930	9318037	8207	0.0053
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	9318527	9322320	6	-1.8606
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	9325341	26570158	11798	0.0078
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	26570176	26570394	4	1.1609
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	26570407	37935926	7616	-0.0009
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	37940617	37945615	19	-0.9171
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	37945651	46751887	5542	0.0146
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	46760327	46806126	38	-0.8224
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	46807689	52987994	2489	0.0106
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	52988392	53005263	46	0.3939
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	53005439	60792199	5781	0.0089
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	60794907	60795294	4	-1.0525
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	60798502	75519398	11190	0.0062
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	75523398	75537654	6	-2.0043
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	75546030	130044016	29728	0.0026
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	130044855	130087393	38	0.7784
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	130088081	162419812	19997	0.0125
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	162419865	162424788	10	-0.8423
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	162424805	162795304	264	0.0224
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	162795361	162898127	61	0.8018
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	162906054	183577506	12575	0.0087
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	183578755	184129491	286	0.1344
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	184131265	190081915	4168	0.0077
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	190083768	190089887	8	-1.6569
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	190096550	193160173	2146	-0.0044
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	193160256	193165114	18	1.7892
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	193168646	195559056	1483	-0.0053
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	195656271	195720051	25	0.9606
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	195728637	198106927	1150	0.0602
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	3	198106942	198169247	35	-0.3979
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	4	68929	4133273	1630	0.0201
30a3a2af-9c10-406c-abcb-fa98ff0a6f91	4	4133604	4151033	3	-1.9779
