GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CD-5813-01A-11D-1598-02	chr1	17001	630000	10	-1.075477
TCGA-CD-5813-01A-11D-1598-02	chr1	630001	1296000	497	-0.207709
TCGA-CD-5813-01A-11D-1598-02	chr1	1296001	1750000	406	-0.446539
TCGA-CD-5813-01A-11D-1598-02	chr1	1752001	2655000	898	-0.263301
TCGA-CD-5813-01A-11D-1598-02	chr1	2655001	2757000	8	-1.420118
TCGA-CD-5813-01A-11D-1598-02	chr1	2775001	6262000	3461	-0.173387
TCGA-CD-5813-01A-11D-1598-02	chr1	6262001	6584000	322	-0.335649
TCGA-CD-5813-01A-11D-1598-02	chr1	6584001	7598000	1013	-0.162770
TCGA-CD-5813-01A-11D-1598-02	chr1	7598001	7606000	8	-3.026805
TCGA-CD-5813-01A-11D-1598-02	chr1	7606001	11083000	3470	-0.219977
TCGA-CD-5813-01A-11D-1598-02	chr1	11083001	11087000	4	-2.739765
TCGA-CD-5813-01A-11D-1598-02	chr1	11087001	12831000	1742	-0.193969
TCGA-CD-5813-01A-11D-1598-02	chr1	12831001	12864000	32	0.681666
TCGA-CD-5813-01A-11D-1598-02	chr1	12864001	13311000	67	-0.231811
TCGA-CD-5813-01A-11D-1598-02	chr1	13311001	13332000	15	-2.145543
TCGA-CD-5813-01A-11D-1598-02	chr1	13333001	13347000	10	-3.417783
TCGA-CD-5813-01A-11D-1598-02	chr1	13349001	13366000	12	-2.691415
TCGA-CD-5813-01A-11D-1598-02	chr1	13366001	14382000	1014	-0.172952
TCGA-CD-5813-01A-11D-1598-02	chr1	14382001	14389000	7	-3.026233
TCGA-CD-5813-01A-11D-1598-02	chr1	14389001	16507000	2111	-0.207857
TCGA-CD-5813-01A-11D-1598-02	chr1	16507001	16533000	25	-1.006090
TCGA-CD-5813-01A-11D-1598-02	chr1	16533001	16576000	19	-2.372779
TCGA-CD-5813-01A-11D-1598-02	chr1	16576001	16583000	7	-5.617858
TCGA-CD-5813-01A-11D-1598-02	chr1	16583001	16603000	13	-3.016981
TCGA-CD-5813-01A-11D-1598-02	chr1	16604001	16647000	43	-0.705490
TCGA-CD-5813-01A-11D-1598-02	chr1	16647001	16676000	9	-4.068055
TCGA-CD-5813-01A-11D-1598-02	chr1	16676001	16729000	33	-0.941237
TCGA-CD-5813-01A-11D-1598-02	chr1	16729001	16761000	7	-2.931821
TCGA-CD-5813-01A-11D-1598-02	chr1	16764001	16949000	113	-1.436278
TCGA-CD-5813-01A-11D-1598-02	chr1	16949001	17975000	1023	-0.196145
TCGA-CD-5813-01A-11D-1598-02	chr1	17975001	19516000	1540	-0.137293
TCGA-CD-5813-01A-11D-1598-02	chr1	19516001	21348000	1827	0.088268
TCGA-CD-5813-01A-11D-1598-02	chr1	21348001	21961000	601	-0.220629
