GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-05-4396-01A-21D-1853-02	chr1	17001	804000	40	-1.652208
TCGA-05-4396-01A-21D-1853-02	chr1	804001	811000	5	-4.327569
TCGA-05-4396-01A-21D-1853-02	chr1	811001	901000	83	-1.136083
TCGA-05-4396-01A-21D-1853-02	chr1	901001	1921000	954	-0.506127
TCGA-05-4396-01A-21D-1853-02	chr1	1921001	4859000	2799	-0.445837
TCGA-05-4396-01A-21D-1853-02	chr1	4859001	4867000	8	-1.610684
TCGA-05-4396-01A-21D-1853-02	chr1	4867001	6174000	1303	-0.460796
TCGA-05-4396-01A-21D-1853-02	chr1	6174001	6506000	332	-0.514426
TCGA-05-4396-01A-21D-1853-02	chr1	6506001	6772000	266	-0.508658
TCGA-05-4396-01A-21D-1853-02	chr1	6772001	6908000	136	-0.530936
TCGA-05-4396-01A-21D-1853-02	chr1	6908001	7412000	503	-0.473229
TCGA-05-4396-01A-21D-1853-02	chr1	7412001	7418000	6	-2.863685
TCGA-05-4396-01A-21D-1853-02	chr1	7418001	8324000	905	-0.488402
TCGA-05-4396-01A-21D-1853-02	chr1	8324001	8850000	524	-0.533231
TCGA-05-4396-01A-21D-1853-02	chr1	8850001	11441000	2587	-0.476900
TCGA-05-4396-01A-21D-1853-02	chr1	11441001	11659000	218	-0.433137
TCGA-05-4396-01A-21D-1853-02	chr1	11659001	12781000	1122	-0.498672
TCGA-05-4396-01A-21D-1853-02	chr1	12781001	12812000	30	-1.162904
TCGA-05-4396-01A-21D-1853-02	chr1	12812001	12836000	22	-1.933220
TCGA-05-4396-01A-21D-1853-02	chr1	12836001	12885000	37	-0.716757
TCGA-05-4396-01A-21D-1853-02	chr1	12885001	13007000	8	-2.027237
TCGA-05-4396-01A-21D-1853-02	chr1	13056001	13317000	54	-0.648628
TCGA-05-4396-01A-21D-1853-02	chr1	13317001	13332000	11	-2.149854
TCGA-05-4396-01A-21D-1853-02	chr1	13333001	13335000	2	-29.497694
TCGA-05-4396-01A-21D-1853-02	chr1	13338001	13347000	8	-2.587055
TCGA-05-4396-01A-21D-1853-02	chr1	13349001	14382000	1026	-0.537979
TCGA-05-4396-01A-21D-1853-02	chr1	14382001	14388000	6	-3.844492
TCGA-05-4396-01A-21D-1853-02	chr1	14388001	15752000	1362	-0.504664
TCGA-05-4396-01A-21D-1853-02	chr1	15752001	16533000	775	-0.524329
TCGA-05-4396-01A-21D-1853-02	chr1	16533001	16579000	22	-3.044693
TCGA-05-4396-01A-21D-1853-02	chr1	16579001	16583000	4	-30.468442
TCGA-05-4396-01A-21D-1853-02	chr1	16583001	16602000	12	-3.699735
TCGA-05-4396-01A-21D-1853-02	chr1	16602001	16729000	86	-1.188997
TCGA-05-4396-01A-21D-1853-02	chr1	16729001	16761000	7	-3.294373
TCGA-05-4396-01A-21D-1853-02	chr1	16764001	16869000	34	-1.370815
TCGA-05-4396-01A-21D-1853-02	chr1	16869001	16875000	6	-3.104145
TCGA-05-4396-01A-21D-1853-02	chr1	16875001	16950000	74	-2.198405
TCGA-05-4396-01A-21D-1853-02	chr1	16950001	17100000	148	-0.498944
TCGA-05-4396-01A-21D-1853-02	chr1	17100001	17171000	71	-0.420396
TCGA-05-4396-01A-21D-1853-02	chr1	17171001	17506000	334	-0.497176
TCGA-05-4396-01A-21D-1853-02	chr1	17506001	17760000	254	-0.454788
TCGA-05-4396-01A-21D-1853-02	chr1	17760001	19468000	1707	-0.462789
TCGA-05-4396-01A-21D-1853-02	chr1	19468001	19649000	181	-0.538240
TCGA-05-4396-01A-21D-1853-02	chr1	19649001	21961000	2295	-0.494035
TCGA-05-4396-01A-21D-1853-02	chr1	21961001	22044000	78	-0.905718
TCGA-05-4396-01A-21D-1853-02	chr1	22044001	22887000	843	-0.453968
TCGA-05-4396-01A-21D-1853-02	chr1	22887001	23454000	567	-0.507003
TCGA-05-4396-01A-21D-1853-02	chr1	23454001	25059000	1596	-0.505445
TCGA-05-4396-01A-21D-1853-02	chr1	25059001	25062000	3	-0.701756
TCGA-05-4396-01A-21D-1853-02	chr1	25062001	25786000	632	-0.546278
TCGA-05-4396-01A-21D-1853-02	chr1	25786001	27134000	1342	-0.464258
TCGA-05-4396-01A-21D-1853-02	chr1	27134001	33670000	6515	0.115640
TCGA-05-4396-01A-21D-1853-02	chr1	33670001	33678000	8	-3.318330
TCGA-05-4396-01A-21D-1853-02	chr1	33678001	36395000	2700	0.118149
TCGA-05-4396-01A-21D-1853-02	chr1	36395001	37206000	809	-0.447638
TCGA-05-4396-01A-21D-1853-02	chr1	37206001	37214000	8	-3.977111
TCGA-05-4396-01A-21D-1853-02	chr1	37214001	39633000	2404	-0.493140
TCGA-05-4396-01A-21D-1853-02	chr1	39633001	41089000	1439	0.072728
TCGA-05-4396-01A-21D-1853-02	chr1	41089001	43115000	2016	0.124431
TCGA-05-4396-01A-21D-1853-02	chr1	43115001	43121000	4	-2.193461
TCGA-05-4396-01A-21D-1853-02	chr1	43121001	45179000	2052	0.131004
TCGA-05-4396-01A-21D-1853-02	chr1	45179001	45187000	8	-3.837456
TCGA-05-4396-01A-21D-1853-02	chr1	45187001	45282000	94	0.180382
TCGA-05-4396-01A-21D-1853-02	chr1	45282001	45291000	9	-0.728174
TCGA-05-4396-01A-21D-1853-02	chr1	45291001	45761000	467	0.072259
TCGA-05-4396-01A-21D-1853-02	chr1	45761001	47052000	1276	-0.534191
TCGA-05-4396-01A-21D-1853-02	chr1	47052001	47057000	5	-6.366459
TCGA-05-4396-01A-21D-1853-02	chr1	47057001	47172000	105	-0.913509
TCGA-05-4396-01A-21D-1853-02	chr1	47172001	48277000	1098	-0.501772
TCGA-05-4396-01A-21D-1853-02	chr1	48277001	48284000	7	-2.336703
TCGA-05-4396-01A-21D-1853-02	chr1	48284001	49003000	716	-0.486549
TCGA-05-4396-01A-21D-1853-02	chr1	49003001	49837000	828	-0.525764
TCGA-05-4396-01A-21D-1853-02	chr1	49837001	50181000	340	-0.532266
TCGA-05-4396-01A-21D-1853-02	chr1	50181001	52170000	1987	-0.524051
TCGA-05-4396-01A-21D-1853-02	chr1	52170001	52178000	8	-3.886697
TCGA-05-4396-01A-21D-1853-02	chr1	52178001	54449000	2268	-0.510971
TCGA-05-4396-01A-21D-1853-02	chr1	54449001	55020000	566	-0.474457
TCGA-05-4396-01A-21D-1853-02	chr1	55020001	55246000	225	-0.571390
TCGA-05-4396-01A-21D-1853-02	chr1	55246001	55328000	82	-0.545719
TCGA-05-4396-01A-21D-1853-02	chr1	55328001	55562000	234	-0.507679
TCGA-05-4396-01A-21D-1853-02	chr1	55562001	55570000	8	-3.187951
TCGA-05-4396-01A-21D-1853-02	chr1	55570001	57313000	1734	-0.529399
TCGA-05-4396-01A-21D-1853-02	chr1	57313001	57571000	258	-0.552842
TCGA-05-4396-01A-21D-1853-02	chr1	57571001	58024000	452	-0.516198
TCGA-05-4396-01A-21D-1853-02	chr1	58024001	58497000	456	-0.526147
TCGA-05-4396-01A-21D-1853-02	chr1	58497001	59019000	521	-0.500654
TCGA-05-4396-01A-21D-1853-02	chr1	59019001	59367000	347	1.159553
TCGA-05-4396-01A-21D-1853-02	chr1	59367001	59375000	8	-1.593613
TCGA-05-4396-01A-21D-1853-02	chr1	59375001	59533000	158	1.071589
TCGA-05-4396-01A-21D-1853-02	chr1	59533001	59539000	6	-3.449619
TCGA-05-4396-01A-21D-1853-02	chr1	59539001	59584000	45	1.120781
TCGA-05-4396-01A-21D-1853-02	chr1	59584001	59593000	9	-1.324794
TCGA-05-4396-01A-21D-1853-02	chr1	59593001	60489000	891	1.079678
TCGA-05-4396-01A-21D-1853-02	chr1	60489001	60496000	6	-1.741591
TCGA-05-4396-01A-21D-1853-02	chr1	60496001	60637000	140	1.103658
TCGA-05-4396-01A-21D-1853-02	chr1	60637001	60647000	8	0.750982
TCGA-05-4396-01A-21D-1853-02	chr1	60647001	60773000	126	1.121405
TCGA-05-4396-01A-21D-1853-02	chr1	60773001	60782000	9	-0.925966
TCGA-05-4396-01A-21D-1853-02	chr1	60782001	61951000	1168	1.079384
TCGA-05-4396-01A-21D-1853-02	chr1	61951001	62506000	555	1.881988
TCGA-05-4396-01A-21D-1853-02	chr1	62506001	62707000	201	-0.638925
TCGA-05-4396-01A-21D-1853-02	chr1	62707001	63163000	456	-0.561108
TCGA-05-4396-01A-21D-1853-02	chr1	63163001	63350000	185	-0.587599
TCGA-05-4396-01A-21D-1853-02	chr1	63350001	63702000	349	-0.586552
TCGA-05-4396-01A-21D-1853-02	chr1	63702001	64073000	370	-0.490434
TCGA-05-4396-01A-21D-1853-02	chr1	64073001	64273000	199	-0.530767
TCGA-05-4396-01A-21D-1853-02	chr1	64273001	64280000	7	-2.282740
TCGA-05-4396-01A-21D-1853-02	chr1	64280001	64349000	69	-0.479621
TCGA-05-4396-01A-21D-1853-02	chr1	64349001	64357000	8	-2.790338
TCGA-05-4396-01A-21D-1853-02	chr1	64357001	65450000	1089	-0.493158
TCGA-05-4396-01A-21D-1853-02	chr1	65451001	65457000	6	-5.649411
TCGA-05-4396-01A-21D-1853-02	chr1	65457001	65553000	96	-0.663419
TCGA-05-4396-01A-21D-1853-02	chr1	65553001	66198000	635	-0.559335
TCGA-05-4396-01A-21D-1853-02	chr1	66198001	66204000	6	-2.850506
TCGA-05-4396-01A-21D-1853-02	chr1	66204001	66779000	571	-0.515330
TCGA-05-4396-01A-21D-1853-02	chr1	66779001	66786000	7	-3.304038
TCGA-05-4396-01A-21D-1853-02	chr1	66786001	66895000	106	-0.535247
TCGA-05-4396-01A-21D-1853-02	chr1	66895001	67124000	223	-0.523880
TCGA-05-4396-01A-21D-1853-02	chr1	67124001	67304000	180	-0.567330
TCGA-05-4396-01A-21D-1853-02	chr1	67304001	68874000	1563	-0.524841
TCGA-05-4396-01A-21D-1853-02	chr1	68874001	68882000	8	-1.383230
TCGA-05-4396-01A-21D-1853-02	chr1	68882001	68931000	49	-0.576315
TCGA-05-4396-01A-21D-1853-02	chr1	68931001	69115000	184	-0.463246
TCGA-05-4396-01A-21D-1853-02	chr1	69115001	69121000	5	-3.082098
TCGA-05-4396-01A-21D-1853-02	chr1	69121001	69724000	602	-0.580977
TCGA-05-4396-01A-21D-1853-02	chr1	69724001	70389000	659	-0.579867
TCGA-05-4396-01A-21D-1853-02	chr1	70389001	70590000	201	-0.578476
TCGA-05-4396-01A-21D-1853-02	chr1	70590001	70601000	9	-2.022444
TCGA-05-4396-01A-21D-1853-02	chr1	70601001	70814000	211	-0.584095
TCGA-05-4396-01A-21D-1853-02	chr1	70815001	70817000	2	-3.077413
TCGA-05-4396-01A-21D-1853-02	chr1	70817001	70977000	160	-0.507761
TCGA-05-4396-01A-21D-1853-02	chr1	70977001	71007000	30	3.187109
TCGA-05-4396-01A-21D-1853-02	chr1	71007001	71216000	209	-0.606868
TCGA-05-4396-01A-21D-1853-02	chr1	71216001	71223000	7	-4.542070
TCGA-05-4396-01A-21D-1853-02	chr1	71223001	71912000	677	-0.544745
TCGA-05-4396-01A-21D-1853-02	chr1	71912001	73299000	1337	-0.575499
TCGA-05-4396-01A-21D-1853-02	chr1	73299001	74001000	701	-0.568273
TCGA-05-4396-01A-21D-1853-02	chr1	74001001	74355000	354	-0.584951
TCGA-05-4396-01A-21D-1853-02	chr1	74355001	74875000	517	-0.539037
TCGA-05-4396-01A-21D-1853-02	chr1	74875001	74883000	8	-3.512899
TCGA-05-4396-01A-21D-1853-02	chr1	74883001	74987000	104	-0.528183
TCGA-05-4396-01A-21D-1853-02	chr1	74987001	74995000	8	-3.291627
TCGA-05-4396-01A-21D-1853-02	chr1	74995001	75475000	471	-0.575717
TCGA-05-4396-01A-21D-1853-02	chr1	75475001	75482000	7	-2.451216
TCGA-05-4396-01A-21D-1853-02	chr1	75482001	75678000	196	-0.522887
TCGA-05-4396-01A-21D-1853-02	chr1	75678001	75684000	6	-3.064014
TCGA-05-4396-01A-21D-1853-02	chr1	75684001	75698000	14	-0.462022
TCGA-05-4396-01A-21D-1853-02	chr1	75698001	75703000	5	-2.770464
TCGA-05-4396-01A-21D-1853-02	chr1	75703001	76041000	334	-0.627587
TCGA-05-4396-01A-21D-1853-02	chr1	76041001	77976000	1923	0.055530
TCGA-05-4396-01A-21D-1853-02	chr1	77976001	78185000	209	-0.582386
TCGA-05-4396-01A-21D-1853-02	chr1	78185001	78190000	5	-0.993170
