GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CJ-4869-01A-02D-A97E-36	chr1	17001	1200000	415	-0.279071
TCGA-CJ-4869-01A-02D-A97E-36	chr1	1200001	10918000	9513	-0.276777
TCGA-CJ-4869-01A-02D-A97E-36	chr1	10918001	12823000	1904	-0.274250
TCGA-CJ-4869-01A-02D-A97E-36	chr1	12823001	13494000	271	-0.235058
TCGA-CJ-4869-01A-02D-A97E-36	chr1	13494001	16603000	3068	-0.277687
TCGA-CJ-4869-01A-02D-A97E-36	chr1	16604001	16640000	36	-0.554318
TCGA-CJ-4869-01A-02D-A97E-36	chr1	16640001	16851000	82	-0.218000
TCGA-CJ-4869-01A-02D-A97E-36	chr1	16856001	16949000	87	-0.888946
TCGA-CJ-4869-01A-02D-A97E-36	chr1	16949001	32092000	14994	-0.274598
TCGA-CJ-4869-01A-02D-A97E-36	chr1	32092001	70226000	37911	0.022880
TCGA-CJ-4869-01A-02D-A97E-36	chr1	70226001	102912000	32396	-0.253271
TCGA-CJ-4869-01A-02D-A97E-36	chr1	102912001	122914000	17034	-0.253139
TCGA-CJ-4869-01A-02D-A97E-36	chr1	122922001	122923000	1	-8.313783
TCGA-CJ-4869-01A-02D-A97E-36	chr1	122925001	123526000	64	-0.566034
TCGA-CJ-4869-01A-02D-A97E-36	chr1	123527001	123529000	2	-5.598088
TCGA-CJ-4869-01A-02D-A97E-36	chr1	123531001	124099000	65	-0.220031
TCGA-CJ-4869-01A-02D-A97E-36	chr1	124102001	124165000	7	1.199387
TCGA-CJ-4869-01A-02D-A97E-36	chr1	124168001	124455000	49	-0.067332
TCGA-CJ-4869-01A-02D-A97E-36	chr1	124455001	124584000	25	-0.039954
TCGA-CJ-4869-01A-02D-A97E-36	chr1	124590001	143226000	332	0.025155
TCGA-CJ-4869-01A-02D-A97E-36	chr1	143226001	143237000	8	0.878675
TCGA-CJ-4869-01A-02D-A97E-36	chr1	143237001	152549000	5103	0.034470
TCGA-CJ-4869-01A-02D-A97E-36	chr1	152549001	152583000	34	-0.950482
TCGA-CJ-4869-01A-02D-A97E-36	chr1	152617001	161569000	8853	0.031934
TCGA-CJ-4869-01A-02D-A97E-36	chr1	161570001	161649000	48	0.595285
TCGA-CJ-4869-01A-02D-A97E-36	chr1	161649001	248931000	86009	0.035695
TCGA-CJ-4869-01A-02D-A97E-36	chr2	11001	240689000	231502	0.008773
TCGA-CJ-4869-01A-02D-A97E-36	chr2	240690001	240704000	6	-0.034203
TCGA-CJ-4869-01A-02D-A97E-36	chr2	240704001	242159000	1388	0.001809
TCGA-CJ-4869-01A-02D-A97E-36	chr3	12001	187000	172	-0.293353
TCGA-CJ-4869-01A-02D-A97E-36	chr3	187001	193000	6	-6.326593
TCGA-CJ-4869-01A-02D-A97E-36	chr3	193001	2636000	2421	-0.289489
TCGA-CJ-4869-01A-02D-A97E-36	chr3	2636001	7094000	4424	-0.288184
TCGA-CJ-4869-01A-02D-A97E-36	chr3	7094001	11055000	3947	-0.299547
TCGA-CJ-4869-01A-02D-A97E-36	chr3	11055001	11132000	77	-0.302162
TCGA-CJ-4869-01A-02D-A97E-36	chr3	11132001	11564000	430	-0.322482
TCGA-CJ-4869-01A-02D-A97E-36	chr3	11564001	20081000	8477	-0.292233
TCGA-CJ-4869-01A-02D-A97E-36	chr3	20081001	20592000	510	-0.284196
TCGA-CJ-4869-01A-02D-A97E-36	chr3	20592001	27799000	7164	-0.291862
TCGA-CJ-4869-01A-02D-A97E-36	chr3	27799001	27905000	104	-0.292139
TCGA-CJ-4869-01A-02D-A97E-36	chr3	27905001	29559000	1641	-0.289467
TCGA-CJ-4869-01A-02D-A97E-36	chr3	29559001	31961000	2401	-0.292625
TCGA-CJ-4869-01A-02D-A97E-36	chr3	31961001	32025000	63	-0.304690
TCGA-CJ-4869-01A-02D-A97E-36	chr3	32025001	44522000	12437	-0.294946
TCGA-CJ-4869-01A-02D-A97E-36	chr3	44522001	48018000	3483	-0.290844
TCGA-CJ-4869-01A-02D-A97E-36	chr3	48018001	48026000	8	-1.675428
TCGA-CJ-4869-01A-02D-A97E-36	chr3	48026001	57430000	9356	-0.294441
TCGA-CJ-4869-01A-02D-A97E-36	chr3	57430001	57537000	107	-0.302216
TCGA-CJ-4869-01A-02D-A97E-36	chr3	57537001	60256000	2709	-0.299314
TCGA-CJ-4869-01A-02D-A97E-36	chr3	60256001	63331000	3052	-0.295570
TCGA-CJ-4869-01A-02D-A97E-36	chr3	63331001	63519000	188	-0.257676
TCGA-CJ-4869-01A-02D-A97E-36	chr3	63519001	72177000	8618	-0.296236
TCGA-CJ-4869-01A-02D-A97E-36	chr3	72177001	73297000	1119	-0.293829
TCGA-CJ-4869-01A-02D-A97E-36	chr3	73297001	73350000	53	-0.297425
TCGA-CJ-4869-01A-02D-A97E-36	chr3	73350001	74477000	1126	-0.297789
TCGA-CJ-4869-01A-02D-A97E-36	chr3	74477001	78289000	3770	-0.287009
TCGA-CJ-4869-01A-02D-A97E-36	chr3	78289001	86504000	8172	-0.290567
TCGA-CJ-4869-01A-02D-A97E-36	chr3	86504001	86614000	110	0.042294
TCGA-CJ-4869-01A-02D-A97E-36	chr3	86614001	87793000	1174	-0.289589
TCGA-CJ-4869-01A-02D-A97E-36	chr3	87793001	89345000	1550	0.026379
TCGA-CJ-4869-01A-02D-A97E-36	chr3	89345001	89370000	21	-0.948093
TCGA-CJ-4869-01A-02D-A97E-36	chr3	89370001	90711000	1272	0.038969
TCGA-CJ-4869-01A-02D-A97E-36	chr3	90717001	91191000	26	-0.723372
TCGA-CJ-4869-01A-02D-A97E-36	chr3	91248001	128682000	34981	0.022488
TCGA-CJ-4869-01A-02D-A97E-36	chr3	128682001	128696000	14	0.585692
TCGA-CJ-4869-01A-02D-A97E-36	chr3	128696001	195617000	66299	0.021487
TCGA-CJ-4869-01A-02D-A97E-36	chr3	195617001	195729000	85	0.957909
TCGA-CJ-4869-01A-02D-A97E-36	chr3	195729001	196040000	291	0.029054
TCGA-CJ-4869-01A-02D-A97E-36	chr3	196040001	196048000	8	-0.030558
TCGA-CJ-4869-01A-02D-A97E-36	chr3	196048001	198175000	2063	0.020152
TCGA-CJ-4869-01A-02D-A97E-36	chr4	15001	8950000	8752	-0.003263
TCGA-CJ-4869-01A-02D-A97E-36	chr4	8950001	9058000	108	0.974724
TCGA-CJ-4869-01A-02D-A97E-36	chr4	9058001	9485000	190	0.999141
TCGA-CJ-4869-01A-02D-A97E-36	chr4	9485001	49101000	39346	0.005898
TCGA-CJ-4869-01A-02D-A97E-36	chr4	49101001	49112000	11	0.015722
