GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	17001	1661000	856	0.002311
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	1662001	1665000	3	-4.098488
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	1665001	16602000	14311	-0.010344
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	16602001	16632000	29	-0.178984
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	16632001	16949000	177	-0.160429
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	16949001	122926000	102337	-0.012048
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	122929001	124728000	246	-0.518339
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	124733001	143505000	348	0.217318
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	143529001	143938000	241	-0.875628
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	144101001	160460000	12632	0.251025
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	160460001	161755000	1206	0.256559
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	161755001	205623000	43528	-0.009671
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	205623001	227443000	21318	0.250127
TCGA-ZG-A9LY-01A-11D-A751-36	chr1	227443001	248931000	21079	-0.009887
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	11001	89581000	87686	-0.009757
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	89585001	89852000	184	-0.412837
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	89869001	90259000	234	-0.959996
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	90289001	91624000	200	-0.301434
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	91658001	146739000	49933	-0.006829
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	146739001	148418000	1665	-0.321742
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	148418001	173668000	25047	-0.012291
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	173668001	173984000	310	-0.333441
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	173984001	192555000	18427	-0.014759
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	192555001	193477000	913	-0.338137
TCGA-ZG-A9LY-01A-11D-A751-36	chr2	193477001	242159000	48297	-0.010033
TCGA-ZG-A9LY-01A-11D-A751-36	chr3	12001	195617000	191482	-0.011236
TCGA-ZG-A9LY-01A-11D-A751-36	chr3	195617001	195744000	100	0.653514
