GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
05faeff1-a037-4698-90a3-8557c021384f	1	62920	72776	4	0.1287
05faeff1-a037-4698-90a3-8557c021384f	1	82170	86341	7	-0.8479
05faeff1-a037-4698-90a3-8557c021384f	1	98588	15822848	8321	0.0135
05faeff1-a037-4698-90a3-8557c021384f	1	15823420	15827706	8	-0.6862
05faeff1-a037-4698-90a3-8557c021384f	1	15827744	16542868	301	0.007
05faeff1-a037-4698-90a3-8557c021384f	1	16544783	16643961	30	0.4087
05faeff1-a037-4698-90a3-8557c021384f	1	16679239	16868660	29	-0.1529
05faeff1-a037-4698-90a3-8557c021384f	1	16877002	16958425	57	-0.4156
05faeff1-a037-4698-90a3-8557c021384f	1	16959715	25277975	5259	0.0147
05faeff1-a037-4698-90a3-8557c021384f	1	25278567	25292440	5	-1.0626
05faeff1-a037-4698-90a3-8557c021384f	1	25292549	70777796	27803	0.0201
05faeff1-a037-4698-90a3-8557c021384f	1	70779147	70780985	5	-1.1823
05faeff1-a037-4698-90a3-8557c021384f	1	70785071	109679105	24529	0.0174
05faeff1-a037-4698-90a3-8557c021384f	1	109684695	109697556	15	1.3511
05faeff1-a037-4698-90a3-8557c021384f	1	109702376	109718120	18	0.2661
05faeff1-a037-4698-90a3-8557c021384f	1	109721990	112153465	1932	0.0262
05faeff1-a037-4698-90a3-8557c021384f	1	112153571	112163440	26	-0.3973
05faeff1-a037-4698-90a3-8557c021384f	1	112163460	119449539	4596	0.0106
05faeff1-a037-4698-90a3-8557c021384f	1	119450087	119451153	3	-1.0297
05faeff1-a037-4698-90a3-8557c021384f	1	119451472	121597150	549	0.0474
05faeff1-a037-4698-90a3-8557c021384f	1	121598439	143714665	98	0.21
05faeff1-a037-4698-90a3-8557c021384f	1	143714703	144432313	35	0.6616
05faeff1-a037-4698-90a3-8557c021384f	1	144442092	150773094	1308	0.0191
05faeff1-a037-4698-90a3-8557c021384f	1	150776188	150776205	2	1.4203
05faeff1-a037-4698-90a3-8557c021384f	1	150789296	152789532	1205	0.0393
05faeff1-a037-4698-90a3-8557c021384f	1	152789570	152795783	28	-0.5586
05faeff1-a037-4698-90a3-8557c021384f	1	152795805	160833752	4907	0.0141
05faeff1-a037-4698-90a3-8557c021384f	1	160833928	160833945	2	-1.9615
05faeff1-a037-4698-90a3-8557c021384f	1	160834012	165076228	3044	0.0209
05faeff1-a037-4698-90a3-8557c021384f	1	165076297	165076317	2	-1.7441
05faeff1-a037-4698-90a3-8557c021384f	1	165077278	174827128	6831	0.017
05faeff1-a037-4698-90a3-8557c021384f	1	174827267	174832902	22	0.4347
05faeff1-a037-4698-90a3-8557c021384f	1	174832996	194479104	13169	0.0145
05faeff1-a037-4698-90a3-8557c021384f	1	194482281	194485888	2	1.9589
05faeff1-a037-4698-90a3-8557c021384f	1	194487886	196761905	1452	0.0139
05faeff1-a037-4698-90a3-8557c021384f	1	196762480	196762956	2	-1.6772
05faeff1-a037-4698-90a3-8557c021384f	1	196769493	196917579	112	0.2256
05faeff1-a037-4698-90a3-8557c021384f	1	196917640	248429571	35502	0.0152
05faeff1-a037-4698-90a3-8557c021384f	1	248429940	248475325	15	0.5231
05faeff1-a037-4698-90a3-8557c021384f	1	248477891	248525299	11	-0.2033
05faeff1-a037-4698-90a3-8557c021384f	1	248525314	248572774	4	0.375
05faeff1-a037-4698-90a3-8557c021384f	1	248574146	248646068	36	-0.6968
05faeff1-a037-4698-90a3-8557c021384f	1	248661836	248930189	138	0.0049
05faeff1-a037-4698-90a3-8557c021384f	2	12784	295255	180	0.0737
05faeff1-a037-4698-90a3-8557c021384f	2	296789	296852	3	-1.2366
05faeff1-a037-4698-90a3-8557c021384f	2	300879	2028992	1144	-0.0071
05faeff1-a037-4698-90a3-8557c021384f	2	2029968	2030872	2	-1.7389
05faeff1-a037-4698-90a3-8557c021384f	2	2036863	7454261	4550	0.013
