GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EJ-5505-01A-01D-1572-02	chr1	17001	817000	49	-1.676495
TCGA-EJ-5505-01A-01D-1572-02	chr1	818001	1632000	788	-0.240952
TCGA-EJ-5505-01A-01D-1572-02	chr1	1636001	1750000	76	-0.707240
TCGA-EJ-5505-01A-01D-1572-02	chr1	1752001	2655000	898	-0.142522
TCGA-EJ-5505-01A-01D-1572-02	chr1	2655001	2776000	9	-1.483574
TCGA-EJ-5505-01A-01D-1572-02	chr1	2777001	4044000	1253	-0.080491
TCGA-EJ-5505-01A-01D-1572-02	chr1	4044001	4859000	808	-0.027522
TCGA-EJ-5505-01A-01D-1572-02	chr1	4859001	4867000	8	-1.711026
TCGA-EJ-5505-01A-01D-1572-02	chr1	4867001	5045000	178	0.022919
TCGA-EJ-5505-01A-01D-1572-02	chr1	5045001	5053000	8	-0.964312
TCGA-EJ-5505-01A-01D-1572-02	chr1	5053001	6010000	953	0.006890
TCGA-EJ-5505-01A-01D-1572-02	chr1	6010001	6912000	902	-0.119497
TCGA-EJ-5505-01A-01D-1572-02	chr1	6912001	7412000	499	-0.014464
TCGA-EJ-5505-01A-01D-1572-02	chr1	7412001	7420000	8	-2.582751
TCGA-EJ-5505-01A-01D-1572-02	chr1	7420001	7598000	178	-0.045172
TCGA-EJ-5505-01A-01D-1572-02	chr1	7598001	7606000	8	-2.984230
TCGA-EJ-5505-01A-01D-1572-02	chr1	7606001	12780000	5167	-0.077454
TCGA-EJ-5505-01A-01D-1572-02	chr1	12780001	12837000	54	-1.701059
TCGA-EJ-5505-01A-01D-1572-02	chr1	12837001	12883000	34	-0.577728
TCGA-EJ-5505-01A-01D-1572-02	chr1	12883001	12910000	8	-2.495399
TCGA-EJ-5505-01A-01D-1572-02	chr1	12910001	13312000	53	-0.698193
TCGA-EJ-5505-01A-01D-1572-02	chr1	13313001	13366000	36	-2.435926
TCGA-EJ-5505-01A-01D-1572-02	chr1	13366001	14380000	1012	-0.041048
TCGA-EJ-5505-01A-01D-1572-02	chr1	14380001	14388000	8	-3.009390
TCGA-EJ-5505-01A-01D-1572-02	chr1	14388001	16507000	2112	-0.073677
TCGA-EJ-5505-01A-01D-1572-02	chr1	16507001	16533000	25	-0.929176
TCGA-EJ-5505-01A-01D-1572-02	chr1	16533001	16577000	20	-2.444040
TCGA-EJ-5505-01A-01D-1572-02	chr1	16577001	16583000	6	-4.450086
TCGA-EJ-5505-01A-01D-1572-02	chr1	16583001	16596000	10	-3.171899
TCGA-EJ-5505-01A-01D-1572-02	chr1	16599001	16687000	64	-0.929571
TCGA-EJ-5505-01A-01D-1572-02	chr1	16687001	16716000	11	-3.846092
TCGA-EJ-5505-01A-01D-1572-02	chr1	16716001	16728000	12	-1.257479
TCGA-EJ-5505-01A-01D-1572-02	chr1	16728001	16757000	7	-5.334589
TCGA-EJ-5505-01A-01D-1572-02	chr1	16760001	16949000	114	-1.680233
TCGA-EJ-5505-01A-01D-1572-02	chr1	16949001	17450000	498	-0.086045
TCGA-EJ-5505-01A-01D-1572-02	chr1	17450001	17486000	36	-0.337689
TCGA-EJ-5505-01A-01D-1572-02	chr1	17486001	21957000	4453	-0.048132
TCGA-EJ-5505-01A-01D-1572-02	chr1	21957001	22037000	75	-0.456890
TCGA-EJ-5505-01A-01D-1572-02	chr1	22037001	29405000	7256	-0.080252
TCGA-EJ-5505-01A-01D-1572-02	chr1	29405001	30439000	1030	-0.010389
TCGA-EJ-5505-01A-01D-1572-02	chr1	30440001	30445000	2	-0.174885
TCGA-EJ-5505-01A-01D-1572-02	chr1	30445001	30493000	48	-0.058274
TCGA-EJ-5505-01A-01D-1572-02	chr1	30493001	30501000	8	-1.144654
TCGA-EJ-5505-01A-01D-1572-02	chr1	30501001	30577000	75	0.014458
TCGA-EJ-5505-01A-01D-1572-02	chr1	30577001	30585000	8	-1.687494
TCGA-EJ-5505-01A-01D-1572-02	chr1	30585001	33670000	3078	-0.051665
TCGA-EJ-5505-01A-01D-1572-02	chr1	33670001	33678000	8	-3.705226
TCGA-EJ-5505-01A-01D-1572-02	chr1	33678001	34093000	412	0.029883
TCGA-EJ-5505-01A-01D-1572-02	chr1	34093001	34099000	4	-6.508016
TCGA-EJ-5505-01A-01D-1572-02	chr1	34099001	37206000	3093	-0.031874
TCGA-EJ-5505-01A-01D-1572-02	chr1	37206001	37215000	9	0.102187
TCGA-EJ-5505-01A-01D-1572-02	chr1	37215001	41176000	3929	-0.045626
TCGA-EJ-5505-01A-01D-1572-02	chr1	41176001	41183000	7	-3.032942
TCGA-EJ-5505-01A-01D-1572-02	chr1	41183001	45181000	3980	-0.022162
TCGA-EJ-5505-01A-01D-1572-02	chr1	45181001	45187000	6	-3.258174
TCGA-EJ-5505-01A-01D-1572-02	chr1	45187001	46013000	822	-0.036868
TCGA-EJ-5505-01A-01D-1572-02	chr1	46013001	46018000	5	-2.154112
TCGA-EJ-5505-01A-01D-1572-02	chr1	46018001	47006000	973	-0.061226
TCGA-EJ-5505-01A-01D-1572-02	chr1	47006001	47014000	8	-0.326457
TCGA-EJ-5505-01A-01D-1572-02	chr1	47014001	47053000	39	0.028177
TCGA-EJ-5505-01A-01D-1572-02	chr1	47053001	47057000	4	-4.081493
TCGA-EJ-5505-01A-01D-1572-02	chr1	47057001	47166000	99	-0.334528
TCGA-EJ-5505-01A-01D-1572-02	chr1	47166001	47172000	6	-3.150457
TCGA-EJ-5505-01A-01D-1572-02	chr1	47172001	48276000	1097	-0.019285
TCGA-EJ-5505-01A-01D-1572-02	chr1	48276001	48284000	8	-1.771791
TCGA-EJ-5505-01A-01D-1572-02	chr1	48284001	48364000	80	0.105900
TCGA-EJ-5505-01A-01D-1572-02	chr1	48364001	48370000	6	-2.134099
TCGA-EJ-5505-01A-01D-1572-02	chr1	48370001	49005000	632	0.062021
TCGA-EJ-5505-01A-01D-1572-02	chr1	49005001	49012000	4	-3.313282
TCGA-EJ-5505-01A-01D-1572-02	chr1	49012001	49561000	547	0.076737
TCGA-EJ-5505-01A-01D-1572-02	chr1	49561001	52171000	2603	0.004824
TCGA-EJ-5505-01A-01D-1572-02	chr1	52171001	52178000	7	-3.130958
TCGA-EJ-5505-01A-01D-1572-02	chr1	52178001	53003000	824	-0.029523
TCGA-EJ-5505-01A-01D-1572-02	chr1	53003001	53011000	8	-0.242309
