GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BR-6801-01A-11D-1882-08	chr1	17001	1581000	786	-0.023250
TCGA-BR-6801-01A-11D-1882-08	chr1	1581001	1679000	85	-0.009889
TCGA-BR-6801-01A-11D-1882-08	chr1	1679001	2434000	719	-0.010147
TCGA-BR-6801-01A-11D-1882-08	chr1	2434001	6004000	3434	-0.029576
TCGA-BR-6801-01A-11D-1882-08	chr1	6004001	9380000	3367	-0.014494
TCGA-BR-6801-01A-11D-1882-08	chr1	9380001	11516000	2135	-0.006496
TCGA-BR-6801-01A-11D-1882-08	chr1	11516001	11626000	110	0.000248
TCGA-BR-6801-01A-11D-1882-08	chr1	11626001	12839000	1210	-0.014051
TCGA-BR-6801-01A-11D-1882-08	chr1	12839001	13059000	45	0.037970
TCGA-BR-6801-01A-11D-1882-08	chr1	13104001	13584000	302	-0.048382
TCGA-BR-6801-01A-11D-1882-08	chr1	13584001	16367000	2775	-0.016051
TCGA-BR-6801-01A-11D-1882-08	chr1	16367001	16983000	440	0.074689
TCGA-BR-6801-01A-11D-1882-08	chr1	16983001	19779000	2794	-0.019459
TCGA-BR-6801-01A-11D-1882-08	chr1	19779001	19815000	36	0.001147
TCGA-BR-6801-01A-11D-1882-08	chr1	19815001	27211000	7267	-0.012761
TCGA-BR-6801-01A-11D-1882-08	chr1	27211001	30163000	2943	-0.012188
TCGA-BR-6801-01A-11D-1882-08	chr1	30163001	30540000	373	-0.034431
TCGA-BR-6801-01A-11D-1882-08	chr1	30540001	30576000	35	-0.019067
TCGA-BR-6801-01A-11D-1882-08	chr1	30576001	30902000	326	-0.026556
TCGA-BR-6801-01A-11D-1882-08	chr1	30902001	34636000	3711	-0.014041
TCGA-BR-6801-01A-11D-1882-08	chr1	34636001	34646000	10	-2.315130
TCGA-BR-6801-01A-11D-1882-08	chr1	34646001	34855000	209	-0.013564
TCGA-BR-6801-01A-11D-1882-08	chr1	34855001	36739000	1882	-0.010446
TCGA-BR-6801-01A-11D-1882-08	chr1	36739001	37189000	449	-0.032479
TCGA-BR-6801-01A-11D-1882-08	chr1	37189001	37351000	162	-0.033392
TCGA-BR-6801-01A-11D-1882-08	chr1	37351001	42042000	4654	-0.015923
TCGA-BR-6801-01A-11D-1882-08	chr1	42042001	42376000	330	-0.014944
TCGA-BR-6801-01A-11D-1882-08	chr1	42376001	44395000	2013	-0.015561
TCGA-BR-6801-01A-11D-1882-08	chr1	44395001	44513000	118	-0.004645
TCGA-BR-6801-01A-11D-1882-08	chr1	44513001	55373000	10797	-0.019123
TCGA-BR-6801-01A-11D-1882-08	chr1	55373001	55542000	169	-0.020797
TCGA-BR-6801-01A-11D-1882-08	chr1	55542001	57418000	1867	-0.016947
TCGA-BR-6801-01A-11D-1882-08	chr1	57418001	57534000	116	-0.011294
TCGA-BR-6801-01A-11D-1882-08	chr1	57534001	58849000	1296	-0.016964
