GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CG-5717-01A-11D-A77Y-36	chr1	17001	10345000	9355	0.079726
TCGA-CG-5717-01A-11D-A77Y-36	chr1	10345001	16603000	5816	-0.003542
TCGA-CG-5717-01A-11D-A77Y-36	chr1	16604001	16906000	163	-0.062942
TCGA-CG-5717-01A-11D-A77Y-36	chr1	16906001	25845000	8811	-0.006994
TCGA-CG-5717-01A-11D-A77Y-36	chr1	25845001	31085000	5219	-0.092294
TCGA-CG-5717-01A-11D-A77Y-36	chr1	31085001	120574000	88004	0.002460
TCGA-CG-5717-01A-11D-A77Y-36	chr1	120671001	120922000	27	-0.855057
TCGA-CG-5717-01A-11D-A77Y-36	chr1	120935001	143186000	832	0.008437
TCGA-CG-5717-01A-11D-A77Y-36	chr1	143186001	143264000	57	0.881026
TCGA-CG-5717-01A-11D-A77Y-36	chr1	143264001	177852000	30084	0.085665
TCGA-CG-5717-01A-11D-A77Y-36	chr1	177852001	248931000	69943	-0.002389
TCGA-CG-5717-01A-11D-A77Y-36	chr2	11001	89796000	87815	-0.003774
TCGA-CG-5717-01A-11D-A77Y-36	chr2	89796001	89807000	11	-0.049939
TCGA-CG-5717-01A-11D-A77Y-36	chr2	89807001	242159000	145070	0.002048
TCGA-CG-5717-01A-11D-A77Y-36	chr3	12001	33234000	33038	0.006460
TCGA-CG-5717-01A-11D-A77Y-36	chr3	33234001	37488000	4234	0.094884
TCGA-CG-5717-01A-11D-A77Y-36	chr3	37488001	65203000	27582	0.007159
TCGA-CG-5717-01A-11D-A77Y-36	chr3	65203001	65229000	26	-0.964951
TCGA-CG-5717-01A-11D-A77Y-36	chr3	65229001	82819000	17483	0.001902
TCGA-CG-5717-01A-11D-A77Y-36	chr3	82819001	82824000	5	-29.923117
TCGA-CG-5717-01A-11D-A77Y-36	chr3	82824001	117587000	31780	0.027257
TCGA-CG-5717-01A-11D-A77Y-36	chr3	117587001	121826000	4210	-0.047332
TCGA-CG-5717-01A-11D-A77Y-36	chr3	121826001	165323000	43040	0.120233
TCGA-CG-5717-01A-11D-A77Y-36	chr3	165323001	165365000	42	-0.721217
TCGA-CG-5717-01A-11D-A77Y-36	chr3	165365001	182705000	17261	0.126086
TCGA-CG-5717-01A-11D-A77Y-36	chr3	182705001	186660000	3933	0.199003
TCGA-CG-5717-01A-11D-A77Y-36	chr3	186660001	198175000	11295	-0.045212
TCGA-CG-5717-01A-11D-A77Y-36	chr4	15001	34778000	34133	-0.019483
TCGA-CG-5717-01A-11D-A77Y-36	chr4	34778001	34827000	49	-0.817146
TCGA-CG-5717-01A-11D-A77Y-36	chr4	34827001	49101000	14214	-0.010201
TCGA-CG-5717-01A-11D-A77Y-36	chr4	49101001	49640000	270	0.073652
TCGA-CG-5717-01A-11D-A77Y-36	chr4	49640001	49658000	18	-0.490731
TCGA-CG-5717-01A-11D-A77Y-36	chr4	49709001	57184000	5344	0.000235
TCGA-CG-5717-01A-11D-A77Y-36	chr4	57184001	57235000	51	0.574740
TCGA-CG-5717-01A-11D-A77Y-36	chr4	57235001	69258000	11723	0.005583
TCGA-CG-5717-01A-11D-A77Y-36	chr4	69260001	69366000	103	-0.819632
TCGA-CG-5717-01A-11D-A77Y-36	chr4	69366001	79503000	10072	-0.009060
TCGA-CG-5717-01A-11D-A77Y-36	chr4	79503001	190204000	109602	-0.085946
TCGA-CG-5717-01A-11D-A77Y-36	chr5	13001	22007000	21631	-0.002698
