GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
026db526-551d-4f9d-a5e2-3fb81253e14d	1	62920	98588	12	-1.0093
026db526-551d-4f9d-a5e2-3fb81253e14d	1	98602	16863509	8692	0.0147
026db526-551d-4f9d-a5e2-3fb81253e14d	1	16864367	16935302	51	-0.4739
026db526-551d-4f9d-a5e2-3fb81253e14d	1	16935393	17266911	240	0.0223
026db526-551d-4f9d-a5e2-3fb81253e14d	1	17268401	17296159	23	0.61
026db526-551d-4f9d-a5e2-3fb81253e14d	1	17296370	25269456	5007	0.0071
026db526-551d-4f9d-a5e2-3fb81253e14d	1	25269914	25301974	15	-0.469
026db526-551d-4f9d-a5e2-3fb81253e14d	1	25318693	70291472	27511	-0.0055
026db526-551d-4f9d-a5e2-3fb81253e14d	1	70292844	70292997	2	1.5717
026db526-551d-4f9d-a5e2-3fb81253e14d	1	70293617	72284670	1226	-0.0101
026db526-551d-4f9d-a5e2-3fb81253e14d	1	72290430	72297687	9	-3.282
026db526-551d-4f9d-a5e2-3fb81253e14d	1	72302735	72345450	47	0.9868
026db526-551d-4f9d-a5e2-3fb81253e14d	1	72345465	103620877	20030	-0.0058
026db526-551d-4f9d-a5e2-3fb81253e14d	1	103621165	103717410	4	-1.4181
026db526-551d-4f9d-a5e2-3fb81253e14d	1	103717617	107111598	2015	0.0116
026db526-551d-4f9d-a5e2-3fb81253e14d	1	107112980	107120873	11	-1.0771
026db526-551d-4f9d-a5e2-3fb81253e14d	1	107122811	109690352	1544	0.0081
026db526-551d-4f9d-a5e2-3fb81253e14d	1	109690415	109697556	12	1.3792
026db526-551d-4f9d-a5e2-3fb81253e14d	1	109702376	112147704	1950	0.0011
026db526-551d-4f9d-a5e2-3fb81253e14d	1	112153343	112154754	24	0.5566
026db526-551d-4f9d-a5e2-3fb81253e14d	1	112154768	143713930	5256	0.0042
026db526-551d-4f9d-a5e2-3fb81253e14d	1	143714499	143748012	5	0.2802
026db526-551d-4f9d-a5e2-3fb81253e14d	1	143748074	143754062	15	1.2103
026db526-551d-4f9d-a5e2-3fb81253e14d	1	143754077	152583051	2331	0.6325
026db526-551d-4f9d-a5e2-3fb81253e14d	1	152583230	152613762	31	1.7782
026db526-551d-4f9d-a5e2-3fb81253e14d	1	152613802	152787202	171	0.6189
026db526-551d-4f9d-a5e2-3fb81253e14d	1	152789447	152796224	37	-0.3959
026db526-551d-4f9d-a5e2-3fb81253e14d	1	152801429	169247699	11288	0.5901
026db526-551d-4f9d-a5e2-3fb81253e14d	1	169264736	169273163	8	-0.2434
026db526-551d-4f9d-a5e2-3fb81253e14d	1	169285639	175482014	3985	0.5757
026db526-551d-4f9d-a5e2-3fb81253e14d	1	175482327	175852935	307	0.6945
026db526-551d-4f9d-a5e2-3fb81253e14d	1	175854288	185823858	6675	0.5855
026db526-551d-4f9d-a5e2-3fb81253e14d	1	185824479	196762480	7217	0.5293
026db526-551d-4f9d-a5e2-3fb81253e14d	1	196762956	196847600	59	-0.0879
026db526-551d-4f9d-a5e2-3fb81253e14d	1	196854187	199936700	1900	0.5386
026db526-551d-4f9d-a5e2-3fb81253e14d	1	199936860	200874640	649	0.6443
026db526-551d-4f9d-a5e2-3fb81253e14d	1	200876814	208741511	5283	0.5103
026db526-551d-4f9d-a5e2-3fb81253e14d	1	208745550	239774135	21702	-0.2347
026db526-551d-4f9d-a5e2-3fb81253e14d	1	239779310	240091384	293	-0.6319
