GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3688-01A-01D-A91V-36	chr1	17001	2142000	1301	-0.318510
TCGA-AA-3688-01A-01D-A91V-36	chr1	2142001	5854000	3573	-0.372433
TCGA-AA-3688-01A-01D-A91V-36	chr1	5854001	10176000	4313	-0.319827
TCGA-AA-3688-01A-01D-A91V-36	chr1	10176001	11266000	1089	-0.298553
TCGA-AA-3688-01A-01D-A91V-36	chr1	11266001	11927000	661	-0.336262
TCGA-AA-3688-01A-01D-A91V-36	chr1	11927001	14985000	2654	-0.336767
TCGA-AA-3688-01A-01D-A91V-36	chr1	14985001	16603000	1580	-0.309958
TCGA-AA-3688-01A-01D-A91V-36	chr1	16604001	16647000	43	-0.456903
TCGA-AA-3688-01A-01D-A91V-36	chr1	16647001	17835000	1045	-0.308710
TCGA-AA-3688-01A-01D-A91V-36	chr1	17835001	18667000	832	-0.359275
TCGA-AA-3688-01A-01D-A91V-36	chr1	18667001	22295000	3605	-0.313005
TCGA-AA-3688-01A-01D-A91V-36	chr1	22295001	28974000	6567	-0.303609
TCGA-AA-3688-01A-01D-A91V-36	chr1	28974001	30858000	1875	-0.346693
TCGA-AA-3688-01A-01D-A91V-36	chr1	30858001	33575000	2710	-0.300881
TCGA-AA-3688-01A-01D-A91V-36	chr1	33575001	34342000	757	-0.343884
TCGA-AA-3688-01A-01D-A91V-36	chr1	34342001	36706000	2356	-0.316183
TCGA-AA-3688-01A-01D-A91V-36	chr1	36706001	37249000	542	-0.361627
TCGA-AA-3688-01A-01D-A91V-36	chr1	37249001	39698000	2434	-0.328210
TCGA-AA-3688-01A-01D-A91V-36	chr1	39698001	46866000	7125	-0.305732
TCGA-AA-3688-01A-01D-A91V-36	chr1	46866001	48016000	1128	-0.284763
TCGA-AA-3688-01A-01D-A91V-36	chr1	48016001	55752000	7702	-0.314585
TCGA-AA-3688-01A-01D-A91V-36	chr1	55752001	57916000	2158	-0.347031
TCGA-AA-3688-01A-01D-A91V-36	chr1	57916001	58360000	431	-0.322960
TCGA-AA-3688-01A-01D-A91V-36	chr1	58360001	61646000	3270	-0.284484
TCGA-AA-3688-01A-01D-A91V-36	chr1	61646001	61654000	8	-0.598416
TCGA-AA-3688-01A-01D-A91V-36	chr1	61654001	63635000	1976	-0.304560
TCGA-AA-3688-01A-01D-A91V-36	chr1	63635001	64105000	469	-0.348402
