GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	62920	1575421	210	-0.0001
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	1696479	1741164	16	-0.7321
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	1756148	16689764	8457	0.0013
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	16718963	16788139	19	0.5273
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	16855942	72303233	34091	0.0062
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	72303253	72345465	45	-1.458
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	72346221	75585159	1931	-0.0143
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	75589078	75589169	2	-2.3479
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	75593824	109684893	21677	0.0009
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	109690352	109697556	13	1.1012
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	109702376	112147704	1950	0.0097
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	112153343	112154768	25	-1.6909
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	112163334	143748074	5261	0.0057
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	143748421	143760271	19	0.4631
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	143762042	152583230	2325	0.0083
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	152583291	152614100	33	1.3965
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	152614118	152789447	169	-0.0114
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	152789463	152795883	34	0.4407
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	152796094	196745743	29478	0.0017
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	196758720	196846661	61	-1.8772
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	196847600	215682541	12679	0.0099
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	215682652	215688763	15	-0.81
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	215692667	248574146	22961	0.0036
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	248585893	248633821	31	-1.0561
39af0a62-3047-471e-b14b-35c1ba8b15b5	1	248633912	248930189	142	0.0245
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	12784	34474248	24097	-0.0063
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	34476327	34511990	45	-1.9154
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	34512096	97188422	36871	-0.0057
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	97192190	97211436	15	-0.7868
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	97310327	97359380	12	-0.0232
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	97359885	97545247	9	0.7471
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	97545726	106258266	5568	0.0013
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	106263639	106270952	14	-0.6852
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	106271414	129597933	13980	-0.0072
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	129598357	129598954	3	-1.4608
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	129601358	185660078	34182	-0.0032
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	185667108	185729628	35	-1.0073
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	185734488	207490231	12618	-0.0164
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	207490454	207494752	17	-0.6344
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	207494795	241546649	21901	-0.0052
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	241546809	241547397	5	-1.6941
39af0a62-3047-471e-b14b-35c1ba8b15b5	2	241555977	242147305	179	0.0444
39af0a62-3047-471e-b14b-35c1ba8b15b5	3	20930	68697108	47796	0.0062
39af0a62-3047-471e-b14b-35c1ba8b15b5	3	68697133	68698262	13	-1.655
39af0a62-3047-471e-b14b-35c1ba8b15b5	3	68699607	198169247	76909	0.0001
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	68929	3896017	1571	0.0002
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	3899125	4117959	57	-0.686
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	4121101	10208766	4080	0.0108
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	10212536	10229874	29	-1.9538
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	10232590	12340485	1764	0.006
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	12341335	12341951	2	-1.8226
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	12342459	34777418	15214	0.0057
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	34777432	34823103	39	-0.7462
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	34828250	63828222	16562	-0.0013
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	63831751	63850713	29	-0.538
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	63851308	68354665	2849	-0.0054
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	68361130	68391041	4	-1.1178
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	68394355	69254981	396	-0.059
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	69255175	69370433	61	-0.6677
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	69374263	172066777	62421	0.0024
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	172067997	172068382	12	-1.4149
39af0a62-3047-471e-b14b-35c1ba8b15b5	4	172074828	190106768	12084	-0.0062
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	15532	773453	333	0.0322
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	779766	825538	19	-0.7258
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	833513	12791608	9841	-0.0043
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	12800777	12838421	15	0.7397
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	12849089	58025819	25553	0.001
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	58030200	58037688	31	2.387
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	58037706	82122944	14204	0.0091
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	82123459	82131663	3	-2.7517
39af0a62-3047-471e-b14b-35c1ba8b15b5	5	82132219	181363319	62893	0.0049
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	149661	257353	102	-0.0156
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	258265	294286	18	0.4818
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	294443	29869295	21538	0.0037
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	29869410	29909182	25	0.4722
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	29913249	31309909	653	0.0333
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	31313046	31328674	12	1.1377
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	31342147	32485152	501	0.032
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	32486498	32605994	31	0.9519
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	32606237	32656527	26	-0.0336
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	32656814	32658841	5	1.3661
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	32682835	33970966	802	0.0195
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	33974234	33974928	6	-0.8943
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	33976809	54066353	12898	0.0059
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	54066432	54067057	6	-2.0549
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	54070550	78261995	13171	0.0011
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	78262064	78322600	103	-0.6191
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	78322875	103286954	15482	-0.0136
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	103290101	103314186	46	-1.2798
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	103317795	124110629	12694	-0.0046
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	124114796	124149616	21	0.5091
39af0a62-3047-471e-b14b-35c1ba8b15b5	6	124150388	170741917	31468	0.0014
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	43355	38258234	27361	-0.008
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	38258721	38338955	112	0.2168
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	38339129	54318812	10999	-0.002
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	54318816	54318824	5	-2.5828
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	54325795	76524031	8273	0.0026
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	76524046	76531980	3	-1.4592
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	76531991	91578827	9698	-0.005
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	91589569	91589817	3	-1.5209
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	91595717	109793741	10467	0.002
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	109797035	109813853	35	0.3791
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	109813925	126604276	10185	0.001
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	126607677	126621795	3	-1.8662
39af0a62-3047-471e-b14b-35c1ba8b15b5	7	126622802	159334314	20683	0.0013
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	81254	6968330	7626	-0.0081
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	6968741	6969677	12	-0.6411
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	6975846	7357323	99	0.0172
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	7357997	7380497	16	0.6267
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	7396819	8110806	40	-0.2625
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	8120447	15545551	6012	-0.0121
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	15548772	15554099	7	-1.1152
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	15555938	25116961	7672	0.0037
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	25117007	25126818	25	-0.7225
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	25133589	39372806	9016	0.0081
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	39373140	39512955	52	-0.6619
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	39517213	67637186	15560	-0.0067
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	67637542	67637956	4	-1.3677
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	67637971	103678365	21892	-0.0068
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	103678698	103678712	2	-1.7248
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	103681457	114622478	6393	-0.0149
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	114622678	114629460	29	-0.6645
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	114629502	119142545	3112	0.0124
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	119143515	119147207	3	-1.291
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	119150615	136146313	12417	0.0035
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	136146886	136149883	2	-1.9515
39af0a62-3047-471e-b14b-35c1ba8b15b5	8	136152398	145072769	5530	0.0002
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	46587	23361807	20430	-0.0031
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	23363117	23373486	8	1.1673
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	23378490	42046831	10860	-0.0081
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	42073850	42156306	13	0.5943
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	42159409	63580418	144	0.0049
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	63590317	63590322	3	2.037
39af0a62-3047-471e-b14b-35c1ba8b15b5	9	63590323	138200944	48062	0.0021
39af0a62-3047-471e-b14b-35c1ba8b15b5	10	45792	24088745	19202	-0.0031
39af0a62-3047-471e-b14b-35c1ba8b15b5	10	24088746	24089125	10	-2.348
39af0a62-3047-471e-b14b-35c1ba8b15b5	10	24089979	53347839	16630	0.0024
39af0a62-3047-471e-b14b-35c1ba8b15b5	10	53348369	53359960	8	-1.0864
39af0a62-3047-471e-b14b-35c1ba8b15b5	10	53360007	133654968	54843	0.0045
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	198510	31371747	21801	0.0063
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	31372721	31375533	2	-2.2158
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	31376660	48572716	11497	-0.0079
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	48576870	48584766	4	-1.0606
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	48586605	49736119	443	-0.0086
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	49736215	49754462	30	-0.4121
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	49754886	55595864	704	-0.0141
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	55606556	55672514	47	0.4044
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	55674842	55677818	5	-0.2919
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	55678469	55686100	8	0.5641
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	55693207	80256460	13261	0.0006
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	80256469	80256504	2	-1.6703
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	80256520	82155706	1572	-0.0051
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	82167381	82169547	7	1.0374
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	82173275	134732386	37171	0.0023
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	134733052	134734098	2	-1.8838
39af0a62-3047-471e-b14b-35c1ba8b15b5	11	134737977	135074876	281	0.0003
39af0a62-3047-471e-b14b-35c1ba8b15b5	12	51460	9477960	6175	0.0109
39af0a62-3047-471e-b14b-35c1ba8b15b5	12	9481274	9575696	24	0.9262
39af0a62-3047-471e-b14b-35c1ba8b15b5	12	9582373	129516041	76297	0.0052
39af0a62-3047-471e-b14b-35c1ba8b15b5	12	129518945	129519049	2	-2.2123
39af0a62-3047-471e-b14b-35c1ba8b15b5	12	129519225	133201603	2354	0.0162
39af0a62-3047-471e-b14b-35c1ba8b15b5	13	18452809	57189156	26044	-0.0028
39af0a62-3047-471e-b14b-35c1ba8b15b5	13	57189217	57190045	12	-0.7958
39af0a62-3047-471e-b14b-35c1ba8b15b5	13	57192577	71902850	9003	-0.0151
39af0a62-3047-471e-b14b-35c1ba8b15b5	13	71903417	71906418	4	-2.8937
39af0a62-3047-471e-b14b-35c1ba8b15b5	13	71906467	114342922	29099	-0.002
39af0a62-3047-471e-b14b-35c1ba8b15b5	14	18239283	19918645	143	-0.2451
39af0a62-3047-471e-b14b-35c1ba8b15b5	14	19921562	21928296	1386	0.0171
39af0a62-3047-471e-b14b-35c1ba8b15b5	14	21928444	22563755	553	0.1849
39af0a62-3047-471e-b14b-35c1ba8b15b5	14	22564040	41139155	11684	0.0062
39af0a62-3047-471e-b14b-35c1ba8b15b5	14	41141293	41188046	14	-2.1645
