GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	17001	898000	125	-0.128859
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	898001	1943000	979	-0.154855
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	1943001	4361000	2279	-0.157211
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	4361001	5283000	921	-0.174210
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	5283001	13649000	7954	-0.160534
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	13649001	16552000	2889	-0.151845
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	16553001	16603000	24	-0.787339
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	16604001	16609000	5	-0.271287
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	16609001	16912000	164	-0.340834
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	16912001	42307000	25180	-0.152651
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	42307001	48020000	5674	-0.142820
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	48020001	51084000	3043	-0.127218
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	51084001	65526000	14382	-0.145718
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	65526001	83166000	17466	-0.134375
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	83166001	87394000	4144	-0.131690
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	87394001	96775000	9329	-0.144062
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	96775001	108660000	11475	-0.132408
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	108660001	114815000	6086	-0.147340
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	114815001	120672000	5250	-0.139699
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	120805001	120922000	26	-1.056263
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	120935001	124103000	449	-0.148761
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	124119001	124207000	14	0.886866
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	124216001	143505000	449	0.080398
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	143529001	144105000	245	-0.816826
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	144140001	152563000	4829	0.090108
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	152563001	153093000	485	0.112129
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	153093001	158416000	5287	0.088278
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	158416001	161571000	3102	0.098540
TCGA-AC-A5EH-01A-11D-A89D-36	chr1	161571001	161649000	47	1.184664
