GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-LG-A6GG-01A-11D-A919-36	chr1	17001	889000	116	-0.075207
TCGA-LG-A6GG-01A-11D-A919-36	chr1	889001	1680000	756	-0.062691
TCGA-LG-A6GG-01A-11D-A919-36	chr1	1680001	1959000	248	-0.073272
TCGA-LG-A6GG-01A-11D-A919-36	chr1	1959001	2212000	251	-0.064810
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2212001	2473000	258	-0.037532
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2473001	2539000	66	-0.059010
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2539001	2560000	21	-0.112501
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2560001	2844000	170	-0.089398
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2844001	2963000	117	-0.062859
TCGA-LG-A6GG-01A-11D-A919-36	chr1	2963001	3058000	93	-0.072047
TCGA-LG-A6GG-01A-11D-A919-36	chr1	3058001	3142000	84	-0.063809
TCGA-LG-A6GG-01A-11D-A919-36	chr1	3142001	3201000	58	-0.055127
TCGA-LG-A6GG-01A-11D-A919-36	chr1	3201001	3281000	80	-0.050107
TCGA-LG-A6GG-01A-11D-A919-36	chr1	3281001	3310000	28	-0.023590
TCGA-LG-A6GG-01A-11D-A919-36	chr1	3310001	4236000	913	-0.072052
TCGA-LG-A6GG-01A-11D-A919-36	chr1	4236001	4281000	45	-0.071410
TCGA-LG-A6GG-01A-11D-A919-36	chr1	4281001	4308000	27	-0.106831
TCGA-LG-A6GG-01A-11D-A919-36	chr1	4308001	4427000	118	-0.066538
TCGA-LG-A6GG-01A-11D-A919-36	chr1	4427001	5116000	688	-0.076973
TCGA-LG-A6GG-01A-11D-A919-36	chr1	5116001	5169000	53	-0.087411
TCGA-LG-A6GG-01A-11D-A919-36	chr1	5169001	5669000	499	-0.077968
TCGA-LG-A6GG-01A-11D-A919-36	chr1	5669001	5710000	41	-0.091706
TCGA-LG-A6GG-01A-11D-A919-36	chr1	5710001	6125000	413	-0.061424
TCGA-LG-A6GG-01A-11D-A919-36	chr1	6125001	6197000	72	-0.071234
TCGA-LG-A6GG-01A-11D-A919-36	chr1	6197001	6517000	320	-0.049234
TCGA-LG-A6GG-01A-11D-A919-36	chr1	6517001	7355000	837	-0.074762
TCGA-LG-A6GG-01A-11D-A919-36	chr1	7355001	7425000	70	-0.085046
TCGA-LG-A6GG-01A-11D-A919-36	chr1	7425001	7557000	132	-0.082582
TCGA-LG-A6GG-01A-11D-A919-36	chr1	7557001	7662000	105	-0.060449
TCGA-LG-A6GG-01A-11D-A919-36	chr1	7662001	7989000	326	-0.066977
TCGA-LG-A6GG-01A-11D-A919-36	chr1	7989001	8169000	180	-0.102776
TCGA-LG-A6GG-01A-11D-A919-36	chr1	8169001	8299000	130	-0.891810
TCGA-LG-A6GG-01A-11D-A919-36	chr1	8299001	8979000	678	-0.068151
TCGA-LG-A6GG-01A-11D-A919-36	chr1	8979001	9009000	30	-0.061355
TCGA-LG-A6GG-01A-11D-A919-36	chr1	9009001	12645000	3632	-0.063331
TCGA-LG-A6GG-01A-11D-A919-36	chr1	12645001	12719000	74	-0.071409
TCGA-LG-A6GG-01A-11D-A919-36	chr1	12719001	12863000	141	-0.066500
TCGA-LG-A6GG-01A-11D-A919-36	chr1	12863001	12887000	12	0.075846
TCGA-LG-A6GG-01A-11D-A919-36	chr1	12888001	13375000	102	-0.054758
TCGA-LG-A6GG-01A-11D-A919-36	chr1	13375001	13766000	391	-0.883054
TCGA-LG-A6GG-01A-11D-A919-36	chr1	13766001	14114000	347	-0.084343
TCGA-LG-A6GG-01A-11D-A919-36	chr1	14114001	14142000	28	-0.082191
TCGA-LG-A6GG-01A-11D-A919-36	chr1	14142001	14181000	39	-0.082593
TCGA-LG-A6GG-01A-11D-A919-36	chr1	14181001	14263000	81	-0.073724
TCGA-LG-A6GG-01A-11D-A919-36	chr1	14263001	15096000	832	-0.068119
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15096001	15277000	180	-0.046163
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15277001	15358000	81	-0.065849
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15358001	15403000	45	-0.088387
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15403001	15481000	78	-0.051625
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15481001	15556000	75	-0.044588
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15556001	15581000	25	-0.082670
TCGA-LG-A6GG-01A-11D-A919-36	chr1	15581001	16127000	542	-0.058537
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16127001	16160000	33	-0.048290
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16160001	16188000	28	-0.066744
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16188001	16444000	256	-0.057106
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16444001	16653000	175	-0.087493
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16653001	16979000	184	-0.005012
TCGA-LG-A6GG-01A-11D-A919-36	chr1	16979001	17335000	356	-0.064349
TCGA-LG-A6GG-01A-11D-A919-36	chr1	17335001	17506000	170	-0.045464
TCGA-LG-A6GG-01A-11D-A919-36	chr1	17506001	17719000	213	-0.070328
TCGA-LG-A6GG-01A-11D-A919-36	chr1	17719001	17861000	142	-0.041022
TCGA-LG-A6GG-01A-11D-A919-36	chr1	17861001	18952000	1090	-0.064298
TCGA-LG-A6GG-01A-11D-A919-36	chr1	18952001	19209000	257	0.445671
TCGA-LG-A6GG-01A-11D-A919-36	chr1	19209001	20494000	1285	-0.067993
TCGA-LG-A6GG-01A-11D-A919-36	chr1	20494001	20556000	62	-0.054722
TCGA-LG-A6GG-01A-11D-A919-36	chr1	20556001	21268000	707	-0.073459
TCGA-LG-A6GG-01A-11D-A919-36	chr1	21268001	22161000	876	-0.053412
TCGA-LG-A6GG-01A-11D-A919-36	chr1	22161001	22208000	47	-0.078919
TCGA-LG-A6GG-01A-11D-A919-36	chr1	22208001	22803000	595	-0.070015
TCGA-LG-A6GG-01A-11D-A919-36	chr1	22803001	22882000	79	-0.064741
TCGA-LG-A6GG-01A-11D-A919-36	chr1	22882001	23732000	850	-0.065230
TCGA-LG-A6GG-01A-11D-A919-36	chr1	23732001	23869000	136	-0.074416
TCGA-LG-A6GG-01A-11D-A919-36	chr1	23869001	24200000	329	-0.063329
TCGA-LG-A6GG-01A-11D-A919-36	chr1	24200001	24254000	54	-0.057998
