GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-QU-A6IN-01A-11D-A750-36	chr1	17001	16039000	14640	0.001810
TCGA-QU-A6IN-01A-11D-A750-36	chr1	16039001	16062000	23	0.569932
TCGA-QU-A6IN-01A-11D-A750-36	chr1	16062001	16603000	508	-0.009519
TCGA-QU-A6IN-01A-11D-A750-36	chr1	16604001	16675000	51	-0.333730
TCGA-QU-A6IN-01A-11D-A750-36	chr1	16675001	16949000	154	0.160339
TCGA-QU-A6IN-01A-11D-A750-36	chr1	16949001	45551000	28378	0.004871
TCGA-QU-A6IN-01A-11D-A750-36	chr1	45551001	46016000	462	-0.754106
TCGA-QU-A6IN-01A-11D-A750-36	chr1	46016001	46468000	450	-0.755574
TCGA-QU-A6IN-01A-11D-A750-36	chr1	46468001	111332000	64006	0.007610
TCGA-QU-A6IN-01A-11D-A750-36	chr1	111332001	112376000	1026	-0.743012
TCGA-QU-A6IN-01A-11D-A750-36	chr1	112376001	113857000	1463	-0.766808
TCGA-QU-A6IN-01A-11D-A750-36	chr1	113857001	114345000	488	0.008626
TCGA-QU-A6IN-01A-11D-A750-36	chr1	114345001	115479000	1131	-0.758211
TCGA-QU-A6IN-01A-11D-A750-36	chr1	115479001	115662000	181	-0.744557
TCGA-QU-A6IN-01A-11D-A750-36	chr1	115662001	115729000	67	-0.752709
TCGA-QU-A6IN-01A-11D-A750-36	chr1	115729001	117548000	1812	0.013410
TCGA-QU-A6IN-01A-11D-A750-36	chr1	117548001	117585000	37	-0.749414
TCGA-QU-A6IN-01A-11D-A750-36	chr1	117585001	117735000	150	-0.749282
TCGA-QU-A6IN-01A-11D-A750-36	chr1	117735001	117806000	71	-0.762038
TCGA-QU-A6IN-01A-11D-A750-36	chr1	117806001	117812000	6	-0.732277
TCGA-QU-A6IN-01A-11D-A750-36	chr1	117812001	119272000	1452	-0.751378
TCGA-QU-A6IN-01A-11D-A750-36	chr1	119272001	124553000	1361	0.018017
TCGA-QU-A6IN-01A-11D-A750-36	chr1	124555001	124591000	8	0.611246
TCGA-QU-A6IN-01A-11D-A750-36	chr1	124591001	248435000	100005	0.007436
TCGA-QU-A6IN-01A-11D-A750-36	chr1	248436001	248486000	33	0.404831
TCGA-QU-A6IN-01A-11D-A750-36	chr1	248495001	248522000	5	-29.870977
TCGA-QU-A6IN-01A-11D-A750-36	chr1	248522001	248635000	73	-0.835306
TCGA-QU-A6IN-01A-11D-A750-36	chr1	248645001	248931000	270	-0.011164
TCGA-QU-A6IN-01A-11D-A750-36	chr2	11001	97208000	91202	0.005474
TCGA-QU-A6IN-01A-11D-A750-36	chr2	97208001	97210000	2	-29.814905
TCGA-QU-A6IN-01A-11D-A750-36	chr2	97210001	242159000	141692	0.004974
TCGA-QU-A6IN-01A-11D-A750-36	chr3	12001	11066000	10981	0.006824
TCGA-QU-A6IN-01A-11D-A750-36	chr3	11066001	11073000	7	-29.861275
TCGA-QU-A6IN-01A-11D-A750-36	chr3	11073001	90830000	79183	0.005879
TCGA-QU-A6IN-01A-11D-A750-36	chr3	90836001	90919000	12	-0.750268
TCGA-QU-A6IN-01A-11D-A750-36	chr3	90940001	119008000	25375	0.009143
TCGA-QU-A6IN-01A-11D-A750-36	chr3	119008001	119018000	10	0.631683
TCGA-QU-A6IN-01A-11D-A750-36	chr3	119018001	119104000	86	0.864871
TCGA-QU-A6IN-01A-11D-A750-36	chr3	119104001	176169000	56543	0.005571
TCGA-QU-A6IN-01A-11D-A750-36	chr3	176169001	176197000	27	-0.959475
TCGA-QU-A6IN-01A-11D-A750-36	chr3	176197001	193679000	17358	0.007484
TCGA-QU-A6IN-01A-11D-A750-36	chr3	193679001	193728000	49	-0.746705
TCGA-QU-A6IN-01A-11D-A750-36	chr3	193728001	193767000	39	-0.755730
TCGA-QU-A6IN-01A-11D-A750-36	chr3	193767001	193987000	219	-0.769818
TCGA-QU-A6IN-01A-11D-A750-36	chr3	193987001	198175000	4040	0.002020
TCGA-QU-A6IN-01A-11D-A750-36	chr4	15001	49092000	48388	0.006986
TCGA-QU-A6IN-01A-11D-A750-36	chr4	49092001	49658000	296	0.012594
TCGA-QU-A6IN-01A-11D-A750-36	chr4	49709001	69258000	17118	0.007193
TCGA-QU-A6IN-01A-11D-A750-36	chr4	69260001	69367000	104	-0.753113
TCGA-QU-A6IN-01A-11D-A750-36	chr4	69367001	190204000	119673	0.006837
