GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7571ac37-4639-40f6-9474-f0c4017fe535	1	62920	25256850	13978	0.0058
7571ac37-4639-40f6-9474-f0c4017fe535	1	25266637	25319167	20	-1.8861
7571ac37-4639-40f6-9474-f0c4017fe535	1	25319693	30268649	2396	0.0084
7571ac37-4639-40f6-9474-f0c4017fe535	1	30268809	30272363	3	-1.7604
7571ac37-4639-40f6-9474-f0c4017fe535	1	30274729	78323769	30088	0.0051
7571ac37-4639-40f6-9474-f0c4017fe535	1	78323890	78329348	3	-1.4791
7571ac37-4639-40f6-9474-f0c4017fe535	1	78333055	105476583	17140	0.0027
7571ac37-4639-40f6-9474-f0c4017fe535	1	105476614	105479753	16	-2.1754
7571ac37-4639-40f6-9474-f0c4017fe535	1	105481433	110833459	3478	0.0059
7571ac37-4639-40f6-9474-f0c4017fe535	1	110833598	110841332	37	-0.6619
7571ac37-4639-40f6-9474-f0c4017fe535	1	110841350	152583230	8684	0.0092
7571ac37-4639-40f6-9474-f0c4017fe535	1	152583291	152613762	30	-2.0676
7571ac37-4639-40f6-9474-f0c4017fe535	1	152613802	152789447	172	-0.0114
7571ac37-4639-40f6-9474-f0c4017fe535	1	152789463	152795883	34	0.4198
7571ac37-4639-40f6-9474-f0c4017fe535	1	152796094	246109843	63542	0.0039
7571ac37-4639-40f6-9474-f0c4017fe535	1	246109865	246110213	2	-1.7698
7571ac37-4639-40f6-9474-f0c4017fe535	1	246110241	248546369	1486	0.0266
7571ac37-4639-40f6-9474-f0c4017fe535	1	248550567	248645563	36	-0.6477
7571ac37-4639-40f6-9474-f0c4017fe535	1	248645808	248930189	137	0.052
7571ac37-4639-40f6-9474-f0c4017fe535	2	12784	20617733	15518	0.0083
7571ac37-4639-40f6-9474-f0c4017fe535	2	20617913	20618052	3	-1.6864
7571ac37-4639-40f6-9474-f0c4017fe535	2	20623459	28873941	4606	-0.0056
7571ac37-4639-40f6-9474-f0c4017fe535	2	28874771	28878353	6	-1.2784
7571ac37-4639-40f6-9474-f0c4017fe535	2	28880941	34466002	3895	0.0014
7571ac37-4639-40f6-9474-f0c4017fe535	2	34474248	34512096	47	-2.0157
7571ac37-4639-40f6-9474-f0c4017fe535	2	34512489	52527330	12975	0.0137
7571ac37-4639-40f6-9474-f0c4017fe535	2	52527342	52554404	39	0.703
7571ac37-4639-40f6-9474-f0c4017fe535	2	52560811	87117615	21964	0.0088
7571ac37-4639-40f6-9474-f0c4017fe535	2	87134049	87674944	113	0.3928
7571ac37-4639-40f6-9474-f0c4017fe535	2	87695122	97535071	1734	-0.0198
7571ac37-4639-40f6-9474-f0c4017fe535	2	97537802	97545726	5	-1.5773
7571ac37-4639-40f6-9474-f0c4017fe535	2	97550415	105525905	4920	0.0096
7571ac37-4639-40f6-9474-f0c4017fe535	2	105529918	105535647	2	-2.0315
7571ac37-4639-40f6-9474-f0c4017fe535	2	105535795	106263639	638	0.0087
7571ac37-4639-40f6-9474-f0c4017fe535	2	106264257	106270799	12	-1.8976
7571ac37-4639-40f6-9474-f0c4017fe535	2	106270952	107824280	990	0.0177
7571ac37-4639-40f6-9474-f0c4017fe535	2	107830513	107864451	2	1.6673
7571ac37-4639-40f6-9474-f0c4017fe535	2	107875632	113604438	2783	0.0034
7571ac37-4639-40f6-9474-f0c4017fe535	2	113604837	113623244	3	-2.2942
7571ac37-4639-40f6-9474-f0c4017fe535	2	113625975	127084661	8547	0.0116
7571ac37-4639-40f6-9474-f0c4017fe535	2	127084748	127100370	12	-0.6044
7571ac37-4639-40f6-9474-f0c4017fe535	2	127101070	130036283	1909	-0.0102
7571ac37-4639-40f6-9474-f0c4017fe535	2	130036310	130116915	13	-0.7982
7571ac37-4639-40f6-9474-f0c4017fe535	2	130117303	152939554	13724	0.0024
7571ac37-4639-40f6-9474-f0c4017fe535	2	152940256	152940270	2	-2.0766
7571ac37-4639-40f6-9474-f0c4017fe535	2	152944055	183220725	18590	0.0015
7571ac37-4639-40f6-9474-f0c4017fe535	2	183221060	183224996	9	-1.1122
7571ac37-4639-40f6-9474-f0c4017fe535	2	183229270	191411466	4694	0.0079
7571ac37-4639-40f6-9474-f0c4017fe535	2	191412645	191414330	4	-1.7304
7571ac37-4639-40f6-9474-f0c4017fe535	2	191414819	203032174	6492	0.0066
7571ac37-4639-40f6-9474-f0c4017fe535	2	203035077	203037323	3	-2.1525
7571ac37-4639-40f6-9474-f0c4017fe535	2	203039417	225209850	14397	0.006
7571ac37-4639-40f6-9474-f0c4017fe535	2	225210214	225210842	2	-2.4153
7571ac37-4639-40f6-9474-f0c4017fe535	2	225212063	242147305	10540	0.0007
7571ac37-4639-40f6-9474-f0c4017fe535	3	20930	23937812	17824	0.0161
7571ac37-4639-40f6-9474-f0c4017fe535	3	23939938	23940837	2	-3.6774
7571ac37-4639-40f6-9474-f0c4017fe535	3	23940839	52989195	17806	-0.001
7571ac37-4639-40f6-9474-f0c4017fe535	3	52994359	53005100	37	-0.5517
7571ac37-4639-40f6-9474-f0c4017fe535	3	53005201	59733232	4539	-0.0107
7571ac37-4639-40f6-9474-f0c4017fe535	3	59733446	60634880	1069	0.0938
7571ac37-4639-40f6-9474-f0c4017fe535	3	60635351	68697013	6396	-0.0037
7571ac37-4639-40f6-9474-f0c4017fe535	3	68697108	68698262	14	0.9889
7571ac37-4639-40f6-9474-f0c4017fe535	3	68699607	89345442	12611	0.0027
7571ac37-4639-40f6-9474-f0c4017fe535	3	89345459	89370231	50	-0.7778
7571ac37-4639-40f6-9474-f0c4017fe535	3	89370771	107314617	8026	0.0054
7571ac37-4639-40f6-9474-f0c4017fe535	3	107316951	107317337	2	-3.5412
7571ac37-4639-40f6-9474-f0c4017fe535	3	107320614	149245160	25826	0.0025
7571ac37-4639-40f6-9474-f0c4017fe535	3	149245176	149250334	26	-0.7133
7571ac37-4639-40f6-9474-f0c4017fe535	3	149253293	162794951	8323	0.004
7571ac37-4639-40f6-9474-f0c4017fe535	3	162795304	162898127	62	0.6198
7571ac37-4639-40f6-9474-f0c4017fe535	3	162906054	162996729	78	-0.0181
7571ac37-4639-40f6-9474-f0c4017fe535	3	162999939	163001774	2	-2.7395
7571ac37-4639-40f6-9474-f0c4017fe535	3	163008371	175499151	7687	0.0162
7571ac37-4639-40f6-9474-f0c4017fe535	3	175500784	175502132	2	-2.1858
7571ac37-4639-40f6-9474-f0c4017fe535	3	175504311	193160113	11359	0.0085
7571ac37-4639-40f6-9474-f0c4017fe535	3	193160173	193165114	19	-1.3995
7571ac37-4639-40f6-9474-f0c4017fe535	3	193168646	195685341	1485	0.0077
7571ac37-4639-40f6-9474-f0c4017fe535	3	195691392	195720051	20	-0.7382
7571ac37-4639-40f6-9474-f0c4017fe535	3	195728637	195747892	19	-0.3335
7571ac37-4639-40f6-9474-f0c4017fe535	3	195751823	195934679	80	0.0837
7571ac37-4639-40f6-9474-f0c4017fe535	3	195963975	195991894	6	-1.6015
7571ac37-4639-40f6-9474-f0c4017fe535	3	195998433	198169247	1079	0.0093
7571ac37-4639-40f6-9474-f0c4017fe535	4	68929	3926172	1576	0.0166
7571ac37-4639-40f6-9474-f0c4017fe535	4	3939505	4024468	15	-0.6553
7571ac37-4639-40f6-9474-f0c4017fe535	4	4024541	10227668	4110	-0.0055
7571ac37-4639-40f6-9474-f0c4017fe535	4	10227684	10232984	18	-1.1053
7571ac37-4639-40f6-9474-f0c4017fe535	4	10233383	34793850	16958	0.0089
7571ac37-4639-40f6-9474-f0c4017fe535	4	34794477	34823103	28	0.4584
7571ac37-4639-40f6-9474-f0c4017fe535	4	34828250	54635561	10793	0.0042
7571ac37-4639-40f6-9474-f0c4017fe535	4	54635754	54639193	2	-2.3816
7571ac37-4639-40f6-9474-f0c4017fe535	4	54639766	68352050	8604	0.0059
7571ac37-4639-40f6-9474-f0c4017fe535	4	68352181	68655691	97	-0.2432
7571ac37-4639-40f6-9474-f0c4017fe535	4	68663241	103824414	21354	0.0051
7571ac37-4639-40f6-9474-f0c4017fe535	4	103830473	103830480	5	-1.2899
