GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-E9-A1R0-01A-22D-A898-36	chr1	17001	16576000	15151	-0.000807
TCGA-E9-A1R0-01A-22D-A898-36	chr1	16576001	16646000	62	-0.394963
TCGA-E9-A1R0-01A-22D-A898-36	chr1	16646001	16949000	163	-0.078170
TCGA-E9-A1R0-01A-22D-A898-36	chr1	16949001	122914000	102335	0.009846
TCGA-E9-A1R0-01A-22D-A898-36	chr1	122922001	122923000	1	-7.092354
TCGA-E9-A1R0-01A-22D-A898-36	chr1	122925001	122937000	4	0.641428
TCGA-E9-A1R0-01A-22D-A898-36	chr1	122948001	122949000	1	-4.568584
TCGA-E9-A1R0-01A-22D-A898-36	chr1	122998001	123526000	59	0.016369
TCGA-E9-A1R0-01A-22D-A898-36	chr1	123527001	123556000	9	-1.292350
TCGA-E9-A1R0-01A-22D-A898-36	chr1	123556001	124582000	138	-0.237686
TCGA-E9-A1R0-01A-22D-A898-36	chr1	124583001	143311000	378	-0.000311
TCGA-E9-A1R0-01A-22D-A898-36	chr1	143311001	143936000	246	-0.817765
TCGA-E9-A1R0-01A-22D-A898-36	chr1	143937001	161565000	13703	0.011765
TCGA-E9-A1R0-01A-22D-A898-36	chr1	161565001	161646000	49	-0.915024
TCGA-E9-A1R0-01A-22D-A898-36	chr1	161646001	229994000	67365	0.011804
TCGA-E9-A1R0-01A-22D-A898-36	chr1	229994001	229999000	5	-0.109225
TCGA-E9-A1R0-01A-22D-A898-36	chr1	229999001	248440000	18264	0.002403
TCGA-E9-A1R0-01A-22D-A898-36	chr1	248440001	248529000	42	0.369090
TCGA-E9-A1R0-01A-22D-A898-36	chr1	248552001	248646000	67	-0.863466
TCGA-E9-A1R0-01A-22D-A898-36	chr1	248649001	248931000	269	0.009627
TCGA-E9-A1R0-01A-22D-A898-36	chr2	11001	113488000	105736	-0.000555
TCGA-E9-A1R0-01A-22D-A898-36	chr2	113488001	113507000	9	-2.265238
TCGA-E9-A1R0-01A-22D-A898-36	chr2	113507001	196243000	81595	0.003335
TCGA-E9-A1R0-01A-22D-A898-36	chr2	196243001	214770000	18412	-0.124677
TCGA-E9-A1R0-01A-22D-A898-36	chr2	214770001	241911000	26938	-0.006714
TCGA-E9-A1R0-01A-22D-A898-36	chr2	241911001	242093000	169	-1.002065
TCGA-E9-A1R0-01A-22D-A898-36	chr2	242093001	242159000	37	0.013180
TCGA-E9-A1R0-01A-22D-A898-36	chr3	12001	198175000	193929	0.010412
TCGA-E9-A1R0-01A-22D-A898-36	chr4	15001	9103000	8905	-0.007603
TCGA-E9-A1R0-01A-22D-A898-36	chr4	9103001	9125000	22	-0.968554
TCGA-E9-A1R0-01A-22D-A898-36	chr4	9125001	49098000	39466	0.011369
TCGA-E9-A1R0-01A-22D-A898-36	chr4	49098001	49324000	161	0.006348
TCGA-E9-A1R0-01A-22D-A898-36	chr4	49487001	49640000	112	-0.752112
TCGA-E9-A1R0-01A-22D-A898-36	chr4	49640001	49656000	16	-1.944612
TCGA-E9-A1R0-01A-22D-A898-36	chr4	49656001	190204000	136897	0.014277
TCGA-E9-A1R0-01A-22D-A898-36	chr5	13001	687000	632	-0.008635
TCGA-E9-A1R0-01A-22D-A898-36	chr5	692001	779000	63	0.841268
TCGA-E9-A1R0-01A-22D-A898-36	chr5	780001	47112000	45177	0.006390
TCGA-E9-A1R0-01A-22D-A898-36	chr5	47114001	49647000	19	-0.927631
TCGA-E9-A1R0-01A-22D-A898-36	chr5	49656001	181474000	128051	0.010684
TCGA-E9-A1R0-01A-22D-A898-36	chr6	148001	258000	110	-0.013872
TCGA-E9-A1R0-01A-22D-A898-36	chr6	258001	382000	124	0.197542
TCGA-E9-A1R0-01A-22D-A898-36	chr6	382001	11429000	10973	0.000993
TCGA-E9-A1R0-01A-22D-A898-36	chr6	11429001	12028000	599	-0.414945
TCGA-E9-A1R0-01A-22D-A898-36	chr6	12028001	26837000	14606	0.005186
TCGA-E9-A1R0-01A-22D-A898-36	chr6	26837001	26930000	82	0.067238
TCGA-E9-A1R0-01A-22D-A898-36	chr6	26930001	32486000	5455	0.009221
TCGA-E9-A1R0-01A-22D-A898-36	chr6	32487001	32534000	8	-0.240345
TCGA-E9-A1R0-01A-22D-A898-36	chr6	32534001	49220000	16580	0.007456
TCGA-E9-A1R0-01A-22D-A898-36	chr6	49220001	49808000	586	-0.411957
TCGA-E9-A1R0-01A-22D-A898-36	chr6	49808001	49918000	109	-0.417100
TCGA-E9-A1R0-01A-22D-A898-36	chr6	49918001	50274000	356	-0.411439
TCGA-E9-A1R0-01A-22D-A898-36	chr6	50274001	58450000	8109	0.017286
TCGA-E9-A1R0-01A-22D-A898-36	chr6	60230001	60344000	111	-0.386969
TCGA-E9-A1R0-01A-22D-A898-36	chr6	60344001	60383000	39	-0.385630
TCGA-E9-A1R0-01A-22D-A898-36	chr6	60383001	61186000	786	0.033515
TCGA-E9-A1R0-01A-22D-A898-36	chr6	61186001	63288000	1990	-0.405897
TCGA-E9-A1R0-01A-22D-A898-36	chr6	63288001	65951000	2646	-0.406584
TCGA-E9-A1R0-01A-22D-A898-36	chr6	65951001	66073000	121	-0.403417
TCGA-E9-A1R0-01A-22D-A898-36	chr6	66073001	68585000	2504	-0.403132
TCGA-E9-A1R0-01A-22D-A898-36	chr6	68585001	68814000	229	-0.417931
TCGA-E9-A1R0-01A-22D-A898-36	chr6	68814001	71408000	2574	-0.414676
TCGA-E9-A1R0-01A-22D-A898-36	chr6	71408001	71732000	324	-0.423038
TCGA-E9-A1R0-01A-22D-A898-36	chr6	71732001	73240000	1487	-0.414187
TCGA-E9-A1R0-01A-22D-A898-36	chr6	73240001	73893000	640	-0.440930
TCGA-E9-A1R0-01A-22D-A898-36	chr6	73893001	76563000	2647	-0.410091
TCGA-E9-A1R0-01A-22D-A898-36	chr6	76563001	78258000	1659	-0.404707
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78258001	78266000	8	-29.795792
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78266001	78267000	1	-8.704693
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78267001	78299000	32	-29.789534
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78299001	78302000	3	-8.104716
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78302001	78316000	14	-29.789353
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78316001	78318000	2	-8.086917
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78318001	78324000	6	-29.794155
TCGA-E9-A1R0-01A-22D-A898-36	chr6	78324001	78326000	2	-8.977486
