GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
51d54603-2a10-4244-be7b-427a72ca6bb0	1	62920	86341	11	-0.3763
51d54603-2a10-4244-be7b-427a72ca6bb0	1	98588	16721984	8674	0.0059
51d54603-2a10-4244-be7b-427a72ca6bb0	1	16766762	16863509	15	-0.3894
51d54603-2a10-4244-be7b-427a72ca6bb0	1	16864367	16935752	54	0.3703
51d54603-2a10-4244-be7b-427a72ca6bb0	1	16949746	25273814	5268	0.0061
51d54603-2a10-4244-be7b-427a72ca6bb0	1	25273831	25320253	18	-0.4321
51d54603-2a10-4244-be7b-427a72ca6bb0	1	25320455	61647091	21432	-0.0008
51d54603-2a10-4244-be7b-427a72ca6bb0	1	61647430	61654892	8	-0.6312
51d54603-2a10-4244-be7b-427a72ca6bb0	1	61654909	72284670	7275	-0.0024
51d54603-2a10-4244-be7b-427a72ca6bb0	1	72290430	72297687	9	-0.8291
51d54603-2a10-4244-be7b-427a72ca6bb0	1	72302735	72345465	48	1.0663
51d54603-2a10-4244-be7b-427a72ca6bb0	1	72346221	105470754	20945	-0.0065
51d54603-2a10-4244-be7b-427a72ca6bb0	1	105476583	105481468	20	-0.4292
51d54603-2a10-4244-be7b-427a72ca6bb0	1	105481515	112147704	4593	-0.0021
51d54603-2a10-4244-be7b-427a72ca6bb0	1	112153343	112163440	28	-0.3281
51d54603-2a10-4244-be7b-427a72ca6bb0	1	112163460	121593930	5151	-0.0085
51d54603-2a10-4244-be7b-427a72ca6bb0	1	121597150	145707383	162	0.1219
51d54603-2a10-4244-be7b-427a72ca6bb0	1	145708339	152583230	2284	0.0073
51d54603-2a10-4244-be7b-427a72ca6bb0	1	152583291	152613762	30	-1.6136
51d54603-2a10-4244-be7b-427a72ca6bb0	1	152613802	152787202	169	-0.0115
51d54603-2a10-4244-be7b-427a72ca6bb0	1	152789447	152796224	37	-1.3761
51d54603-2a10-4244-be7b-427a72ca6bb0	1	152801429	189679027	24718	-0.0005
51d54603-2a10-4244-be7b-427a72ca6bb0	1	189679353	189679397	2	-1.6809
51d54603-2a10-4244-be7b-427a72ca6bb0	1	189682917	193708839	2752	0.0046
51d54603-2a10-4244-be7b-427a72ca6bb0	1	193709004	193709668	3	-0.996
51d54603-2a10-4244-be7b-427a72ca6bb0	1	193710840	193861214	115	-0.0085
51d54603-2a10-4244-be7b-427a72ca6bb0	1	193862831	193863414	2	-1.0285
51d54603-2a10-4244-be7b-427a72ca6bb0	1	193864483	195726758	1176	0.0005
51d54603-2a10-4244-be7b-427a72ca6bb0	1	195727623	195727634	2	-1.187
51d54603-2a10-4244-be7b-427a72ca6bb0	1	195730709	196761905	687	0.0104
51d54603-2a10-4244-be7b-427a72ca6bb0	1	196762480	196762956	2	-1.3863
51d54603-2a10-4244-be7b-427a72ca6bb0	1	196769493	196846661	57	0.5738
51d54603-2a10-4244-be7b-427a72ca6bb0	1	196847600	199142235	1373	0.0132
51d54603-2a10-4244-be7b-427a72ca6bb0	1	199142298	199144712	8	-0.6092
51d54603-2a10-4244-be7b-427a72ca6bb0	1	199145110	240230715	28558	0.0095
51d54603-2a10-4244-be7b-427a72ca6bb0	1	240230732	240230839	5	-0.7353
51d54603-2a10-4244-be7b-427a72ca6bb0	1	240232805	248930189	5855	0.0171
51d54603-2a10-4244-be7b-427a72ca6bb0	2	12784	3680971	2567	-0.0049
51d54603-2a10-4244-be7b-427a72ca6bb0	2	3684956	3688948	5	-0.9943
51d54603-2a10-4244-be7b-427a72ca6bb0	2	3694481	34466002	21515	0.0055
51d54603-2a10-4244-be7b-427a72ca6bb0	2	34474248	34511990	46	0.4838
51d54603-2a10-4244-be7b-427a72ca6bb0	2	34512096	44880482	7563	0.0062
51d54603-2a10-4244-be7b-427a72ca6bb0	2	44880679	52531652	5445	-0.0011
51d54603-2a10-4244-be7b-427a72ca6bb0	2	52531677	52554404	30	-0.4358
51d54603-2a10-4244-be7b-427a72ca6bb0	2	52560811	76325754	15317	-0.0001
51d54603-2a10-4244-be7b-427a72ca6bb0	2	76327650	76328292	4	-0.9001
51d54603-2a10-4244-be7b-427a72ca6bb0	2	76328769	79102020	1865	-0.0117
51d54603-2a10-4244-be7b-427a72ca6bb0	2	79103652	79114973	7	0.844
51d54603-2a10-4244-be7b-427a72ca6bb0	2	79115685	86901078	4780	-0.0005
51d54603-2a10-4244-be7b-427a72ca6bb0	2	86902080	87221597	46	0.2698
51d54603-2a10-4244-be7b-427a72ca6bb0	2	87223346	97359885	1821	0.0047
51d54603-2a10-4244-be7b-427a72ca6bb0	2	97524284	97563117	17	0.5099
51d54603-2a10-4244-be7b-427a72ca6bb0	2	97570839	128880504	18958	-0.0084
51d54603-2a10-4244-be7b-427a72ca6bb0	2	128880904	128881662	13	-0.7339
51d54603-2a10-4244-be7b-427a72ca6bb0	2	128882723	168976800	24233	-0.0035
51d54603-2a10-4244-be7b-427a72ca6bb0	2	168977266	204956370	21476	0.0111
