GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6fbdec0c-7582-455d-a0a9-928410438cde	1	62920	2138242	365	-0.0075
6fbdec0c-7582-455d-a0a9-928410438cde	1	2140299	2873341	186	-0.1892
6fbdec0c-7582-455d-a0a9-928410438cde	1	2876236	2892925	3	-1.9886
6fbdec0c-7582-455d-a0a9-928410438cde	1	2896346	3301765	182	-0.2676
6fbdec0c-7582-455d-a0a9-928410438cde	1	3302046	10610834	4618	-0.0441
6fbdec0c-7582-455d-a0a9-928410438cde	1	10611363	10619664	3	-2.5128
6fbdec0c-7582-455d-a0a9-928410438cde	1	10621749	15827002	2980	-0.0401
6fbdec0c-7582-455d-a0a9-928410438cde	1	15827041	15827430	5	1.202
6fbdec0c-7582-455d-a0a9-928410438cde	1	15827706	15844541	10	0.4715
6fbdec0c-7582-455d-a0a9-928410438cde	1	15850269	16018169	76	0.0391
6fbdec0c-7582-455d-a0a9-928410438cde	1	16018332	16052921	9	-0.4587
6fbdec0c-7582-455d-a0a9-928410438cde	1	16063071	16605031	213	0.015
6fbdec0c-7582-455d-a0a9-928410438cde	1	16609512	16643683	20	0.4651
6fbdec0c-7582-455d-a0a9-928410438cde	1	16643816	16864367	32	-0.0275
6fbdec0c-7582-455d-a0a9-928410438cde	1	16868660	16935752	53	-0.5501
6fbdec0c-7582-455d-a0a9-928410438cde	1	16949746	21295676	2934	-0.0217
6fbdec0c-7582-455d-a0a9-928410438cde	1	21298294	21307474	3	-1.1528
6fbdec0c-7582-455d-a0a9-928410438cde	1	21310303	25256800	2327	-0.0036
6fbdec0c-7582-455d-a0a9-928410438cde	1	25256850	25336819	26	0.6453
6fbdec0c-7582-455d-a0a9-928410438cde	1	25336853	38117186	6787	-0.0378
6fbdec0c-7582-455d-a0a9-928410438cde	1	38118360	38119209	2	-2.4182
6fbdec0c-7582-455d-a0a9-928410438cde	1	38121474	45909024	4439	-0.0197
6fbdec0c-7582-455d-a0a9-928410438cde	1	45910272	46221377	147	0.1401
6fbdec0c-7582-455d-a0a9-928410438cde	1	46224659	57187484	6700	-0.008
6fbdec0c-7582-455d-a0a9-928410438cde	1	57188224	57194802	7	-0.8019
6fbdec0c-7582-455d-a0a9-928410438cde	1	57195149	72353096	10716	-0.0028
6fbdec0c-7582-455d-a0a9-928410438cde	1	72353207	72362295	7	-0.7792
6fbdec0c-7582-455d-a0a9-928410438cde	1	72362629	75585159	1919	-0.0183
6fbdec0c-7582-455d-a0a9-928410438cde	1	75589078	75589169	2	-3.1743
6fbdec0c-7582-455d-a0a9-928410438cde	1	75593824	103614714	18101	-0.006
