GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
40ddb701-4fac-415f-b0ab-ade8bb106435	1	62920	25256138	14020	0.0025
40ddb701-4fac-415f-b0ab-ade8bb106435	1	25256188	25320455	28	0.3863
40ddb701-4fac-415f-b0ab-ade8bb106435	1	25336819	34626037	4952	0.0077
40ddb701-4fac-415f-b0ab-ade8bb106435	1	34626073	34648667	22	-0.4865
40ddb701-4fac-415f-b0ab-ade8bb106435	1	34649941	72302815	23770	0.0018
40ddb701-4fac-415f-b0ab-ade8bb106435	1	72303233	72345465	46	0.9623
40ddb701-4fac-415f-b0ab-ade8bb106435	1	72346221	103613180	20028	0.0018
40ddb701-4fac-415f-b0ab-ade8bb106435	1	103614539	103620877	7	-0.8249
40ddb701-4fac-415f-b0ab-ade8bb106435	1	103621165	105470754	923	0.0145
40ddb701-4fac-415f-b0ab-ade8bb106435	1	105476583	105479753	17	-0.5354
40ddb701-4fac-415f-b0ab-ade8bb106435	1	105481433	109690352	2638	-0.0049
40ddb701-4fac-415f-b0ab-ade8bb106435	1	109690415	109697556	12	-0.9511
40ddb701-4fac-415f-b0ab-ade8bb106435	1	109702376	112147704	1948	0.0116
40ddb701-4fac-415f-b0ab-ade8bb106435	1	112153343	112154768	25	-1.5291
40ddb701-4fac-415f-b0ab-ade8bb106435	1	112163334	152583230	7606	0.0007
40ddb701-4fac-415f-b0ab-ade8bb106435	1	152583291	152613762	30	-1.5266
40ddb701-4fac-415f-b0ab-ade8bb106435	1	152613802	152618089	6	-0.511
40ddb701-4fac-415f-b0ab-ade8bb106435	1	152618187	152787202	165	0.0001
40ddb701-4fac-415f-b0ab-ade8bb106435	1	152789447	152796224	37	-1.5293
40ddb701-4fac-415f-b0ab-ade8bb106435	1	152801429	167795598	10168	-0.0026
40ddb701-4fac-415f-b0ab-ade8bb106435	1	167796946	167797682	4	-1.2365
40ddb701-4fac-415f-b0ab-ade8bb106435	1	167799276	196745692	19297	-0.0034
40ddb701-4fac-415f-b0ab-ade8bb106435	1	196745743	196802150	44	0.2314
40ddb701-4fac-415f-b0ab-ade8bb106435	1	196820098	199142235	1393	-0.0096
40ddb701-4fac-415f-b0ab-ade8bb106435	1	199142298	199144712	8	-0.9285
40ddb701-4fac-415f-b0ab-ade8bb106435	1	199145110	209897717	7405	-0.0013
40ddb701-4fac-415f-b0ab-ade8bb106435	1	209908268	209920149	5	-0.8374
40ddb701-4fac-415f-b0ab-ade8bb106435	1	209920226	248930189	27032	-0.0007
40ddb701-4fac-415f-b0ab-ade8bb106435	2	12784	295255	180	-0.0782
40ddb701-4fac-415f-b0ab-ade8bb106435	2	296789	296852	3	-0.9544
40ddb701-4fac-415f-b0ab-ade8bb106435	2	300879	13062181	9821	0.0013
40ddb701-4fac-415f-b0ab-ade8bb106435	2	13062541	13142715	42	0.7615
40ddb701-4fac-415f-b0ab-ade8bb106435	2	13144180	146104517	80413	0.0002
40ddb701-4fac-415f-b0ab-ade8bb106435	2	146106836	146109366	24	-1.9264
40ddb701-4fac-415f-b0ab-ade8bb106435	2	146120238	147622252	789	0.0104
40ddb701-4fac-415f-b0ab-ade8bb106435	2	147622466	147623143	2	1.2172
