GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BP-4775-01A-01D-A97C-36	chr1	17001	16534000	15133	-0.272536
TCGA-BP-4775-01A-01D-A97C-36	chr1	16534001	16949000	243	-0.328954
TCGA-BP-4775-01A-01D-A97C-36	chr1	16949001	122914000	102335	-0.267423
TCGA-BP-4775-01A-01D-A97C-36	chr1	122922001	122923000	1	-6.286397
TCGA-BP-4775-01A-01D-A97C-36	chr1	122925001	248931000	100599	-0.268364
TCGA-BP-4775-01A-01D-A97C-36	chr2	11001	87144000	86293	0.291104
TCGA-BP-4775-01A-01D-A97C-36	chr2	87144001	87441000	103	0.769583
TCGA-BP-4775-01A-01D-A97C-36	chr2	87441001	87708000	66	0.834629
TCGA-BP-4775-01A-01D-A97C-36	chr2	87712001	131464000	36613	0.290286
TCGA-BP-4775-01A-01D-A97C-36	chr2	131464001	131474000	10	-0.029532
TCGA-BP-4775-01A-01D-A97C-36	chr2	131474001	223000000	90857	0.292856
TCGA-BP-4775-01A-01D-A97C-36	chr2	223000001	223005000	5	-29.863339
TCGA-BP-4775-01A-01D-A97C-36	chr2	223005001	241911000	18743	0.290622
TCGA-BP-4775-01A-01D-A97C-36	chr2	241911001	242093000	169	-0.646685
TCGA-BP-4775-01A-01D-A97C-36	chr2	242093001	242159000	37	0.306931
TCGA-BP-4775-01A-01D-A97C-36	chr3	12001	187000	172	-0.682827
TCGA-BP-4775-01A-01D-A97C-36	chr3	187001	193000	6	-5.731153
TCGA-BP-4775-01A-01D-A97C-36	chr3	193001	854000	653	-0.690524
TCGA-BP-4775-01A-01D-A97C-36	chr3	854001	4832000	3941	-0.676406
TCGA-BP-4775-01A-01D-A97C-36	chr3	4832001	4900000	68	-0.658040
TCGA-BP-4775-01A-01D-A97C-36	chr3	4900001	5606000	700	-0.678154
TCGA-BP-4775-01A-01D-A97C-36	chr3	5606001	9570000	3946	-0.679215
TCGA-BP-4775-01A-01D-A97C-36	chr3	9570001	9608000	38	-0.661611
TCGA-BP-4775-01A-01D-A97C-36	chr3	9608001	10240000	631	-0.664043
TCGA-BP-4775-01A-01D-A97C-36	chr3	10240001	10376000	136	-0.661955
TCGA-BP-4775-01A-01D-A97C-36	chr3	10376001	11140000	764	-0.695450
TCGA-BP-4775-01A-01D-A97C-36	chr3	11140001	21678000	10491	-0.676188
TCGA-BP-4775-01A-01D-A97C-36	chr3	21678001	21751000	73	-0.653697
TCGA-BP-4775-01A-01D-A97C-36	chr3	21751001	23729000	1964	-0.684019
TCGA-BP-4775-01A-01D-A97C-36	chr3	23729001	26964000	3213	-0.680521
TCGA-BP-4775-01A-01D-A97C-36	chr3	26964001	29249000	2267	-0.675228
TCGA-BP-4775-01A-01D-A97C-36	chr3	29249001	29766000	517	-0.688552
TCGA-BP-4775-01A-01D-A97C-36	chr3	29766001	29840000	74	-0.687548
TCGA-BP-4775-01A-01D-A97C-36	chr3	29840001	31053000	1212	-0.679540
TCGA-BP-4775-01A-01D-A97C-36	chr3	31053001	31988000	934	-0.678486
TCGA-BP-4775-01A-01D-A97C-36	chr3	31988001	32046000	58	-0.650260
TCGA-BP-4775-01A-01D-A97C-36	chr3	32046001	32424000	372	-0.672616
TCGA-BP-4775-01A-01D-A97C-36	chr3	32424001	37214000	4768	-0.677737
TCGA-BP-4775-01A-01D-A97C-36	chr3	37214001	37475000	261	-0.667979
TCGA-BP-4775-01A-01D-A97C-36	chr3	37475001	37630000	155	-0.687716
TCGA-BP-4775-01A-01D-A97C-36	chr3	37630001	38529000	894	-0.674761
TCGA-BP-4775-01A-01D-A97C-36	chr3	38529001	38775000	246	-0.694241
TCGA-BP-4775-01A-01D-A97C-36	chr3	38775001	45304000	6501	-0.671153
TCGA-BP-4775-01A-01D-A97C-36	chr3	45304001	45420000	116	-0.677238
TCGA-BP-4775-01A-01D-A97C-36	chr3	45420001	46754000	1332	-0.667362
TCGA-BP-4775-01A-01D-A97C-36	chr3	46754001	46810000	48	-2.110848
TCGA-BP-4775-01A-01D-A97C-36	chr3	46810001	52895000	6063	-0.667147
TCGA-BP-4775-01A-01D-A97C-36	chr3	52895001	53704000	802	0.046516
TCGA-BP-4775-01A-01D-A97C-36	chr3	53704001	53733000	29	-0.680609
TCGA-BP-4775-01A-01D-A97C-36	chr3	53733001	53843000	110	0.012013
TCGA-BP-4775-01A-01D-A97C-36	chr3	53843001	53853000	10	-0.656214
TCGA-BP-4775-01A-01D-A97C-36	chr3	53853001	53922000	69	-0.273982
TCGA-BP-4775-01A-01D-A97C-36	chr3	53922001	54710000	779	-0.682168
TCGA-BP-4775-01A-01D-A97C-36	chr3	54710001	56967000	2248	0.037870
TCGA-BP-4775-01A-01D-A97C-36	chr3	56968001	56984000	16	-0.708584
TCGA-BP-4775-01A-01D-A97C-36	chr3	56984001	75512000	18444	0.039322
TCGA-BP-4775-01A-01D-A97C-36	chr3	75512001	75563000	25	0.131638
TCGA-BP-4775-01A-01D-A97C-36	chr3	75563001	90882000	15031	0.033021
TCGA-BP-4775-01A-01D-A97C-36	chr3	90882001	90942000	8	-0.841385
TCGA-BP-4775-01A-01D-A97C-36	chr3	91152001	98425000	4957	0.035183
TCGA-BP-4775-01A-01D-A97C-36	chr3	98425001	104023000	5549	0.040977
TCGA-BP-4775-01A-01D-A97C-36	chr3	104023001	108399000	4345	0.036430
TCGA-BP-4775-01A-01D-A97C-36	chr3	108399001	110595000	2170	0.040231
TCGA-BP-4775-01A-01D-A97C-36	chr3	110595001	111349000	748	0.037736
TCGA-BP-4775-01A-01D-A97C-36	chr3	111349001	188084000	76082	0.039579
TCGA-BP-4775-01A-01D-A97C-36	chr3	188084001	195615000	7444	0.038523
TCGA-BP-4775-01A-01D-A97C-36	chr3	195615001	195701000	63	0.430701
TCGA-BP-4775-01A-01D-A97C-36	chr3	195701001	195709000	8	0.512329
TCGA-BP-4775-01A-01D-A97C-36	chr3	195709001	195785000	67	0.242727
TCGA-BP-4775-01A-01D-A97C-36	chr3	195785001	198175000	2311	0.046942
TCGA-BP-4775-01A-01D-A97C-36	chr4	15001	2404000	2317	0.034711
TCGA-BP-4775-01A-01D-A97C-36	chr4	2404001	7177000	4708	0.034591
TCGA-BP-4775-01A-01D-A97C-36	chr4	7177001	8880000	1657	0.012546
TCGA-BP-4775-01A-01D-A97C-36	chr4	8880001	14751000	5549	0.039623
TCGA-BP-4775-01A-01D-A97C-36	chr4	14751001	14849000	90	0.040819
TCGA-BP-4775-01A-01D-A97C-36	chr4	14849001	20676000	5785	0.038731
TCGA-BP-4775-01A-01D-A97C-36	chr4	20676001	20709000	33	0.010330
TCGA-BP-4775-01A-01D-A97C-36	chr4	20709001	27221000	6483	0.037444
TCGA-BP-4775-01A-01D-A97C-36	chr4	27221001	34721000	7454	0.029259
TCGA-BP-4775-01A-01D-A97C-36	chr4	34721001	34868000	147	0.096398
TCGA-BP-4775-01A-01D-A97C-36	chr4	34868001	36670000	1801	0.028075
TCGA-BP-4775-01A-01D-A97C-36	chr4	36670001	38981000	2304	0.045526
TCGA-BP-4775-01A-01D-A97C-36	chr4	38981001	49098000	10065	0.038336
TCGA-BP-4775-01A-01D-A97C-36	chr4	49098001	49159000	54	-0.272035
TCGA-BP-4775-01A-01D-A97C-36	chr4	49160001	49324000	107	0.140753
TCGA-BP-4775-01A-01D-A97C-36	chr4	49487001	49524000	30	0.604426
TCGA-BP-4775-01A-01D-A97C-36	chr4	49524001	49658000	100	0.497640
TCGA-BP-4775-01A-01D-A97C-36	chr4	49709001	62237000	10304	0.036315
TCGA-BP-4775-01A-01D-A97C-36	chr4	62237001	63260000	1000	0.028910
