GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CD-5813-01A-11D-A77X-36	chr1	17001	942000	166	0.309715
TCGA-CD-5813-01A-11D-A77X-36	chr1	942001	1022000	79	0.222044
TCGA-CD-5813-01A-11D-A77X-36	chr1	1022001	3057000	1850	-0.137518
TCGA-CD-5813-01A-11D-A77X-36	chr1	3057001	6772000	3695	-0.135606
TCGA-CD-5813-01A-11D-A77X-36	chr1	6772001	12791000	6010	-0.133244
TCGA-CD-5813-01A-11D-A77X-36	chr1	12791001	12842000	49	0.426157
TCGA-CD-5813-01A-11D-A77X-36	chr1	12842001	12864000	22	1.027082
TCGA-CD-5813-01A-11D-A77X-36	chr1	12864001	13335000	84	0.060525
TCGA-CD-5813-01A-11D-A77X-36	chr1	13338001	13366000	20	-1.243324
TCGA-CD-5813-01A-11D-A77X-36	chr1	13366001	16535000	3159	-0.129988
TCGA-CD-5813-01A-11D-A77X-36	chr1	16535001	16648000	81	0.059337
TCGA-CD-5813-01A-11D-A77X-36	chr1	16648001	16654000	6	-1.070416
TCGA-CD-5813-01A-11D-A77X-36	chr1	16674001	16949000	155	0.116694
TCGA-CD-5813-01A-11D-A77X-36	chr1	16949001	18989000	2036	-0.139714
TCGA-CD-5813-01A-11D-A77X-36	chr1	18989001	19185000	196	-0.106915
TCGA-CD-5813-01A-11D-A77X-36	chr1	19185001	19694000	509	0.004385
TCGA-CD-5813-01A-11D-A77X-36	chr1	19694001	19963000	269	0.297602
TCGA-CD-5813-01A-11D-A77X-36	chr1	19963001	21517000	1537	0.088288
TCGA-CD-5813-01A-11D-A77X-36	chr1	21517001	31297000	9653	-0.127477
TCGA-CD-5813-01A-11D-A77X-36	chr1	31297001	41561000	10206	-0.122521
TCGA-CD-5813-01A-11D-A77X-36	chr1	41561001	55621000	13983	-0.101371
TCGA-CD-5813-01A-11D-A77X-36	chr1	55621001	58727000	3078	-0.077956
TCGA-CD-5813-01A-11D-A77X-36	chr1	58727001	58846000	119	0.325041
TCGA-CD-5813-01A-11D-A77X-36	chr1	58846001	58991000	145	0.282737
TCGA-CD-5813-01A-11D-A77X-36	chr1	58991001	59609000	617	-0.069695
