GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	62920	3220294	703	-0.1532
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	3221349	9308150	3986	-0.0181
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	9309959	9328019	19	0.3876
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	9328595	15820586	3618	-0.0267
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	15820686	15820897	2	1.2385
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	15822042	16868660	372	-0.0299
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	16877002	16955930	55	-0.6673
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	16956580	22182713	3450	-0.0145
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	22187743	22224131	38	0.4989
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	22224465	30266949	4186	-0.0222
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	30268649	30272363	4	-0.9534
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	30274729	30690609	351	-0.0026
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	30691029	30793010	67	-0.1991
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	30794326	38986185	4557	-0.0023
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	38992438	38993024	3	-1.4628
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	38993209	40694609	852	-0.0252
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	40699407	66198905	16560	0.0217
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	66205085	66205601	5	-0.8869
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	66206167	66943794	587	0.0303
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	66944355	68151889	884	0.5125
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	68152554	72318265	2482	0.0376
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	72318471	72345465	32	0.4425
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	72346221	72791646	323	0.0378
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	72795204	72941866	74	-0.7368
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	72942161	72994094	20	0.0272
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	73000529	74803600	1084	-0.7706
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	74805388	74808182	2	-3.1208
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	74808303	74833539	13	-0.7225
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	74842433	80291576	3487	0.0316
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	80295181	80295512	2	-1.4069
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	80299126	108223733	17913	0.0279
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	108226680	108274557	2	-2.9012
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	108310648	109679105	673	0.0042
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	109684695	109691788	10	-0.6403
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	109691933	117489535	5418	0.0211
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	117490488	117734630	178	0.2993
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	117734677	119595765	1143	0.034
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	119596669	119696136	71	0.5532
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	119697804	143494500	334	0.0136
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	143541857	143553882	14	0.6254
6ecb1b2f-c931-49e7-8669-2536c1ba34e0	1	143554306	143710159	69	0.1646
