GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-DD-A73E-01A-12D-A916-36	chr1	17001	16541000	15139	-0.053210
TCGA-DD-A73E-01A-12D-A916-36	chr1	16541001	16603000	32	-0.111032
TCGA-DD-A73E-01A-12D-A916-36	chr1	16604001	16649000	45	-0.128531
TCGA-DD-A73E-01A-12D-A916-36	chr1	16649001	16675000	6	-1.033234
TCGA-DD-A73E-01A-12D-A916-36	chr1	16675001	16949000	154	0.107939
TCGA-DD-A73E-01A-12D-A916-36	chr1	16949001	120672000	101993	-0.034833
TCGA-DD-A73E-01A-12D-A916-36	chr1	120805001	120922000	26	-0.815128
TCGA-DD-A73E-01A-12D-A916-36	chr1	120935001	122742000	292	-0.016389
TCGA-DD-A73E-01A-12D-A916-36	chr1	122756001	122844000	12	-0.268057
TCGA-DD-A73E-01A-12D-A916-36	chr1	122850001	122914000	12	0.002024
TCGA-DD-A73E-01A-12D-A916-36	chr1	122922001	122923000	1	-7.847619
TCGA-DD-A73E-01A-12D-A916-36	chr1	122925001	123186000	29	0.588141
TCGA-DD-A73E-01A-12D-A916-36	chr1	123195001	123201000	2	-4.203613
TCGA-DD-A73E-01A-12D-A916-36	chr1	123213001	123526000	33	-0.133163
TCGA-DD-A73E-01A-12D-A916-36	chr1	123527001	123529000	2	-1.233147
TCGA-DD-A73E-01A-12D-A916-36	chr1	123531001	124120000	67	-0.000046
TCGA-DD-A73E-01A-12D-A916-36	chr1	124129001	124179000	8	1.095795
TCGA-DD-A73E-01A-12D-A916-36	chr1	124196001	124545000	63	0.102116
TCGA-DD-A73E-01A-12D-A916-36	chr1	124552001	124783000	64	-0.241326
TCGA-DD-A73E-01A-12D-A916-36	chr1	124802001	124976000	42	0.589432
TCGA-DD-A73E-01A-12D-A916-36	chr1	124976001	125178000	196	-0.013478
TCGA-DD-A73E-01A-12D-A916-36	chr1	125178001	143268000	70	-0.541274
TCGA-DD-A73E-01A-12D-A916-36	chr1	143270001	143744000	214	0.046229
TCGA-DD-A73E-01A-12D-A916-36	chr1	143745001	143753000	8	0.552400
TCGA-DD-A73E-01A-12D-A916-36	chr1	143753001	149201000	2115	-0.000459
TCGA-DD-A73E-01A-12D-A916-36	chr1	149366001	149563000	13	-0.905282
TCGA-DD-A73E-01A-12D-A916-36	chr1	149615001	158547000	8646	-0.017619
TCGA-DD-A73E-01A-12D-A916-36	chr1	158547001	158575000	28	0.606154
TCGA-DD-A73E-01A-12D-A916-36	chr1	158575001	202713000	43693	0.003530
TCGA-DD-A73E-01A-12D-A916-36	chr1	202713001	204713000	1999	0.520487
TCGA-DD-A73E-01A-12D-A916-36	chr1	204713001	207843000	2849	0.527428
TCGA-DD-A73E-01A-12D-A916-36	chr1	207843001	208051000	208	0.921440
TCGA-DD-A73E-01A-12D-A916-36	chr1	208051001	208248000	197	0.933031
TCGA-DD-A73E-01A-12D-A916-36	chr1	208248001	213646000	5371	0.533013
TCGA-DD-A73E-01A-12D-A916-36	chr1	213646001	216686000	3032	0.538599
TCGA-DD-A73E-01A-12D-A916-36	chr1	216686001	216881000	194	0.323357
TCGA-DD-A73E-01A-12D-A916-36	chr1	216881001	217004000	123	0.349100
TCGA-DD-A73E-01A-12D-A916-36	chr1	217004001	217735000	725	0.544621
TCGA-DD-A73E-01A-12D-A916-36	chr1	217735001	218760000	1018	0.537832
TCGA-DD-A73E-01A-12D-A916-36	chr1	218760001	222690000	3884	0.538538
TCGA-DD-A73E-01A-12D-A916-36	chr1	222690001	222796000	106	0.523536
TCGA-DD-A73E-01A-12D-A916-36	chr1	222796001	223450000	648	0.939722
TCGA-DD-A73E-01A-12D-A916-36	chr1	223450001	224466000	904	0.525582
TCGA-DD-A73E-01A-12D-A916-36	chr1	224466001	229429000	4844	0.527114
TCGA-DD-A73E-01A-12D-A916-36	chr1	229429001	237396000	7906	0.529917
TCGA-DD-A73E-01A-12D-A916-36	chr1	237396001	237433000	37	0.540127
TCGA-DD-A73E-01A-12D-A916-36	chr1	237433001	237441000	8	0.541574
TCGA-DD-A73E-01A-12D-A916-36	chr1	237441001	237467000	26	0.546899
TCGA-DD-A73E-01A-12D-A916-36	chr1	237467001	237633000	166	0.537657
TCGA-DD-A73E-01A-12D-A916-36	chr1	237633001	240745000	3101	0.534047
TCGA-DD-A73E-01A-12D-A916-36	chr1	240745001	242317000	1565	0.532244
TCGA-DD-A73E-01A-12D-A916-36	chr1	242317001	242525000	205	0.550955
TCGA-DD-A73E-01A-12D-A916-36	chr1	242525001	247683000	5087	0.531266
TCGA-DD-A73E-01A-12D-A916-36	chr1	247683001	248931000	1103	0.542823
TCGA-DD-A73E-01A-12D-A916-36	chr2	11001	3726000	3636	0.245367
TCGA-DD-A73E-01A-12D-A916-36	chr2	3726001	4298000	568	0.265556
TCGA-DD-A73E-01A-12D-A916-36	chr2	4298001	4314000	16	-0.934733
TCGA-DD-A73E-01A-12D-A916-36	chr2	4314001	5731000	1400	0.252982
TCGA-DD-A73E-01A-12D-A916-36	chr2	5731001	21229000	15422	0.255519
TCGA-DD-A73E-01A-12D-A916-36	chr2	21229001	24926000	3685	0.256144
TCGA-DD-A73E-01A-12D-A916-36	chr2	24926001	29431000	4490	0.237741
TCGA-DD-A73E-01A-12D-A916-36	chr2	29431001	35665000	6162	0.254593
TCGA-DD-A73E-01A-12D-A916-36	chr2	35665001	35796000	110	-0.423529
TCGA-DD-A73E-01A-12D-A916-36	chr2	35796001	35808000	12	-0.420894
TCGA-DD-A73E-01A-12D-A916-36	chr2	35808001	36049000	240	-0.405997
TCGA-DD-A73E-01A-12D-A916-36	chr2	36049001	36203000	145	-0.387887
