GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9c292588-adaa-46a6-8d53-755a910b8005	1	62920	86341	11	-0.4014
9c292588-adaa-46a6-8d53-755a910b8005	1	98588	16863509	8639	0.1009
9c292588-adaa-46a6-8d53-755a910b8005	1	16864367	16935200	50	-0.4403
9c292588-adaa-46a6-8d53-755a910b8005	1	16935302	25256800	5227	0.1042
9c292588-adaa-46a6-8d53-755a910b8005	1	25256850	25320455	25	0.6033
9c292588-adaa-46a6-8d53-755a910b8005	1	25336819	30265657	2378	0.1007
9c292588-adaa-46a6-8d53-755a910b8005	1	30265687	30266949	4	-1.3881
9c292588-adaa-46a6-8d53-755a910b8005	1	30268649	36401633	3352	0.0966
9c292588-adaa-46a6-8d53-755a910b8005	1	36407064	36407648	2	-2.4157
9c292588-adaa-46a6-8d53-755a910b8005	1	36407717	72284670	22825	0.1049
9c292588-adaa-46a6-8d53-755a910b8005	1	72290430	72297687	9	-0.6184
9c292588-adaa-46a6-8d53-755a910b8005	1	72302735	72345465	48	1.9032
9c292588-adaa-46a6-8d53-755a910b8005	1	72346221	74441618	1223	0.117
9c292588-adaa-46a6-8d53-755a910b8005	1	74441632	74445913	2	-0.9368
9c292588-adaa-46a6-8d53-755a910b8005	1	74450881	75522281	644	0.1098
9c292588-adaa-46a6-8d53-755a910b8005	1	75522545	75522699	3	1.0922
9c292588-adaa-46a6-8d53-755a910b8005	1	75525514	75585159	46	0.1009
9c292588-adaa-46a6-8d53-755a910b8005	1	75589078	75589169	2	-2.4249
9c292588-adaa-46a6-8d53-755a910b8005	1	75593824	105470754	18886	0.1034
9c292588-adaa-46a6-8d53-755a910b8005	1	105476583	105479753	17	1.0204
9c292588-adaa-46a6-8d53-755a910b8005	1	105481433	109679105	2620	0.1048
9c292588-adaa-46a6-8d53-755a910b8005	1	109684695	109697556	15	1.7678
9c292588-adaa-46a6-8d53-755a910b8005	1	109702376	110833598	831	0.1033
9c292588-adaa-46a6-8d53-755a910b8005	1	110834746	110845604	39	-0.5724
9c292588-adaa-46a6-8d53-755a910b8005	1	110849445	111545264	567	0.1066
9c292588-adaa-46a6-8d53-755a910b8005	1	111548700	111699173	94	-0.5422
9c292588-adaa-46a6-8d53-755a910b8005	1	111699330	114806154	2013	0.1039
9c292588-adaa-46a6-8d53-755a910b8005	1	114808240	115482038	500	-0.5375
9c292588-adaa-46a6-8d53-755a910b8005	1	115490805	143494500	3058	0.0972
9c292588-adaa-46a6-8d53-755a910b8005	1	143541857	143748012	96	-0.6077
9c292588-adaa-46a6-8d53-755a910b8005	1	143748074	156932125	4652	0.0946
9c292588-adaa-46a6-8d53-755a910b8005	1	156932430	157169179	151	-0.5451
9c292588-adaa-46a6-8d53-755a910b8005	1	157174103	157206213	26	0.1969
9c292588-adaa-46a6-8d53-755a910b8005	1	157208626	157286839	47	-0.5746
9c292588-adaa-46a6-8d53-755a910b8005	1	157287337	157302724	11	0.0528
9c292588-adaa-46a6-8d53-755a910b8005	1	157302880	157304447	5	-0.7881
9c292588-adaa-46a6-8d53-755a910b8005	1	157304637	157587911	219	0.0735
9c292588-adaa-46a6-8d53-755a910b8005	1	157588148	157614511	11	-0.0841
9c292588-adaa-46a6-8d53-755a910b8005	1	157614929	157626296	13	-0.6088
9c292588-adaa-46a6-8d53-755a910b8005	1	157632415	157656363	31	-0.0021
9c292588-adaa-46a6-8d53-755a910b8005	1	157658565	158393913	495	-0.5888
9c292588-adaa-46a6-8d53-755a910b8005	1	158395825	158401983	17	-0.2218
9c292588-adaa-46a6-8d53-755a910b8005	1	158405816	158405868	2	1.3992
9c292588-adaa-46a6-8d53-755a910b8005	1	158408747	158424440	19	-0.4189
9c292588-adaa-46a6-8d53-755a910b8005	1	158426740	174918189	11614	0.0929
9c292588-adaa-46a6-8d53-755a910b8005	1	174920906	175009729	49	-0.2206
9c292588-adaa-46a6-8d53-755a910b8005	1	175014071	187746723	8525	0.093
9c292588-adaa-46a6-8d53-755a910b8005	1	187748429	187752238	2	-1.6303
9c292588-adaa-46a6-8d53-755a910b8005	1	187755479	188509621	499	0.075
9c292588-adaa-46a6-8d53-755a910b8005	1	188510344	188511921	2	-1.3427
9c292588-adaa-46a6-8d53-755a910b8005	1	188512187	196762956	5435	0.0932
9c292588-adaa-46a6-8d53-755a910b8005	1	196769493	196846661	57	-0.4047
9c292588-adaa-46a6-8d53-755a910b8005	1	196847600	230658616	22483	0.0894
9c292588-adaa-46a6-8d53-755a910b8005	1	230662105	246044793	11401	-0.0108
9c292588-adaa-46a6-8d53-755a910b8005	1	246045756	248546369	1540	0.1283
9c292588-adaa-46a6-8d53-755a910b8005	1	248550567	248645808	37	-0.5446
9c292588-adaa-46a6-8d53-755a910b8005	1	248646068	248930189	139	0.1409
9c292588-adaa-46a6-8d53-755a910b8005	2	12784	1851945	1189	0.0567
9c292588-adaa-46a6-8d53-755a910b8005	2	1851962	7989207	5087	0.0895
9c292588-adaa-46a6-8d53-755a910b8005	2	7990754	7995913	7	-0.9797
9c292588-adaa-46a6-8d53-755a910b8005	2	7996487	14563570	4700	0.072
9c292588-adaa-46a6-8d53-755a910b8005	2	14564825	14569968	12	-0.8043
9c292588-adaa-46a6-8d53-755a910b8005	2	14570240	34295406	12865	0.0801
9c292588-adaa-46a6-8d53-755a910b8005	2	34298911	34300513	2	-1.3176
9c292588-adaa-46a6-8d53-755a910b8005	2	34300900	34476327	96	0.1127
9c292588-adaa-46a6-8d53-755a910b8005	2	34476516	34511990	44	-0.277
9c292588-adaa-46a6-8d53-755a910b8005	2	34512096	35742970	865	0.0954
9c292588-adaa-46a6-8d53-755a910b8005	2	35750907	35762850	7	0.9007
9c292588-adaa-46a6-8d53-755a910b8005	2	35762881	52527330	12036	0.0779
9c292588-adaa-46a6-8d53-755a910b8005	2	52527342	52554404	39	0.7696
9c292588-adaa-46a6-8d53-755a910b8005	2	52560811	96175261	23282	0.0731
9c292588-adaa-46a6-8d53-755a910b8005	2	96176076	97199600	403	0.0333
9c292588-adaa-46a6-8d53-755a910b8005	2	97199676	97211436	13	-0.4877
9c292588-adaa-46a6-8d53-755a910b8005	2	97310327	97359885	13	0.1846
9c292588-adaa-46a6-8d53-755a910b8005	2	97524284	97545726	9	0.8207
9c292588-adaa-46a6-8d53-755a910b8005	2	97550415	105519180	4899	0.048
9c292588-adaa-46a6-8d53-755a910b8005	2	105521668	105522355	2	-1.6754
9c292588-adaa-46a6-8d53-755a910b8005	2	105522759	106258266	642	0.0531
9c292588-adaa-46a6-8d53-755a910b8005	2	106263639	106268901	12	0.5252
9c292588-adaa-46a6-8d53-755a910b8005	2	106270799	107824280	989	0.0469
9c292588-adaa-46a6-8d53-755a910b8005	2	107830513	107864451	2	-1.2483
9c292588-adaa-46a6-8d53-755a910b8005	2	107875632	110639188	1187	0.0605
9c292588-adaa-46a6-8d53-755a910b8005	2	110640222	110765128	47	-0.5622
9c292588-adaa-46a6-8d53-755a910b8005	2	110770566	128880504	11103	0.0544
