GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CZ-4861-01A-01D-A97G-36	chr1	17001	16603000	15171	-0.015023
TCGA-CZ-4861-01A-01D-A97G-36	chr1	16604001	16909000	166	0.254309
TCGA-CZ-4861-01A-01D-A97G-36	chr1	16909001	161599000	116927	-0.004700
TCGA-CZ-4861-01A-01D-A97G-36	chr1	161600001	161673000	42	0.613537
TCGA-CZ-4861-01A-01D-A97G-36	chr1	161675001	248931000	86005	-0.005167
TCGA-CZ-4861-01A-01D-A97G-36	chr2	11001	242159000	232896	-0.006147
TCGA-CZ-4861-01A-01D-A97G-36	chr3	12001	899000	875	-0.614882
TCGA-CZ-4861-01A-01D-A97G-36	chr3	899001	1005000	105	-0.601994
TCGA-CZ-4861-01A-01D-A97G-36	chr3	1005001	1768000	753	-0.612245
TCGA-CZ-4861-01A-01D-A97G-36	chr3	1768001	1877000	109	-0.588939
TCGA-CZ-4861-01A-01D-A97G-36	chr3	1877001	3122000	1242	-0.608472
TCGA-CZ-4861-01A-01D-A97G-36	chr3	3122001	3385000	260	-0.606309
TCGA-CZ-4861-01A-01D-A97G-36	chr3	3385001	3577000	192	-0.576413
TCGA-CZ-4861-01A-01D-A97G-36	chr3	3577001	3611000	34	-0.608184
TCGA-CZ-4861-01A-01D-A97G-36	chr3	3611001	3895000	280	-0.608451
TCGA-CZ-4861-01A-01D-A97G-36	chr3	3896001	5424000	1509	-0.612443
TCGA-CZ-4861-01A-01D-A97G-36	chr3	5424001	5455000	31	-0.629712
TCGA-CZ-4861-01A-01D-A97G-36	chr3	5455001	5733000	277	-0.615446
TCGA-CZ-4861-01A-01D-A97G-36	chr3	5733001	5800000	67	-0.631578
TCGA-CZ-4861-01A-01D-A97G-36	chr3	5800001	5843000	43	-0.617578
TCGA-CZ-4861-01A-01D-A97G-36	chr3	5843001	6860000	1012	-0.602410
TCGA-CZ-4861-01A-01D-A97G-36	chr3	6860001	6955000	95	-0.614757
TCGA-CZ-4861-01A-01D-A97G-36	chr3	6955001	7585000	628	-0.609634
TCGA-CZ-4861-01A-01D-A97G-36	chr3	7585001	7601000	16	-0.628711
TCGA-CZ-4861-01A-01D-A97G-36	chr3	7601001	7998000	397	-0.619605
TCGA-CZ-4861-01A-01D-A97G-36	chr3	7998001	8034000	36	-0.601297
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8034001	8348000	311	-0.612923
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8348001	8420000	71	-0.608902
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8420001	8635000	210	-0.630353
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8635001	8948000	311	-0.616179
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8948001	8962000	14	-0.606832
TCGA-CZ-4861-01A-01D-A97G-36	chr3	8962001	9333000	371	-0.622147
TCGA-CZ-4861-01A-01D-A97G-36	chr3	9333001	10264000	930	-0.612909
TCGA-CZ-4861-01A-01D-A97G-36	chr3	10264001	10336000	72	-0.621635
TCGA-CZ-4861-01A-01D-A97G-36	chr3	10336001	10533000	197	-0.640787
TCGA-CZ-4861-01A-01D-A97G-36	chr3	10533001	10546000	13	-0.655007
TCGA-CZ-4861-01A-01D-A97G-36	chr3	10546001	11016000	470	-0.634567
TCGA-CZ-4861-01A-01D-A97G-36	chr3	11016001	11199000	183	-0.621206
TCGA-CZ-4861-01A-01D-A97G-36	chr3	11199001	11634000	433	-0.613854
TCGA-CZ-4861-01A-01D-A97G-36	chr3	11634001	11644000	10	-0.591001
TCGA-CZ-4861-01A-01D-A97G-36	chr3	11644001	13233000	1581	-0.611605
TCGA-CZ-4861-01A-01D-A97G-36	chr3	13233001	13264000	31	-0.612096
TCGA-CZ-4861-01A-01D-A97G-36	chr3	13264001	13765000	501	-0.629577
TCGA-CZ-4861-01A-01D-A97G-36	chr3	13765001	13816000	51	-0.619543
TCGA-CZ-4861-01A-01D-A97G-36	chr3	13816001	13929000	113	-0.639825
TCGA-CZ-4861-01A-01D-A97G-36	chr3	13929001	15154000	1223	-0.612016
TCGA-CZ-4861-01A-01D-A97G-36	chr3	15154001	15283000	127	-0.610497
TCGA-CZ-4861-01A-01D-A97G-36	chr3	15283001	15345000	62	-0.615187
